,Dialogue_Generated,Symptoms,Descriptions,Metas,Language_Style,Tone,Detail_Level,Enumeration,Explicit_Symptom,Spelling_Errors
0," ""I've been having these weird lines on my nails for a while now, and I'm really scared that it's some kind of disease.""","['Nail ridging', 'Nosebleed']","['Presence/Absence', 'Frequency']","['No', 'Prefer not to answer']",Neutral/Standard Register,Fearful,3,False,False,True
1," ""I have been feeling really dizzy lately, and my vagina is super dry.""","['Vaginal dryness', 'Dizziness']","['Severity', 'Interference (with daily activities)']","['Prefer not to answer', 'Not at all']",Informal Register,Neutral,4,False,False,False
2," ""My mouth is as dry as the Sahara desert, and my skin is as red as a fire engine.""","['Dry Mouth', 'Radiation skin reaction']","['Severity', 'Severity']","['Prefer not to answer', 'Severe']",Poetic/Literary Register,Neutral,2,False,False,True
3," ""I got these bloody periods/vaginal bleeding, and my hands and feet are all cracked and peeling, and I got this bloody periods/vaginal bleeding again. It's all so bloody annoying.""","['Irregular periods/vaginal bleeding', 'Hand-foot syndrome (a rash of the hands and feet that can cause cracking, peeling, redness or pain)', 'Irregular periods/vaginal bleeding']","['Presence/Absence', 'Severity', 'Presence/Absence']","['No', 'Severe', 'Prefer not to answer']",Vulgar Register,Angry,2,False,True,True
4," ""I have had vaginal dryness, muscle pain, and itching since I started menopause.""","['Vaginal dryness', 'Muscle pain', 'Itching']","['Severity', 'Severity', 'Severity']","['Very severe', 'Prefer not to answer', 'None']",Neutral/Standard Register,Neutral,3,False,True,False
5," ""I smell like a stinky sock and I ain't got no desire to get it on with nobody.""","['Body odor', 'Decreased libido']","['Severity', 'Severity']","['Mild', 'None']",Neutral/Standard Register,Insulting,1,False,False,True
6," ""I've been having some joint pain and increased sweating lately.""","['Joint pain', 'Increased sweating', 'Delayed orgasm']","['Severity', 'Frequency', 'Presence/Absence']","['Not applicable', 'Occasionally', 'Not applicable']",Informal Register,Neutral,2,False,False,True
7," ""I'm having a bit of trouble concentrating, I'm feeling pretty sad, and my memory is very poor.""","['Concentration', 'Sad', 'Memory']","['Interference (with daily activities)', 'Frequency', 'Severity']","['Somewhat', 'Prefer not to answer', 'Very severe']",Vulgar Register,Friendly,2,False,True,False
8," ""My urine is a shade of yellow that I've never seen before, and I'm not hungry at all, but I'm so sensitive to the sun that I have to stay inside all the time.""","['Change in usual urine color', 'Decreased appetite', 'Sensitivity to sunlight']","['Presence/Absence', 'Interference (with daily activities)', 'Presence/Absence']","['Yes', 'Not at all', 'No']",Poetic/Literary Register,Confused,1,False,False,False
9," ""My heart is burning with a fire that will not cease, and my ears are ringing with a sound that will not leave me in peace.""","['Ringing in ears', 'Heartburn']","['Severity', 'Severity']","['Mild', 'Moderate']",Poetic/Literary Register,Fearful,2,False,False,False
10," ""I got these bloody muscle pains everywhere, and my piss is all bloody and dark coloured, it's like I'm pissing blood and it's really severe, I can't even stand up straight, I'm in so much pain.""","['Muscle pain', 'Change in usual urine color']","['Severity', 'Presence/Absence']","['Very severe', 'Prefer not to answer']",Vulgar Register,Neutral,5,False,False,True
11," ""My limbs are numb and tingle, as if a thousand bees are stinging me, and I cannot feel the touch of my lover, as if I am made of stone.""","['Numbness & tingling', 'Unable to have orgasm']","['Interference (with daily activities)', 'Presence/Absence']","['Quite a bit', 'Not applicable']",Poetic/Literary Register,Fearful,5,False,False,False
12," ""I ain't never had no orgasm, so I ain't got no idea what the hell you're talking about.""","['Delayed orgasm', 'Vaginal dryness']","['Presence/Absence', 'Severity']","['Prefer not to answer', 'None']",Vulgar Register,Angry,1,False,False,False
