,Dialogue_Generated,symptom,description,meta,language_style,Tone,Detail_level,Enumeration,Explicit_symptom,Spelling_errors
0," ""I have this cracking at the corners of my mouth that won't go away. It's been there for months now and it's getting worse and worse. I tried to ignore it but it's so annoying and it hurts too.""",Cracking at the corners of the mouth (cheilosis/cheilitis),Severity,Very severe,Neutral/Standard Register,Confused,2,False,False,True
1," ""I have been noticing that the corners of my mouth crack and bleed sometimes. I thought it was just dry mouth from my medication but it seems to be getting worse. I have been trying to keep my mouth moist by drinking water but it doesn't seem to be helping. I have also been trying to avoid spicy foods but I still eat them sometimes. I don't know what is causing this but I hope I can find out.""",Cracking at the corners of the mouth (cheilosis/cheilitis),Severity,Not sexually active,Neutral/Standard Register,Confused,5,False,False,True
2," ""I have cracks at the corners of my mouth.""",Cracking at the corners of the mouth (cheilosis/cheilitis),Severity,Prefer not to answer,Informal Register,Neutral,1,False,False,False
3," ""I am fed up with this cracking at the corners of my mouth. It has been going on for months now.""",Cracking at the corners of the mouth (cheilosis/cheilitis),Severity,None,Formal Register,Angry,2,False,False,False
4," ""I'm so scared, I have this weird cracking at the corners of my mouth.""",Cracking at the corners of the mouth (cheilosis/cheilitis),Severity,Not applicable,Informal Register,Fearful,1,False,False,False
5," ""My mouth corners crack and bleed, it's like a little mouth garden, full of thorns and blood.""",Cracking at the corners of the mouth (cheilosis/cheilitis),Severity,Moderate,Poetic/Literary Register,Friendly,5,True,False,True
6," ""I have noticed that the corners of my mouth have started to crack and peel off. I am worried that it might be a sign of something more serious.""",Cracking at the corners of the mouth (cheilosis/cheilitis),Severity,Mild,Formal Register,Fearful,2,False,True,False
7," ""I've been having this weird thing going on with my mouth. It's like the corners crack and bleed all the time. I've tried to ignore it but it's getting worse and worse.""",Cracking at the corners of the mouth (cheilosis/cheilitis),Severity,Severe,Informal Register,Confused,3,False,False,False
8," ""I have been having trouble swallowing for a while now.""",Difficulty Swallowing,Severity,Very severe,Neutral/Standard Register,Neutral,2,False,False,False
9," ""My throat feels as if it is closing in on me, and every time I try to swallow, it feels as if I am swallowing a razor blade.""",Difficulty Swallowing,Severity,Not sexually active,Poetic/Literary Register,Fearful,2,True,False,True
10," ""I have been having difficulty swallowing for a while now, but it has gotten worse over the past few days. It feels like there is a lump in my throat that I cannot swallow.""",Difficulty Swallowing,Severity,Prefer not to answer,Formal Register,Neutral,4,False,True,True
11," ""I cant swollow nothin, doc. Its like somethin is stuck in my throat all the time.""",Difficulty Swallowing,Severity,None,Vulgar Register,Confused,2,False,False,True
12," ""I cant swallow nothin, its like somethin is stuck in my throat all the time, and its makin me so mad!""",Difficulty Swallowing,Severity,Not applicable,Vulgar Register,Angry,1,False,False,True
13," ""I am having a very difficult time swallowing my food and liquids. It feels like there is a lump in my throat that I cannot get rid of. It is very frustrating and I am getting very angry about this situation. I hope the doctor can help me with this problem.""",Difficulty Swallowing,Severity,Moderate,Formal Register,Angry,5,False,True,True
14," ""I can't swallow properly, it's like trying to swallow a bag of rocks, and it hurts like hell.""",Difficulty Swallowing,Severity,Mild,Vulgar Register,Insulting,1,True,False,False
15," ""My throat is a dry desert, swallowing is a chore, and every word I speak is a struggle.""",Difficulty Swallowing,Severity,Severe,Poetic/Literary Register,Insulting,1,True,False,False
16," ""I have had dry mouth for a while now, but it has gotten so bad that I can't even talk properly.""",Dry Mouth,Severity,Very severe,Neutral/Standard Register,Fearful,2,False,False,False
17," ""I have dry mouth all the time.""",Dry Mouth,Severity,Not sexually active,Informal Register,Neutral,2,False,True,False
18," ""I can't even swallow properly, I'm so scared I'm gonna choke on my own saliva.""",Dry Mouth,Severity,Prefer not to answer,Vulgar Register,Fearful,1,False,False,False
19," ""I have a dry mouth all the time. I wake up with a dry mouth and I have a dry mouth throughout the day. I drink a lot of water but it doesn't help. I have a dry mouth when I sleep too. I wake up with a dry mouth. I have a dry mouth when I talk too. My mouth feels like the Sahara desert. I have a dry mouth when I eat too. I have a dry mouth when I brush my teeth too. I have a dry mouth when I floss too. I have a dry mouth when I use mouthwash too. I have a dry mouth when I gargle too. I have a dry mouth when I spit too. I have a dry mouth when I swallow too. I have a dry mouth when I yawn too. I have a dry mouth when I cough too. I have a dry mouth when I sneeze too. I have a dry mouth when I laugh too. I have a dry mouth when I cry too. I have a dry mouth when I sing too. I have a dry mouth when I talk too. I have a dry mouth when I eat too. I have a dry mouth when I drink too. I have a dry mouth when I brush my teeth too. I have a dry mouth when I floss too. I have a dry mouth when I use mouthwash too. I have a dry mouth when I gargle too. I have a dry mouth when I spit too.",Dry Mouth,Severity,None,Neutral/Standard Register,Fearful,5,True,False,True
20," ""I can't believe I have this dry mouth again. It's so annoying. I can't even talk properly.""",Dry Mouth,Severity,Not applicable,Informal Register,Angry,5,False,False,False
21," ""I have had dry mouth for a while now, but it seems to be getting worse.""",Dry Mouth,Severity,Moderate,Neutral/Standard Register,Neutral,2,False,False,True
22," ""I've been having this really dry mouth lately. It's like my mouth is always parched and I can't produce enough saliva.""",Dry Mouth,Severity,Mild,Informal Register,Friendly,2,False,True,False
23," ""I am experiencing a severe dry mouth, it is so dry that I can feel the sandpaper like texture of my tongue rubbing against the roof of my mouth. It is so annoying and frustrating that I can't even sleep at night because of it.""",Dry Mouth,Severity,Severe,Formal Register,Angry,4,False,True,True
24," ""I am unable to speak above a whisper due to my hoarseness, you incompetent fool!""",Hoarseness,Severity,Very severe,Formal Register,Insulting,1,False,False,True
25," ""I can't stop coughin' and my voice is all raspy like I got a frog in my throat, and I'm so scared I'm gonna die from this.""",Hoarseness,Severity,Not sexually active,Vulgar Register,Fearful,3,False,False,False
26," ""I have been experiencing hoarseness for a while now, but I am not sure when it started.""",Hoarseness,Severity,Prefer not to answer,Formal Register,Confused,1,False,False,True
27," ""I cant speak properly cuz my voice is all hoarse and raspy!""",Hoarseness,Severity,None,Informal Register,Angry,1,False,False,True
28," ""I have been experiencing hoarseness for the past few days, and it is getting worse and worse.""",Hoarseness,Severity,Not applicable,Formal Register,Fearful,3,False,False,True
29," ""I got a sore throat and my voice is all hoarse, mate.""",Hoarseness,Severity,Moderate,Vulgar Register,Neutral,2,False,False,False
30," ""I am shocked to discover that my voice has become so hoarse, it is as if I had been screaming for hours on end.""",Hoarseness,Severity,Mild,Formal Register,Insulting,5,False,False,False
31," ""I got a real bad case of a sore throat, it's like me voice is all hoarse and rough like sandpaper.""",Hoarseness,Severity,Severe,Vulgar Register,Friendly,1,False,False,True
32," ""I've had these little sores in my mouth and throat for a week now and they just won't go away. They're really painful when I eat or drink anything and I've been having trouble sleeping because of them. I've been trying to eat soft foods but it's really hard to find things that I can eat that won't hurt when I swallow. I've also been having trouble talking to people because it hurts when I talk. I've tried to avoid talking to anyone as much as I can but it's really hard because I'm lonely and I need to talk to people. I've been trying to avoid spicy or acidic foods because I think that might make the sores worse but I'm not really sure what I should be eating. I've also been trying to avoid touching the sores with my tongue or fingers but it's really hard not to do that. I've been trying to keep my mouth clean by brushing my teeth and rinsing with mouthwash but I'm not really sure if that's helping or not. I've been trying to avoid kissing anyone because I don't want to spread these sores to anyone else but I'm not really sure if that's what they are or not. I've been trying to avoid having sex with anyone because I don't want to spread these sores to anyone else but I'm not really sure if that's what they are or not. I've been trying to avoid hugging anyone because I don't want to spread",Mouth/throat sores,Interference (with daily activities),Not at all,Informal Register,Friendly,5,False,False,True
33," ""I've been having these sores in my mouth and throat for a while now and it's really starting to scare me. I don't know what's causing them and I'm worried that I might have some kind of cancer or something.""",Mouth/throat sores,Interference (with daily activities),A little bit,Neutral/Standard Register,Fearful,3,False,False,True
34," ""My mouth is a battlefield, a war zone of sores, each one a tiny volcano of pain, spewing forth a torrent of agony, a constant reminder of my weakened state, a cruel taunt from my body to my mind, a constant insult to my dignity.""",Mouth/throat sores,Interference (with daily activities),Somewhat,Poetic/Literary Register,Insulting,5,True,True,True
35," ""I got these blisters in my mouth and throat and it's been buggin me for a few days now. I can't even swallow properly and it hurts like hell when I try to eat or drink somethin. I'm so sick of this shit.""",Mouth/throat sores,Interference (with daily activities),Quite a bit,Vulgar Register,Confused,2,False,False,True
36," ""My mouth is a battlefield, a war zone of sores and pain, where even the softest brush of a tongue is a torture, a torment, a trial by fire.""",Mouth/throat sores,Interference (with daily activities),Very much,Poetic/Literary Register,Confused,4,False,False,False
37," ""I've had these mouth/throat sores for a few days now and they're really painful. They're all over my mouth and tongue and even on the inside of my cheeks. They're really sore and tender and even swallowing is painful.""",Mouth/throat sores,Severity,Very severe,Informal Register,Friendly,3,False,False,False
38," ""My mouth is on fire and it feels like I have a thousand razor blades slicing through my tongue and the roof of my mouth.""",Mouth/throat sores,Severity,Not sexually active,Poetic/Literary Register,Angry,1,False,False,True
39," ""I have been experiencing mouth and throat sores for the past few weeks. They are very painful and keep on recurring. They are small and round with a red colour. They are also very itchy and keep on cracking and bleeding. I have been trying to avoid spicy and acidic foods but it is very difficult. I have been taking paracetamol but it does not seem to be helping much.""",Mouth/throat sores,Severity,Prefer not to answer,Formal Register,Neutral,4,True,True,True
40," ""I have been experiencing some mouth/throat sores for the past few days. They are very painful and I have been having trouble eating and sleeping because of them. I have been trying to take care of myself and eat healthy, but I just can't seem to shake this cold. I hope that you can help me figure out what is wrong with me.""",Mouth/throat sores,Severity,None,Formal Register,Friendly,5,False,True,True
41," ""My mouth is a battlefield, a war zone of pain and discomfort. My tongue is a map of sores, each one a reminder of the battles I have fought. My throat is dry and sore, a constant reminder of the wounds I have suffered.""",Mouth/throat sores,Severity,Not applicable,Poetic/Literary Register,Confused,3,True,True,False
42," ""My mouth is a battlefield, with sores that are as red as rubies, and as sore as a thousand suns.""",Mouth/throat sores,Severity,Moderate,Poetic/Literary Register,Confused,2,False,False,True
43," ""I got these blisters in my mouth and throat, and they hurt like hell. I can't even swallow properly.""",Mouth/throat sores,Severity,Mild,Vulgar Register,Confused,1,True,False,True
44," ""I have these sores in my mouth and throat and they are very painful and itchy.""",Mouth/throat sores,Severity,Severe,Neutral/Standard Register,Confused,1,False,False,True
45," ""I cant speak proper no more, my voice sounds like a frog croaking, it scares the shit outta me, I dont know what the hell is wrong with me, I cant even talk to my wife properly no more, I'm so scared, I dont know what to do, I cant even sleep at night thinking about it, I'm so scared, I dont know what the hell is wrong with me, I cant even talk to my wife properly no more, I'm so scared, I dont know what to do, I cant even sleep at night thinking about it, I'm so scared, I dont know what the hell is wrong with me, I cant even talk to my wife properly no more, I'm so scared, I dont know what to do, I cant even sleep at night thinking about it, I'm so scared, I dont know what the hell is wrong with me, I cant even talk to my wife properly no more, I'm so scared, I dont know what to do, I cant even sleep at night thinking about it, I'm so scared, I dont know what the hell is wrong with me, I cant even talk to my wife properly no more, I'm so scared, I dont know what to do, I cant even sleep at night thinking about it, I'm so scared, I dont know what the hell is wrong with me, I cant even talk to my wife properly no more, I'm so scared, I dont know",Voice quality changes,Presence/Absence,Not sexually active,Vulgar Register,Fearful,2,False,True,True
46," ""My voice keeps breaking and cracking.""",Voice quality changes,Presence/Absence,Prefer not to answer,Informal Register,Angry,1,False,False,False
47," ""I got a f**king sore throat, and my voice sounds like a f**king frog.""",Voice quality changes,Presence/Absence,Not applicable,Vulgar Register,Insulting,4,False,False,False
48," ""I noticed that my voice sounds hoarse and rough, and it's really bothering me.""",Voice quality changes,Presence/Absence,No,Neutral/Standard Register,Fearful,4,False,False,False
49," ""I can't tell ya what's wrong with me, but somethin' is wrong with me voice, ya hear? It's all hoarse and crackly like I got a frog in me throat or somethin'.""",Voice quality changes,Presence/Absence,Yes,Vulgar Register,Confused,3,False,False,False
50," ""I have been experiencing abdominal pain for the past three days. The pain is constant and severe, and it is located in the lower right quadrant of my abdomen. The pain is accompanied by nausea and vomiting. I have also noticed that I have less frequent bowel movements and the stool is hard and dry. I have tried to eat and drink to alleviate the pain, but nothing seems to work. The pain is so severe that I have been unable to leave my bed.""",Abdominal pain,Interference (with daily activities),Not at all,Formal Register,Neutral,5,True,False,False
51," ""I have been experiencing severe abdominal pain for the past three days and it is interfering with my daily activities a little bit.""",Abdominal pain,Interference (with daily activities),A little bit,Formal Register,Angry,1,False,False,True
52," ""I've been feeling like I've been punched in the gut for the past few days. It's like a knife is twisting in my belly all the time. I can't sleep because of the pain and I'm always tired. I feel like I'm going to throw up all the time. I can't eat because of the nausea and the pain. I feel like I'm going to pass out all the time. I can't concentrate on anything because of the pain and the fatigue. I feel like I'm going to die.""",Abdominal pain,Interference (with daily activities),Somewhat,Informal Register,Insulting,5,True,False,False
53," ""I have had abdominal pain for quite a bit now and it is affecting my daily activities quite a bit.""",Abdominal pain,Interference (with daily activities),Quite a bit,Neutral/Standard Register,Angry,3,False,True,True
