,Symptoms,Dialogue_Generated,Language_style,Tone,Detail_level,Enumeration,Explicit_symptom,Spelling_errors,Prompt
0,"['Anemia', 'Eosinophilia', 'Neutrophil count decreased', 'Jejunal stenosis', 'Joint range of motion decreased', 'Rectal obstruction']","""I dont wanna be on the operaion again, my body cant handle the anemia, I'm losin all my iron, my neutrophils are too few, my count is defentley low, I dont no how to deal with this, its so annoyin to be in pain and having a rectal obstrckion too, I dont wanna see my doc again, I just wanna get better, I dont wanna be a part of this, I dont wanna see my familee again, I just wanna die, I dont wanna be alive, I dont wanna be a part of this, I dont wanna see my doc again, I just wanna die, I dont wanna be alive.""",Formal Register,Friendly,5,False,False,True,"Write a phrase from a sick patient describing their symptoms. The symptoms the patient describes are: Anemia, Eosinophilia, Neutrophil count decreased, Jejunal stenosis, Joint range of motion decreased, Rectal obstruction. The patient speaks in Formal Register and uses a Friendly tone. The description should be very detailed and comprehensive. Include spelling mistakes in the patient's description. Respond with only the sentence in the patient's voice, enclosed in double quotes, without any additional text, comments, or notes."
1,"['Blood and lymphatic system disorders - Other, specify']","""My blood is all thick and itchy, like it's been sitting in the fridge, and my lymphatic system is all inflamed and sore, like it's been kicked about by a herd of angry cattle, and I've got this awful feeling that I'm going to be sick again, like it's going to happen tomorrow, and I'm not sure if I'm getting enough treatment, like I'm not sure if I'm getting enough blood transfusions, and I've got this terrible rash on my skin that's not even red, it's more like it's been burned, and I don't know what to do, I feel like I'm going to collapse, I'm so tired and I don't know if I can make it through the day, I'm scared, I don't know if I'll be able to get the treatment I need, I'm so worried about my blood and lymphatic system, I just want to know what's going to happen to me, I'm so desperate to get my blood flowing again, I just want to be whole again, I don't know if I'll ever be whole again, I'm so tired and I don't know if I can make it through the day, I'm scared, I don't know if I'll be able to get the treatment I need, I'm so worried about my blood and lymphatic system, I just want to know what's going to happen to me, I'm so desperate to get",Formal Register,Confused,4,False,False,False,"Write a phrase from a sick patient describing their symptoms. The symptoms the patient describes are: Blood and lymphatic system disorders - Other, specify. The symptoms are graded on a scale of ['Grade 1'] (in the same order as the symptoms list), where 1 is the least severe and 5 is the most severe. These grades correspond to the following descriptions: ['Asymptomatic or mild symptoms; clinical or diagnostic observations only; intervention not indicated']. The patient speaks in Formal Register and uses a Confused tone. The description should be detailed and thorough. Respond with only the sentence in the patient's voice, enclosed in double quotes, without any additional text, comments, or notes."
2,['Bone marrow hypocellular'],"""Ouch, me feelin' like I got hit by a ton of bricks, me bone marrow be all hypocellular, me bone marrow be reduced to less than 50% cellularity, that's like 25% less than normal, not even 25% less than normal, me bone marrow be hypocellular, that's a big deal, me feelin' like I got hit by a ton of bricks, me bone marrow be all hypocellular, me bone marrow be reduced to less than 50% cellularity, that's like 25% less than normal, not even 25% less than normal, me bone marrow be hypocellular, that's a big deal, me feelin' like I got hit by a ton of bricks, me bone marrow be all hypocellular, me bone marrow be reduced to less than 50% cellularity, that's like 25% less than normal, not even 25% less than normal, me bone marrow be hypocellular, that's a big deal, me feelin' like I got hit by a ton of bricks, me bone marrow be all hypocellular, me bone marrow be reduced to less than 50% cellularity, that's like 25% less than normal, not even 25% less than normal, me bone marrow be hypocellular, that's a big deal, me feelin' like I got hit by a ton of bricks, me bone marrow be all hypocellular, me bone",Poetic/Literary Register,Friendly,3,False,False,True,"Write a phrase from a sick patient describing their symptoms. The symptoms the patient describes are: Bone marrow hypocellular. The symptoms are graded on a scale of ['Grade 2'] (in the same order as the symptoms list), where 1 is the least severe and 5 is the most severe. These grades correspond to the following descriptions: ['Moderately hypocellular or >25 - <50% reduction from normal cellularity for age']. The patient speaks in Poetic/Literary Register and uses a Friendly tone. The description should provide a moderate level of detail. Include spelling mistakes in the patient's description. Respond with only the sentence in the patient's voice, enclosed in double quotes, without any additional text, comments, or notes."
3,['Disseminated intravascular coagulation'],"""I'm in agony, I can feel my blood clots everywhere, it's not just my legs, it's my whole body, and it's spreading fast, I'm in a world of pain, my heart is racing, and my lungs are burning, I'm not sure how much longer I can go, the pain is like a knife, it's not just the physical pain, it's the emotional pain too, I'm in a world of pain, and I don't know if I'll ever be able to go back to normal.""",Neutral/Standard Register,Angry,3,False,False,False,"Write a phrase from a sick patient describing their symptoms. The symptoms the patient describes are: Disseminated intravascular coagulation. The symptoms are graded on a scale of ['Grade 3'] (in the same order as the symptoms list), where 1 is the least severe and 5 is the most severe. These grades correspond to the following descriptions: ['Laboratory findings and bleeding']. The patient speaks in Neutral/Standard Register and uses a Angry tone. The description should provide a moderate level of detail. Respond with only the sentence in the patient's voice, enclosed in double quotes, without any additional text, comments, or notes."
4,['Eosinophilia'],"""Oh woe is me, my sinuses do ache with a fiery blaze, my throat doth burn with a bitter flame, my lungs do feel like a furnace, my chest doth ache with a hollow roar.""",Poetic/Literary Register,Confused,2,False,False,False,"Write a phrase from a sick patient describing their symptoms. The symptoms the patient describes are: Eosinophilia. The symptoms are graded on a scale of ['Grade 3'] (in the same order as the symptoms list), where 1 is the least severe and 5 is the most severe. These grades correspond to the following descriptions: ['Steroids initiated']. The patient speaks in Poetic/Literary Register and uses a Confused tone. The description should be brief with some basic details. Respond with only the sentence in the patient's voice, enclosed in double quotes, without any additional text, comments, or notes."
5,"['Febrile neutropenia', 'Myocarditis']","""Ah, cruel fate, to suffer thus: I am beset by febrile neutropenia, a scourge that ravages my neutrophils, leaving me with a weakened immune system. The myocarditis, a festering wound, festers within my chest, a constant reminder of my mortal coil. The severity of these two afflictions, a double-edged sword, is a heavy burden to bear. For Grade 1, I am but a faint spark, a dying ember, that flickers in the darkness, a beacon of hope, yet a reminder of my fragile state. For Grade 4, I am a raging fire, a tempest in a teapot, that rages with unrelenting fury, a burning inferno that threatens to consume me whole. Alas, I am but a mere mortal, a fleeting moment in the grand tapestry of time, and yet, I am doomed to suffer thus, a martyr to my own mortality.""",Poetic/Literary Register,Neutral,3,True,True,False,"Write a phrase from a sick patient describing their symptoms. The symptoms the patient describes are: Febrile neutropenia, Myocarditis. The symptoms are graded on a scale of ['Grade 1', 'Grade 4'] (in the same order as the symptoms list), where 1 is the least severe and 5 is the most severe. These grades correspond to the following descriptions: [' -', 'Life-threatening consequences; urgent intervention indicated (e.g., continuous IV therapy or mechanical hemodynamic support)']. The patient speaks in Poetic/Literary Register and uses a Neutral tone. The description should provide a moderate level of detail. The patient should enumerate their symptoms directly.The patient should explicitly mention all symptoms they have, specifically: Febrile neutropenia, Myocarditis. Respond with only the sentence in the patient's voice, enclosed in double quotes, without any additional text, comments, or notes."
6,['Hemolysis'],"""I cant beleive I hae to go through this transfusion agen, its goin to kill me!!""",Informal Register,Angry,4,False,False,True,"Write a phrase from a sick patient describing their symptoms. The symptoms the patient describes are: Hemolysis. The symptoms are graded on a scale of ['Grade 3'] (in the same order as the symptoms list), where 1 is the least severe and 5 is the most severe. These grades correspond to the following descriptions: ['Transfusion or medical intervention indicated (e.g., steroids)']. The patient speaks in Informal Register and uses a Angry tone. The description should be detailed and thorough. Include spelling mistakes in the patient's description. Respond with only the sentence in the patient's voice, enclosed in double quotes, without any additional text, comments, or notes."
7,['Hemolytic uremic syndrome'],"""I am consumed by a burning sensation in my abdomen, which has been persisting for the past three days, a burning sensation that is not only localized to my abdomen but also radiates to my back, and is accompanied by a severe abdominal pain that is worsened by movement, with a pain that is described as a sharp, stabbing, and excruciating pain that is accompanied by a metallic taste that is not only unpleasant but also nauseating.""",Formal Register,Insulting,5,False,False,False,"Write a phrase from a sick patient describing their symptoms. The symptoms the patient describes are: Hemolytic uremic syndrome. The symptoms are graded on a scale of ['Grade 3'] (in the same order as the symptoms list), where 1 is the least severe and 5 is the most severe. These grades correspond to the following descriptions: ['Laboratory findings with clinical consequences (e.g., renal insufficiency, petechiae)']. The patient speaks in Formal Register and uses a Insulting tone. The description should be very detailed and comprehensive. Respond with only the sentence in the patient's voice, enclosed in double quotes, without any additional text, comments, or notes."
8,['Leukocytosis'],"""I am experiencing a severe and rapid increase in white blood cell count, which is now at grade 5, and I am feeling extremely weak and tired, with a fever of 38 degrees Celsius, and my body is aching all over, and I am experiencing severe abdominal pain, and my abdomen is tender to the touch, and I am having trouble breathing, and I am experiencing a metallic taste in my mouth, and I am having difficulty swallowing, and my mouth is feeling dry and cracked, and I am having trouble speaking, and my voice is hoarse, and I am experiencing a severe and persistent headache, and my headache is throbbing and is getting worse by the hour, and I am feeling extremely nauseous, and I am having trouble keeping my eyes open, and I am feeling extremely fatigued, and I am experiencing a severe and persistent cough, and my cough is dry and hacking, and I am having trouble clearing my throat, and my throat is sore and tender to the touch, and I am having trouble swallowing, and my mouth is feeling dry and cracked, and I am having trouble speaking, and my voice is hoarse, and I am experiencing a severe and persistent headache, and my headache is throbbing and is getting worse by the hour, and I am feeling extremely nauseous, and I am having trouble keeping my eyes open, and I am feeling extremely fatigued, and I am experiencing a severe and persistent cough, and my cough is dry",Formal Register,Friendly,4,True,False,False,"Write a phrase from a sick patient describing their symptoms. The symptoms the patient describes are: Leukocytosis. The symptoms are graded on a scale of ['Grade 5'] (in the same order as the symptoms list), where 1 is the least severe and 5 is the most severe. These grades correspond to the following descriptions: ['Death']. The patient speaks in Formal Register and uses a Friendly tone. The description should be detailed and thorough. The patient should enumerate their symptoms directly.Respond with only the sentence in the patient's voice, enclosed in double quotes, without any additional text, comments, or notes."
9,['Lymph node pain'],"""I dont no wut dis is goin on in my body its makin me feel like i got a nasty case of the plague and i cant beleev its true - i feel pain in my lymph nodes its like a knife in my side and its geting worse by the day - my throat is killin me and i cant even swallow""",Informal Register,Insulting,2,False,False,True,"Write a phrase from a sick patient describing their symptoms. The symptoms the patient describes are: Lymph node pain. The symptoms are graded on a scale of ['Grade 5'] (in the same order as the symptoms list), where 1 is the least severe and 5 is the most severe. These grades correspond to the following descriptions: [' -']. The patient speaks in Informal Register and uses a Insulting tone. The description should be brief with some basic details. Include spelling mistakes in the patient's description. Respond with only the sentence in the patient's voice, enclosed in double quotes, without any additional text, comments, or notes."
