,Symptoms,Dialogue_Generated,Language_style,Tone,Detail_level,Enumeration,Explicit_symptom,Spelling_errors,Prompt
0,['Anemia'],"""I'm feeling really weak all the time, and my blood is always thin, it's really bad.""",Neutral/Standard Register,Confused,2,False,False,False,"Write a phrase from a sick patient describing their symptoms. The symptoms the patient describes are: Anemia. The symptoms are graded on a scale of ['Grade 4'] (in the same order as the symptoms list), where 1 is the least severe and 5 is the most severe. These grades correspond to the following descriptions: ['Life-threatening consequences; urgent intervention indicated']. The patient speaks in Neutral/Standard Register and uses a Confused tone. The description should be brief with some basic details. Respond with only the sentence in the patient's voice, enclosed in double quotes, without any additional text, comments, or notes."
1,"['Blood and lymphatic system disorders - Other, specify']","""Oh wretched doctor, how I suffer! My body's a battleground, beset by blood and lymphatic system disorders that assail me, a plague upon my noble form. My lymphatic system, a labyrinth of torment, is overwrought, inflamed, and inflamed again, with lymph nodes swollen and painful, a festering sore that gnaws at my insides, a constant reminder of my suffering, and my blood, a mire of pus and blood, a noxious cloud that clings to me, a stench that wafts through my nostrils, a noxious fume that chokes my lungs, and my heart, a heavy drumbeat that pounds out a rhythm of pain and woe.""",Poetic/Literary Register,Insulting,5,False,True,False,"Write a phrase from a sick patient describing their symptoms. The symptoms the patient describes are: Blood and lymphatic system disorders - Other, specify. The symptoms are graded on a scale of ['Grade 3'] (in the same order as the symptoms list), where 1 is the least severe and 5 is the most severe. These grades correspond to the following descriptions: ['Severe or medically significant but not immediately life-threatening; hospitalization or prolongation of existing hospitalization indicated; limiting self care ADL']. The patient speaks in Poetic/Literary Register and uses a Insulting tone. The description should be very detailed and comprehensive. The patient should explicitly mention all symptoms they have, specifically: Blood and lymphatic system disorders - Other, specify. Respond with only the sentence in the patient's voice, enclosed in double quotes, without any additional text, comments, or notes."
2,['Bone marrow hypocellular'],"""""Oh, cruel fate, that hath besmirched my bone marrow, leaving naught but a hollow shell of what once was, a cavernous space, devoid of the marrow's vital spark, a desolate wasteland, devoid of life, my bones, once strong and supple, now shriveled and still, as if the marrow's sweet nectar had been drained from me, leaving only a barren, lifeless husk, a shadow of what I once was, a mere specter of my former self, a bleak and barren landscape, devoid of hope, my bones, a hollow, empty shell, a desolate, lifeless husk, devoid of life, my bones, once strong and supple, now shriveled and still, as if the marrow's sweet nectar had been drained from me, leaving only a barren, lifeless husk, a shadow of what I once was, a bleak and barren landscape, devoid of hope, my bones, a hollow, empty shell, a desolate, lifeless husk, devoid of life, my bones, once strong and supple, now shriveled and still, as if the marrow's sweet nectar had been drained from me, leaving only a barren, lifeless husk, a shadow of what I once was, a bleak and barren landscape, devoid of hope, my bones, a hollow, empty shell, a desolate, lifeless husk, devoid of life, my",Poetic/Literary Register,Fearful,3,False,False,False,"Write a phrase from a sick patient describing their symptoms. The symptoms the patient describes are: Bone marrow hypocellular. The patient speaks in Poetic/Literary Register and uses a Fearful tone. The description should provide a moderate level of detail. Respond with only the sentence in the patient's voice, enclosed in double quotes, without any additional text, comments, or notes."
3,"['Disseminated intravascular coagulation', 'Lipase increased']","""Ow, me feelin' pretty bad. Me got lots of blood in me body. Me feelin' like me bein' bleed all over me self. Me also got a big pain in me head, like a big hammer hit me. Me lipase is high, like 1000. Me not sure what that means, but me feelin' like me got a big hole in me mouth. Me feelin' like me bein' sick all the time, not just a little bit sick. Me feelin' like me bein' really sick, not just a little bit sick. Me lipase is high, like 1000. Me not sure what that means, but me feelin' like me got a big hole in me mouth.""",Vulgar Register,Neutral,3,False,False,True,"Write a phrase from a sick patient describing their symptoms. The symptoms the patient describes are: Disseminated intravascular coagulation, Lipase increased. The symptoms are graded on a scale of ['Grade 3', 'Grade 3'] (in the same order as the symptoms list), where 1 is the least severe and 5 is the most severe. These grades correspond to the following descriptions: ['Laboratory findings and bleeding', '>2.0 - 5.0 x ULN with signs or symptoms; >5.0 x ULN and asymptomatic']. The patient speaks in Vulgar Register and uses a Neutral tone. The description should provide a moderate level of detail. Include spelling mistakes in the patient's description. Respond with only the sentence in the patient's voice, enclosed in double quotes, without any additional text, comments, or notes."
4,['Eosinophilia'],"""I feel like I'm bloating up somwhat in my belly and my lungs are getting all inflomed and my heart is getting all beat up. It's like my insides are being sucked in and I can't get the air out. I have a fever that's >ULN and >Baseline, and I feel like I'm getting all the feels in my body. I'm having a hard time catchin my breath and my throat is all sore and my insides are gettin all mushy. I think I'm gettin a bad case of the flu, but I don't know. I'm feelin so unwell and I don't know how to get the meds that I need.""",Neutral/Standard Register,Fearful,4,False,False,True,"Write a phrase from a sick patient describing their symptoms. The symptoms the patient describes are: Eosinophilia. The symptoms are graded on a scale of ['Grade 1'] (in the same order as the symptoms list), where 1 is the least severe and 5 is the most severe. These grades correspond to the following descriptions: ['>ULN and >Baseline']. The patient speaks in Neutral/Standard Register and uses a Fearful tone. The description should be detailed and thorough. Include spelling mistakes in the patient's description. Respond with only the sentence in the patient's voice, enclosed in double quotes, without any additional text, comments, or notes."
5,['Febrile neutropenia'],"""I have a fever of 39.5 degrees Celsius and a neutrophil count of 0.2 million per cubic millimeter, which is a Grade 2.""",Formal Register,Neutral,4,True,False,False,"Write a phrase from a sick patient describing their symptoms. The symptoms the patient describes are: Febrile neutropenia. The symptoms are graded on a scale of ['Grade 2'] (in the same order as the symptoms list), where 1 is the least severe and 5 is the most severe. These grades correspond to the following descriptions: [' -']. The patient speaks in Formal Register and uses a Neutral tone. The description should be detailed and thorough. The patient should enumerate their symptoms directly.Respond with only the sentence in the patient's voice, enclosed in double quotes, without any additional text, comments, or notes."
6,"['Hemolysis', 'Periorbital edema']","""My eyes feel like they're on fire, and I'm pretty sure I'm seeing stars right now. My face is all puffy, and I'm getting more and more indurated by the minute. I can feel the blood pooling in my veins, and I can smell the stench of my own blood. I've been getting this terrible feeling in my chest, it's like a heavy weight is crushing me. My legs are all achy and swollen, and I can feel the tendons and muscles in my legs on fire. I'm starting to feel like I'm going to pass out. I've been trying to eat, but I can barely swallow anything without it coming out all over my mouth. I'm getting a bad headache, and I can feel my ears and nose are all red and swollen. I'm so scared, I don't know what to do. I just want to feel better, please.""",Informal Register,Fearful,5,False,False,False,"Write a phrase from a sick patient describing their symptoms. The symptoms the patient describes are: Hemolysis, Periorbital edema. The symptoms are graded on a scale of ['Grade 2', 'Grade 2'] (in the same order as the symptoms list), where 1 is the least severe and 5 is the most severe. These grades correspond to the following descriptions: ['Evidence of hemolysis and >=2 g decrease in hemoglobin', 'Indurated or pitting edema; topical intervention indicated']. The patient speaks in Informal Register and uses a Fearful tone. The description should be very detailed and comprehensive. Respond with only the sentence in the patient's voice, enclosed in double quotes, without any additional text, comments, or notes."
7,"['Hemolytic uremic syndrome', 'Portal vein thrombosis']","""I'm dying, I'm dying...""",Informal Register,Confused,1,False,False,False,"Write a phrase from a sick patient describing their symptoms. The symptoms the patient describes are: Hemolytic uremic syndrome, Portal vein thrombosis. The symptoms are graded on a scale of ['Grade 5', 'Grade 3'] (in the same order as the symptoms list), where 1 is the least severe and 5 is the most severe. These grades correspond to the following descriptions: ['Death', 'Medical intervention indicated']. The patient speaks in Informal Register and uses a Confused tone. The description should be very brief with minimal details. Respond with only the sentence in the patient's voice, enclosed in double quotes, without any additional text, comments, or notes."
8,['Leukocytosis'],"""I feel like I'm dying and my body is full of white blood cells, I'm so scared I'll not be able to breathe, I'm not hungry, my mouth is dry, my stomach is bloated, I'm so weak I don't think I can even stand up, I'm dying, I'm dying.""",Informal Register,Fearful,1,True,False,True,"Write a phrase from a sick patient describing their symptoms. The symptoms the patient describes are: Leukocytosis. The symptoms are graded on a scale of ['Grade 5'] (in the same order as the symptoms list), where 1 is the least severe and 5 is the most severe. These grades correspond to the following descriptions: ['Death']. The patient speaks in Informal Register and uses a Fearful tone. The description should be very brief with minimal details. The patient should enumerate their symptoms directly.Include spelling mistakes in the patient's description. Respond with only the sentence in the patient's voice, enclosed in double quotes, without any additional text, comments, or notes."
9,['Lymph node pain'],"""I'm in agony, my lymph nodes are throbbing, it's like a knife is stabbing me all over, I feel like I'm going to die, I just want it to stop, I'm begging the doctors to make it go away, I just want to be free of this pain, I'm on the edge of a cliff, I'm not sure if I can take it anymore, please, please, please, can you make it stop?""",Informal Register,Angry,4,True,False,False,"Write a phrase from a sick patient describing their symptoms. The symptoms the patient describes are: Lymph node pain. The symptoms are graded on a scale of ['Grade 5'] (in the same order as the symptoms list), where 1 is the least severe and 5 is the most severe. These grades correspond to the following descriptions: [' -']. The patient speaks in Informal Register and uses a Angry tone. The description should be detailed and thorough. The patient should enumerate their symptoms directly.Respond with only the sentence in the patient's voice, enclosed in double quotes, without any additional text, comments, or notes."
