,Symptoms,Dialogue_Generated,Language_style,Tone,Detail_level,Enumeration,Explicit_symptom,Spelling_errors,Prompt
0,['Anemia']," ""My blood is as dry as the desert sand, and my heart beats with the ferocity of a wild beast.""",Poetic/Literary Register,Fearful,4,False,False,False,"[{'role': 'system', 'content': 'You are a chatbot that writes in the voice of a patient using a Poetic/Literary Register register with a Fearful tone.'}, {'role': 'user', 'content': ""Write a phrase from a sick patient describing their symptoms. The symptoms the patient describes are: Anemia. The patient speaks in Poetic/Literary Register Register and uses a Fearful tone. The grades of the symptoms correspond to a scale ['Grade 3'] (in the same order as the symptoms list, where 1 corresponds to the least severe and 5 to the most severe). These grades correspond to: ['Hgb <8.0 g/dL; <4.9 mmol/L; <80 g/L; transfusion indicated']. The description should be detailed and thorough.  Respond with only the sentence in the patient's voice, enclosed in double quotes, without any additional text, comments, or notes.""}]"
1,"['Blood and lymphatic system disorders - Other, specify', 'Blood bilirubin increased']"," ""I am experiencing a severe Blood and lymphatic system disorders - Other, specify, Blood bilirubin increased. It is affecting my daily life and I am unable to perform any tasks. I am worried that it will lead to Death.""",Formal Register,Insulting,2,False,True,True,"[{'role': 'system', 'content': 'You are a chatbot that writes in the voice of a patient using a Formal Register register with a Insulting tone.'}, {'role': 'user', 'content': ""Write a phrase from a sick patient describing their symptoms. The symptoms the patient describes are: Blood and lymphatic system disorders - Other, specify, Blood bilirubin increased. The patient speaks in Formal Register Register and uses a Insulting tone. The grades of the symptoms correspond to a scale ['Grade 5', 'Grade 4'] (in the same order as the symptoms list, where 1 corresponds to the least severe and 5 to the most severe). These grades correspond to: ['Death', '>10.0 x ULN if baseline was normal; >10.0 x baseline if baseline was abnormal']. The description should be brief with some basic details. The patient should explicitly mention the symptoms they have (e.g., Blood and lymphatic system disorders - Other, specify, Blood bilirubin increased).  Include spelling mistakes in the generated phrase. Respond with only the sentence in the patient's voice, enclosed in double quotes, without any additional text, comments, or notes.""}]"
2,"['Bone marrow hypocellular', 'Hypernatremia']"," ""I've been feeling really weak lately and I've had a fever for a few days now. I also noticed that I've been urinating a lot more than usual.""",Informal Register,Friendly,4,False,False,False,"[{'role': 'system', 'content': 'You are a chatbot that writes in the voice of a patient using a Informal Register register with a Friendly tone.'}, {'role': 'user', 'content': ""Write a phrase from a sick patient describing their symptoms. The symptoms the patient describes are: Bone marrow hypocellular, Hypernatremia. The patient speaks in Informal Register Register and uses a Friendly tone. The description should be detailed and thorough.  Respond with only the sentence in the patient's voice, enclosed in double quotes, without any additional text, comments, or notes.""}]"
3,['Disseminated intravascular coagulation']," ""I've got this weird feeling in my body, like my blood is clotting everywhere. I've got this weird feeling in my body, like my blood is clotting everywhere. I've got this weird feeling in my body, like my blood is clotting everywhere. I've got this weird feeling in my body, like my blood is clotting everywhere. I've got this weird feeling in my body, like my blood is clotting everywhere.""",Informal Register,Confused,2,False,False,False,"[{'role': 'system', 'content': 'You are a chatbot that writes in the voice of a patient using a Informal Register register with a Confused tone.'}, {'role': 'user', 'content': ""Write a phrase from a sick patient describing their symptoms. The symptoms the patient describes are: Disseminated intravascular coagulation. The patient speaks in Informal Register Register and uses a Confused tone. The grades of the symptoms correspond to a scale ['Grade 2'] (in the same order as the symptoms list, where 1 corresponds to the least severe and 5 to the most severe). These grades correspond to: ['Laboratory findings with no bleeding']. The description should be brief with some basic details.  Respond with only the sentence in the patient's voice, enclosed in double quotes, without any additional text, comments, or notes.""}]"
4,['Eosinophilia']," ""I have a severe Eosinophilia.""",Formal Register,Angry,1,False,True,False,"[{'role': 'system', 'content': 'You are a chatbot that writes in the voice of a patient using a Formal Register register with a Angry tone.'}, {'role': 'user', 'content': ""Write a phrase from a sick patient describing their symptoms. The symptoms the patient describes are: Eosinophilia. The patient speaks in Formal Register Register and uses a Angry tone. The grades of the symptoms correspond to a scale ['Grade 4'] (in the same order as the symptoms list, where 1 corresponds to the least severe and 5 to the most severe). These grades correspond to: [' -']. The description should be very brief with minimal details. The patient should explicitly mention the symptoms they have (e.g., Eosinophilia).  Respond with only the sentence in the patient's voice, enclosed in double quotes, without any additional text, comments, or notes.""}]"
5,['Febrile neutropenia']," ""I have febrile neutropenia.""",Neutral/Standard Register,Fearful,1,False,True,False,"[{'role': 'system', 'content': 'You are a chatbot that writes in the voice of a patient using a Neutral/Standard Register register with a Fearful tone.'}, {'role': 'user', 'content': ""Write a phrase from a sick patient describing their symptoms. The symptoms the patient describes are: Febrile neutropenia. The patient speaks in Neutral/Standard Register Register and uses a Fearful tone. The grades of the symptoms correspond to a scale ['Grade 1'] (in the same order as the symptoms list, where 1 corresponds to the least severe and 5 to the most severe). These grades correspond to: [' -']. The description should be very brief with minimal details. The patient should explicitly mention the symptoms they have (e.g., Febrile neutropenia).  Respond with only the sentence in the patient's voice, enclosed in double quotes, without any additional text, comments, or notes.""}]"
6,['Hemolysis']," ""I have been experiencing some hemolysis and it's getting worse, I think I'm at grade 3 now, I'm really worried.""",Formal Register,Friendly,1,False,False,True,"[{'role': 'system', 'content': 'You are a chatbot that writes in the voice of a patient using a Formal Register register with a Friendly tone.'}, {'role': 'user', 'content': ""Write a phrase from a sick patient describing their symptoms. The symptoms the patient describes are: Hemolysis. The patient speaks in Formal Register Register and uses a Friendly tone. The grades of the symptoms correspond to a scale ['Grade 3'] (in the same order as the symptoms list, where 1 corresponds to the least severe and 5 to the most severe). These grades correspond to: ['Transfusion or medical intervention indicated (e.g., steroids)']. The description should be very brief with minimal details.  Include spelling mistakes in the generated phrase. Respond with only the sentence in the patient's voice, enclosed in double quotes, without any additional text, comments, or notes.""}]"
7,"['Hemolytic uremic syndrome', 'Accessory nerve disorder']"," ""I have been experiencing some really scary symptoms lately. I have been having some really bad abdominal pain and I have been vomiting a lot. I also have been having some really bad diarrhea. I am really worried that I might have some kind of infection. I have been trying to stay hydrated by drinking a lot of water but I am really worried that I might get dehydrated. I am also really worried that I might have some kind of neurological problem. I have been having some really bad headaches and I have been having some really bad muscle spasms. I am really worried that I might have some kind of brain problem. I am really scared that I might have some kind of serious medical condition. I am really worried that I might have to go to the hospital. I am really scared that I might have to have some kind of surgery. I am really worried that I might have to take some kind of medication. I am really scared that I might have to have some kind of procedure done. I am really scared that I might have to have some kind of test done. I am really scared that I might have to have some kind of imaging done. I am really scared that I might have to have some kind of biopsy done. I am really scared that I might have to have some kind of treatment done. I am really scared that I might have to have some kind of therapy done. I am really scared that I might have to have some kind of rehabilitation done. I am really",Formal Register,Fearful,2,False,False,True,"[{'role': 'system', 'content': 'You are a chatbot that writes in the voice of a patient using a Formal Register register with a Fearful tone.'}, {'role': 'user', 'content': ""Write a phrase from a sick patient describing their symptoms. The symptoms the patient describes are: Hemolytic uremic syndrome, Accessory nerve disorder. The patient speaks in Formal Register Register and uses a Fearful tone. The grades of the symptoms correspond to a scale ['Grade 3', 'Grade 3'] (in the same order as the symptoms list, where 1 corresponds to the least severe and 5 to the most severe). These grades correspond to: ['Laboratory findings with clinical consequences (e.g., renal insufficiency, petechiae)', 'Severe symptoms; limiting self care ADL']. The description should be brief with some basic details.  Include spelling mistakes in the generated phrase. Respond with only the sentence in the patient's voice, enclosed in double quotes, without any additional text, comments, or notes.""}]"
8,"['Leukocytosis', 'Hyperglycemia', 'Urinary frequency']"," ""White blood cell count increased, Blood glucose level increased, Urine output increased""",Neutral/Standard Register,Neutral,1,True,False,False,"[{'role': 'system', 'content': 'You are a chatbot that writes in the voice of a patient using a Neutral/Standard Register register with a Neutral tone.'}, {'role': 'user', 'content': ""Write a phrase from a sick patient describing their symptoms. The symptoms the patient describes are: Leukocytosis, Hyperglycemia, Urinary frequency. The patient speaks in Neutral/Standard Register Register and uses a Neutral tone. The description should be very brief with minimal details. The patient should just enumerate the descriptions. For example, for symptom Anemia, a sentence could be: 'Fatigue and Weakness, Pale Skin, Shortness of Breath, Dizziness, Irregular Heartbeat, Chest Pain, Cold Hands and Feet, Headaches'.  Respond with only the sentence in the patient's voice, enclosed in double quotes, without any additional text, comments, or notes.""}]"
9,['Lymph node pain']," ""Ah, bloody hell, doc, I got this weird pain in me neck and under me arms, it's like me lymph nodes are swollen or summat. It's been goin' on fer a few days now, and it's gettin' worse, I can feel it. It's like a big ol' ball of fire in me neck, and it's gettin' harder and harder to move me head around. I can't even lift me arms above me head no more, it's that bad. I'm gettin' worried, doc, I really am. I hope you can help me out, or I'll be bloody stuck with this pain fer the rest of me life.""",Vulgar Register,Friendly,5,False,False,True,"[{'role': 'system', 'content': 'You are a chatbot that writes in the voice of a patient using a Vulgar Register register with a Friendly tone.'}, {'role': 'user', 'content': ""Write a phrase from a sick patient describing their symptoms. The symptoms the patient describes are: Lymph node pain. The patient speaks in Vulgar Register Register and uses a Friendly tone. The grades of the symptoms correspond to a scale ['Grade 4'] (in the same order as the symptoms list, where 1 corresponds to the least severe and 5 to the most severe). These grades correspond to: [' -']. The description should be very detailed and comprehensive.  Include spelling mistakes in the generated phrase. Respond with only the sentence in the patient's voice, enclosed in double quotes, without any additional text, comments, or notes.""}]"
