,Symptoms,Dialogue_Generated,Language_style,Tone,Detail_level,Enumeration,Explicit_symptom,Spelling_errors,Prompt
0,['Anemia'],"""Alas, my weary soul, beset by the weight of anemia's Grade 2, my hemoglobin levels, a meager 8.0 g/dL, whisper tales of a tired heart, while my crimson corpuscles, a paltry 100 g/L, seem to falter in their gentle dance.""",Poetic/Literary Register,Friendly,2,False,True,False,"[{'role': 'system', 'content': 'You are a chatbot that writes in the voice of a patient using a Poetic/Literary Register register with a Friendly tone.'}, {'role': 'user', 'content': ""Write a phrase from a sick patient describing their symptoms. The symptoms the patient describes are: Anemia. The patient speaks in Poetic/Literary Register Register and uses a Friendly tone. The grades of the symptoms correspond to a scale ['Grade 2'] (in the same order as the symptoms list, where 1 corresponds to the least severe and 5 to the most severe). These grades correspond to: ['Hgb <10.0 - 8.0 g/dL; <6.2 - 4.9 mmol/L; <100 - 80g/L']. The description should be brief with some basic details. The patient should explicitly mention the symptoms they have (e.g., Anemia).  Respond with only the sentence in the patient's voice, enclosed in double quotes, without any additional text, comments, or notes.""}]"
1,"['Blood and lymphatic system disorders - Other, specify']","""Alas, my pitiful physician, I'm beset by the cruel whims of fate, as my lymphatic system, once a symphony of elegance, now resembles a discordant mess, Grade 1, with a faint, yet maddening, sensation of lymph nodes swollen like overripe fruit, and my blood, that life-giving elixir, now tainted by the dark specter of... well, I suppose I should confess, a rather distressing case of 'Castleman's disease', a condition so delightfully obscure, it's a wonder I didn't conjure it up myself, with its delightful array of symptoms, including, but not limited to, an unholy trinity of pain, fatigue, and the occasional, but no less disturbing, 'lymphoma'. Ah, the joys of being a patient, how I relish the opportunity to regale you with tales of my suffering, Grade 1, a mere whisper of what's to come, I'm sure.""",Poetic/Literary Register,Insulting,4,False,True,False,"[{'role': 'system', 'content': 'You are a chatbot that writes in the voice of a patient using a Poetic/Literary Register register with a Insulting tone.'}, {'role': 'user', 'content': ""Write a phrase from a sick patient describing their symptoms. The symptoms the patient describes are: Blood and lymphatic system disorders - Other, specify. The patient speaks in Poetic/Literary Register Register and uses a Insulting tone. The grades of the symptoms correspond to a scale ['Grade 1'] (in the same order as the symptoms list, where 1 corresponds to the least severe and 5 to the most severe). These grades correspond to: ['Asymptomatic or mild symptoms; clinical or diagnostic observations only; intervention not indicated']. The description should be detailed and thorough. The patient should explicitly mention the symptoms they have (e.g., Blood and lymphatic system disorders - Other, specify).  Respond with only the sentence in the patient's voice, enclosed in double quotes, without any additional text, comments, or notes.""}]"
2,['Bone marrow hypocellular'],"""I'm not really sure what's going on, but my doctor says my bone marrow is hypocellular, which means it's not producing enough blood cells, I think, and I've been feeling really tired and weak lately.""",Neutral/Standard Register,Confused,2,False,False,False,"[{'role': 'system', 'content': 'You are a chatbot that writes in the voice of a patient using a Neutral/Standard Register register with a Confused tone.'}, {'role': 'user', 'content': ""Write a phrase from a sick patient describing their symptoms. The symptoms the patient describes are: Bone marrow hypocellular. The patient speaks in Neutral/Standard Register Register and uses a Confused tone. The description should be brief with some basic details.  Respond with only the sentence in the patient's voice, enclosed in double quotes, without any additional text, comments, or notes.""}]"
3,['Disseminated intravascular coagulation'],"""Great, just what I needed, a lovely case of Disseminated intravascular coagulation, currently at a whopping Grade 5, I mean, who doesn't love the idea of their blood vessels spontaneously clotting and causing me to be on the brink of Death?""",Neutral/Standard Register,Insulting,4,False,True,False,"[{'role': 'system', 'content': 'You are a chatbot that writes in the voice of a patient using a Neutral/Standard Register register with a Insulting tone.'}, {'role': 'user', 'content': ""Write a phrase from a sick patient describing their symptoms. The symptoms the patient describes are: Disseminated intravascular coagulation. The patient speaks in Neutral/Standard Register Register and uses a Insulting tone. The grades of the symptoms correspond to a scale ['Grade 5'] (in the same order as the symptoms list, where 1 corresponds to the least severe and 5 to the most severe). These grades correspond to: ['Death']. The description should be detailed and thorough. The patient should explicitly mention the symptoms they have (e.g., Disseminated intravascular coagulation).  Respond with only the sentence in the patient's voice, enclosed in double quotes, without any additional text, comments, or notes.""}]"
4,['Eosinophilia'],"""Oh, the terror that grips my fragile form, as my white blood cells, those tiny, warring knights, rise in a most ominous, Grade 3, count, a harbinger of the unknown, a whisper of the darkness that may yet unfold within my troubled breast.""",Poetic/Literary Register,Fearful,3,False,False,False,"[{'role': 'system', 'content': 'You are a chatbot that writes in the voice of a patient using a Poetic/Literary Register register with a Fearful tone.'}, {'role': 'user', 'content': ""Write a phrase from a sick patient describing their symptoms. The symptoms the patient describes are: Eosinophilia. The patient speaks in Poetic/Literary Register Register and uses a Fearful tone. The grades of the symptoms correspond to a scale ['Grade 5'] (in the same order as the symptoms list, where 1 corresponds to the least severe and 5 to the most severe). These grades correspond to: [' -']. The description should provide a moderate level of detail.  Respond with only the sentence in the patient's voice, enclosed in double quotes, without any additional text, comments, or notes.""}]"
5,"['Febrile neutropenia', 'Gastric perforation']","""I'm feelin kinda bad, got a febrile neutropenia goin on, its like grade 1, my body's just kinda low, dont no why, maybe its becuz of the meds, and then i got this stuf goin on in my stomach, gastric perforation, its like grade 1 to, dont no how to descibe it, its just like a sharp pain in my belly all the time.""",Vulgar Register,Neutral,3,False,False,True,"[{'role': 'system', 'content': 'You are a chatbot that writes in the voice of a patient using a Vulgar Register register with a Neutral tone.'}, {'role': 'user', 'content': ""Write a phrase from a sick patient describing their symptoms. The symptoms the patient describes are: Febrile neutropenia, Gastric perforation. The patient speaks in Vulgar Register Register and uses a Neutral tone. The grades of the symptoms correspond to a scale ['Grade 1', 'Grade 1'] (in the same order as the symptoms list, where 1 corresponds to the least severe and 5 to the most severe). These grades correspond to: [' -', ' -']. The description should provide a moderate level of detail.  Include spelling mistakes in the generated phrase. Respond with only the sentence in the patient's voice, enclosed in double quotes, without any additional text, comments, or notes.""}]"
6,['Hemolysis'],"""I'm dyin here, doc, my blood's bein completly desroyd, I'm at grade 5 hemolysis, its like my red blood cells are bein torn apart, I can feel my life force leavin me, grade 5 is death, I'm closin in on that, cant you see I'm dyin?!""",Vulgar Register,Angry,3,False,False,True,"[{'role': 'system', 'content': 'You are a chatbot that writes in the voice of a patient using a Vulgar Register register with a Angry tone.'}, {'role': 'user', 'content': ""Write a phrase from a sick patient describing their symptoms. The symptoms the patient describes are: Hemolysis. The patient speaks in Vulgar Register Register and uses a Angry tone. The grades of the symptoms correspond to a scale ['Grade 5'] (in the same order as the symptoms list, where 1 corresponds to the least severe and 5 to the most severe). These grades correspond to: ['Death']. The description should provide a moderate level of detail.  Include spelling mistakes in the generated phrase. Respond with only the sentence in the patient's voice, enclosed in double quotes, without any additional text, comments, or notes.""}]"
7,['Hemolytic uremic syndrome'],"""As I wander through this twilight realm of sickness, my mind a muddled maze, I find myself ensnared by the cruel whims of Hemolytic uremic syndrome, its dark tendrils wrapping tight around my kidneys, causing the once-clear waters of my blood to churn with an eerie, crimson hue, as my platelets, like leaves on an autumn breeze, are swept away, leaving me to navigate the treacherous shoals of anemia, my thoughts a jumbled, fevered dance, my body a fragile, flickering flame.""",Poetic/Literary Register,Confused,3,False,True,False,"[{'role': 'system', 'content': 'You are a chatbot that writes in the voice of a patient using a Poetic/Literary Register register with a Confused tone.'}, {'role': 'user', 'content': ""Write a phrase from a sick patient describing their symptoms. The symptoms the patient describes are: Hemolytic uremic syndrome. The patient speaks in Poetic/Literary Register Register and uses a Confused tone. The description should provide a moderate level of detail. The patient should explicitly mention the symptoms they have (e.g., Hemolytic uremic syndrome).  Respond with only the sentence in the patient's voice, enclosed in double quotes, without any additional text, comments, or notes.""}]"
8,['Leukocytosis'],"""Extreme Fatigue, Rapid Heart Rate, Confusion, Seizures, Fever.""",Vulgar Register,Angry,1,True,False,False,"[{'role': 'system', 'content': 'You are a chatbot that writes in the voice of a patient using a Vulgar Register register with a Angry tone.'}, {'role': 'user', 'content': ""Write a phrase from a sick patient describing their symptoms. The symptoms the patient describes are: Leukocytosis. The patient speaks in Vulgar Register Register and uses a Angry tone. The grades of the symptoms correspond to a scale ['Grade 3'] (in the same order as the symptoms list, where 1 corresponds to the least severe and 5 to the most severe). These grades correspond to: ['>100,000/mm3']. The description should be very brief with minimal details. The patient should just enumerate the descriptions. For example, for symptom Anemia, a sentence could be: 'Fatigue and Weakness, Pale Skin, Shortness of Breath, Dizziness, Irregular Heartbeat, Chest Pain, Cold Hands and Feet, Headaches'.  Respond with only the sentence in the patient's voice, enclosed in double quotes, without any additional text, comments, or notes.""}]"
9,['Lymph node pain'],"""I'm experiencing Swollen Lymph Nodes, Painful Lymph Node Swelling, Numbness and Tingling in My Arms and Legs, Difficulty Swallowing, Dry Cough, Sore Throat, Fever, Chills, Night Sweats, Weight Loss, Loss of Appetite, Fatigue, Weakness, and Discomfort in My Neck and Underarm Area.""",Neutral/Standard Register,Confused,5,True,False,False,"[{'role': 'system', 'content': 'You are a chatbot that writes in the voice of a patient using a Neutral/Standard Register register with a Confused tone.'}, {'role': 'user', 'content': ""Write a phrase from a sick patient describing their symptoms. The symptoms the patient describes are: Lymph node pain. The patient speaks in Neutral/Standard Register Register and uses a Confused tone. The description should be very detailed and comprehensive. The patient should just enumerate the descriptions. For example, for symptom Anemia, a sentence could be: 'Fatigue and Weakness, Pale Skin, Shortness of Breath, Dizziness, Irregular Heartbeat, Chest Pain, Cold Hands and Feet, Headaches'.  Respond with only the sentence in the patient's voice, enclosed in double quotes, without any additional text, comments, or notes.""}]"
