,Dialogue,True_Symptom,Extracted_Symptom
0," ""I'm so scared, I've got these cracks at the corners of my mouth that won't go away, it's so painful and itchy, I'm so worried I'll get an infection.""",Cracking at the corners of the mouth (cheilosis/cheilitis),['Cracking at the corners of the mouth (cheilosis/cheilitis)']
1," ""I got these cracks at the corners of me mouth, an' I'm too scared to go out an' get help, I'm too scared to even look in the mirror, I'm so ashamed of meself, I'm so ashamed.""",Cracking at the corners of the mouth (cheilosis/cheilitis),['Cracking at the corners of the mouth (cheilosis/cheilitis)']
2," ""I have been experiencing a cracking at the corners of my mouth for a while now, but I thought it was just a result of aging. However, I have noticed that it has become more severe and I am worried that it might be a sign of something more serious.""",Cracking at the corners of the mouth (cheilosis/cheilitis),['Cracking at the corners of the mouth (cheilosis/cheilitis)']
3," ""My mouth corners crack and peel, a map of my hunger's trail.""",Cracking at the corners of the mouth (cheilosis/cheilitis),['Cracking at the corners of the mouth (cheilosis/cheilitis)']
4," ""I'm tellin' ya, doc, I got this crackin' in the corners of my mouth that won't go away. It's been there for weeks now, and it's gettin' worse. I tried everythin' I could think of to get rid of it, but nothin' works. I'm gettin' so frustrated I could scream. I just want it to go away already!""",Cracking at the corners of the mouth (cheilosis/cheilitis),['Cracking at the corners of the mouth (cheilosis/cheilitis)']
5," ""I am having a most unpleasant experience with my swallowing. It is as if my food is stuck in my throat and I cannot get it down. It is most embarrassing and I am not in the mood for it. I hope this passes soon.""",Difficulty Swallowing,['Difficulty Swallowing']
6," ""I have been having difficulty swallowing for the past few days. It feels like there is a lump in my throat and I have to swallow several times before it goes down.""",Difficulty Swallowing,['Difficulty Swallowing']
7," ""Food gets stuck in my throat and I have to cough to get it out. Sometimes I choke and end up coughing a lot and bringing it up. It's really scary. I have to eat really slowly and carefully and I'm always worried that I'll choke again. It's really frustrating because I love eating out with my friends but I'm always worried that I'll choke in front of them. I've tried to lose weight because I thought that might help but it didn't. I'm really worried about this because I'm only 20 years old and I don't want to have this problem for the rest of my life.""",Difficulty Swallowing,"['Difficulty Swallowing', 'Coughing', 'Shortness of breath', 'Heartburn', 'Nausea']"
8," ""I've got a dry mouth that won't quit, mate.""",Dry Mouth,['Dry Mouth']
9," ""I've been having a dry mouth lately, it's really annoying.""",Dry Mouth,['Dry Mouth']
10," ""I been having this really weird hoarseness thingy going on, it's like my voice is all raspy and rough and stuff, and it's been like that for a while now, but I don't know what's causing it, I mean I haven't been screaming or anything, and I don't smoke or drink, so I don't know what's going on with my voice...""",Hoarseness,['Hoarseness']
11," ""I have been experiencing a severe hoarseness for the past three days. It is very difficult for me to speak and my voice sounds very rough and strained. I tried to drink warm liquids and rest my voice but it did not help. I am very concerned about my voice returning to normal.""",Hoarseness,"['Hoarseness', 'Difficulty Swallowing']"
12," ""My mouth is a battlefield, with sores that are as red as a rose.""",Mouth/throat sores,['Mouth/throat sores']
13," ""My mouth is a battlefield, with sores that pop up everywhere, and they hurt so much that I can't even eat, and I'm so tired and weak that I can't even get out of bed, and I'm so confused that I can't even remember what day it is.""",Mouth/throat sores,"['Mouth/throat sores', 'Difficulty Swallowing', 'Dry Mouth', 'Hoarseness', 'Voice quality changes']"
14," ""I noticed that my voice sounds hoarse and rough.""",Voice quality changes,['Hoarseness']
15," ""I have been having a very bad voice quality for a while now, it's like my voice is hoarse and rough, and it's very annoying, I can't even speak properly, and I get very angry when I can't express myself properly.""",Voice quality changes,"['Hoarseness', 'Voice quality changes', 'Fatigue']"
16," ""I have been having abdominal pain for quite a bit now and it is quite severe.""",Abdominal pain,['Abdominal pain']
17," ""I'm surprised that you're not more concerned about my abdominal pain, seeing as how it's been going on for weeks now.""",Abdominal pain,['Abdominal pain']
18," ""I feel like I'm always bloated and gassy, and it's so annoying. I feel like I'm always farting and it's so embarrassing. I try to eat healthy and avoid beans and cabbage, but it doesn't seem to help.""",Bloating,"['Bloating', 'Gas']"
19," ""My belly feels like a bloated balloon that's about to burst.""",Bloating,"['Abdominal pain', 'Bloating']"
20," ""I got this bloating thing and it's so scary, I feel like I'm gonna explode, I mean I know I shouldn't eat so much but I just can't help it, I'm always hungry, and when I eat I feel like I'm gonna die, I mean I know it's not gonna kill me but it feels like it, and I'm always so gassy, I mean I know it's not a big deal but it's just so embarrassing, and I'm always so bloated, I mean I know it's not a big deal but it's just so uncomfortable, and I'm always so tired, I mean I know it's not a big deal but it's just so annoying, and I'm always so depressed, I mean I know it's not a big deal but it's just so sad, and I'm always so anxious, I mean I know it's not a big deal but it's just so scary, and I'm always so stressed, I mean I know it's not a big deal but it's just so frustrating, and I'm always so worried, I mean I know it's not a big deal but it's just so scary, and I'm always so nervous, I mean I know it's not a big deal but it's just so annoying, and I'm always so irritable, I mean I know it's not a big deal but it's just so frustrating, and I'm always so impatient, I mean",Bloating,"['Bloating', 'Constipation', 'Diarrhea', 'Nausea', 'Vomiting']"
21," ""I'm feeling quite gassy and bloated, you insensitive quack!""",Bloating,"['Abdominal pain', 'Bloating', 'Constipation']"
22," ""I'm so bloated I feel like I'm gonna explode, I can't even sleep at night because I'm so uncomfortable.""",Bloating,"['Bloating', 'Abdominal pain', 'Constipation', 'Nausea', 'Vomiting']"
23," ""I've been shitting like a brick for weeks now, and it's getting really frustrating. I try to eat healthy and drink plenty of water, but nothing seems to work. I'm so bloated all the time, and I feel like I'm always constipated. It's really affecting my mood.""",Constipation,"['Abdominal pain', 'Bloating', 'Constipation']"
24," ""I have been suffering from constipation for quite some time now, and it is getting worse by the day. I have tried everything to get rid of this problem, but nothing seems to work. I am so frustrated with this problem that I do not know what to do anymore. I hope that you can help me with this problem.""",Constipation,"['Constipation', 'Abdominal pain']"
25," ""I have been having trouble pooping lately. I feel like I have been constipated for a while now.""",Constipation,['Constipation']
26," ""I can't eat nothin' lately, I ain't got no appetite, I'm so sick of this sh*t.""",Decreased appetite,"['Decreased appetite', 'Nausea', 'Vomiting']"
27," ""I have been experiencing a decreased appetite for the past few months. I have been eating less than usual and have lost a significant amount of weight. I have also been feeling weak and tired all the time. I have noticed that my skin has become pale and I often feel dizzy. I have also been experiencing shortness of breath and chest pain. I have also noticed that my hands and feet are often cold. I have also been experiencing headaches and irregular heartbeat.""",Decreased appetite,"['Decreased appetite', 'Weight loss', 'Fatigue', 'Pallor', 'Dizziness']"
28," ""I'm so embarrassed when I have an accident. I try to hide it but it's hard.""",Fecal incontinence,"['Decreased appetite', 'Weight loss', 'Fatigue']"
29," ""My life has been turned upside down by this constant fear of having an accident and soiling myself. I am always on high alert, trying to sense when I need to use the bathroom, but I never know when it will happen. I have become so anxious that I avoid going out in public for fear of having an accident in a restaurant or on a bus. I feel like I am trapped in my own home, unable to enjoy the world around me. I am so tired of being embarrassed and ashamed of my body.""",Fecal incontinence,"['Abdominal pain', 'Bloating', 'Constipation', 'Decreased appetite', 'Diarrhea']"
30," ""I'm so sick of having to deal with this constant feeling of having to take a dump. I mean, I know I'm sick, but I'm not that sick. I just have to go to the bathroom more often than usual, and when I do, I have to go really bad. And sometimes, I just can't hold it in and I end up having an accident. It's so embarrassing.""",Fecal incontinence,"['Abdominal pain', 'Bloating', 'Constipation', 'Decreased appetite', 'Diarrhea']"
31," ""I have been experiencing fecal incontinence for the past three months now, and it happens to me at least three times a week.""",Fecal incontinence,['Fecal incontinence']
32," ""I have this constant feeling of bloating and gas in my stomach and it makes me so angry!""",Gas,"['Bloating', 'Gas']"
33," ""I got this burning sensation in my chest, it's like fire, and it's always there, even when I'm not eating.""",Heartburn,"['Heartburn', 'Nausea', 'Vomiting', 'Abdominal pain', 'Dizziness']"
34," ""I got this burning sensation in my chest, like fire was burning inside me.""",Heartburn,"['Heartburn', 'Nausea', 'Vomiting']"
35," ""I've been hiccuping nonstop for the past hour or so.""",Hiccups,['Hiccups']
36," ""Nausea""",Nausea,['Nausea']
37," ""I am feeling extremely sick and I have been experiencing nausea since yesterday. It is a constant feeling and I have not been able to eat or drink anything since then. I have tried to vomit but nothing comes out. I am extremely frustrated and angry because I have an important meeting tomorrow and I do not know how I will be able to attend it.""",Nausea,"['Nausea', 'Vomiting']"
38," ""I feel sick all the time and I have this constant nausea that makes me want to vomit.""",Nausea,"['Nausea', 'Vomiting']"
39," ""I feel like I'm constantly seasick, with waves of nausea crashing over me, making me want to vomit up my insides.""",Nausea,"['Nausea', 'Vomiting']"
40," ""I have been having a really bad time with my taste lately, it's like I can't taste anything, it's so scary, I'm really worried about it.""",Taste Changes,['Taste Changes']
41," ""I cant even eat a sandwich anymore because everything tastes like soap.""",Taste Changes,"['Decreased appetite', 'Weight loss', 'Fatigue']"
42," ""My tongue is always sore and I have a metallic taste in my mouth.""",Taste Changes,['Mouth/throat sores']
43," ""I've been having some issues with my sense of taste lately. It's been really weird, I can't tell what's what anymore. I tried eating some food the other day and it just tasted really bland. I'm worried that something might be wrong with me.""",Taste Changes,['Taste Changes']
44," ""I been feelin sick for a few days now, but it got worse today, I been vomitin almost constantly, and it's makin me feel real bad, I don't know what's wrong with me.""",Vomiting,"['Abdominal pain', 'Nausea', 'Vomiting', 'Fatigue', 'Headache']"
45," ""I have been experiencing episodes of vomiting since last night. The vomiting occurs without any warning signs and I feel nauseous for about an hour before I start vomiting. The vomit contains undigested food and liquids. I have not been able to eat or drink anything since last night and I feel extremely weak and fatigued. I have also been experiencing a mild headache and my stomach feels tender to touch. I have not had any recent travel or exposure to any known pathogens.""",Vomiting,"['Abdominal pain', 'Bloating', 'Nausea', 'Vomiting', 'Headache']"
46," ""I have been experiencing some vomiting lately.""",Vomiting,['Vomiting']
