,Dialogue,True_Symptom,Extracted_Symptom
0," ""My limbs are puffed up like a balloon and my arms are so swollen I can't even wear my watch. I keep hiccuping and my face is all flushed and hot. I feel so dizzy I can't even stand up straight.""","['Hiccups', 'Swelling (arms or legs)', 'Hot flashes', 'Dizziness']","['Hand-foot syndrome (a rash of the hands and feet that can cause cracking, peeling, redness or pain)', 'Hives', 'Itching']"
1," ""I have been feeling really anxious and worried lately. I have been having a hard time sleeping and I wake up in the middle of the night. I have been having nightmares and I feel like I am going crazy. I have been having a hard time concentrating and I feel like I am losing my mind. I have been having a hard time eating and I feel like I am wasting away. I have been having a hard time talking to people and I feel like I am going to burst into tears at any moment. I have been having a hard time controlling my emotions and I feel like I am going to lose control at any moment. I have been having a hard time controlling my thoughts and I feel like I am going to go crazy. I have been having a hard time controlling my behavior and I feel like I am going to do something I will regret. I have been having a hard time controlling my impulses and I feel like I am going to do something I will regret. I have been having a hard time controlling my temper and I feel like I am going to do something I will regret. I have been having a hard time controlling my anger and I feel like I am going to do something I will regret. I have been having a hard time controlling my fear and I feel like I am going to do something I will regret. I have been having a hard time controlling my sadness and I feel like I am going to do something I will regret. I have been having a hard time","['Decreased sweating', 'Vomiting']","['Anxious', 'Discouraged', 'Sad', 'Fatigue', 'Insomnia']"
2," ""My body is a battlefield, where fatigue and chills wage war, while my nails are the sentinels, standing guard against the invaders, but even they are weakened by the constant attacks, and their ridges are the scars of the battles they have witnessed.""","['Fatigue', 'Nail ridging', 'Heart palpitations', 'Chills']",['Nail ridging']
3," ""My body stinks like a rotting corpse, and even sex is a painful ordeal. My nails are ridged and I sweat like a pig. What's wrong with me?""","['Body odor', 'Pain with sexual intercourse', 'Nail ridging', 'Increased sweating']","['Decreased appetite', 'Weight loss', 'Fatigue', 'Nausea', 'Vomiting']"
4," ""I have been experiencing a very severe body odor, moderate shortness of breath, mild constipation, and frequent ejaculation.""","['Body odor', 'Shortness of breath', 'Constipation', 'Ejaculation']","['Body odor', 'Constipation', 'Frequent ejaculation']"
5," ""My body is a battlefield, where the enemy of bed/pressure sores and dizziness wage war against me. I am constantly on the lookout for signs of infection, as I lie in bed, my skin a battleground, where the enemy of bed/pressure sores and dizziness fight for dominance. I am tired of being a prisoner in my own home, unable to leave my bed, as the enemy of bed/pressure sores and dizziness continue to wage war against me.""","['Bed/pressure sores', 'Dizziness']","['Bed/pressure sores', 'Dizziness']"
6," ""I am experiencing a mild itching sensation all over my body, and I have developed some stretch marks on my abdomen and breasts. I hope the doctor can prescribe something to alleviate these symptoms, or I will be forced to sue the hospital for malpractice.""","['Itching', 'Stretch marks']","['Abdominal pain', 'Bloating', 'Constipation']"
7," ""I'm always in pain, I can't swallow properly, I can't even have sex, I'm always sad.""","['General pain', 'Difficulty Swallowing', 'Delayed orgasm', 'Sad']","['Difficulty Swallowing', 'Abdominal pain']"
8," ""My vision is blurred, as if a veil of fog has descended upon my eyes, obscuring the world around me. My heart burns with a fire that cannot be quenched, a flame that threatens to consume me from the inside out. I am discouraged, as if the weight of the world rests upon my shoulders, and I am unable to lift my head to face the day.""","['Blurred vision', 'Heartburn', 'Discouraged']","['Decreased appetite', 'Weight loss', 'Fatigue', 'Dizziness', 'Nausea']"
9," ""I'm tellin' ya, I got these ridges on me nails and I'm dizzy all the time. What the hell is goin' on with me body?""","['Nail ridging', 'Dizziness']",['Nail ridging']
10," ""I have been feeling quite sad lately, and I have been experiencing some itching on my skin. It is somewhat interfering with my daily activities.""","['Itching', 'Sad']","['Itching', 'Sad']"
11," ""I have been having a little bit of shortness of breath and dizziness lately. I also notice that my voice sounds a little different. I am not sure if it is just a cold or something more serious. I hope I can get some help with this.""","['Shortness of breath', 'Dizziness', 'Voice quality changes']","['Difficulty Swallowing', 'Dry Mouth', 'Hoarseness', 'Shortness of breath']"
12," ""I'm always pissing myself, and my heart is always racing. I'm so sick of it, I want to die.""","['Urinary incontinence', 'Heart palpitations']","['Decreased appetite', 'Weight loss', 'Fatigue']"
13," ""My skin is a map of my pain, a canvas of my suffering. My body is a battlefield, where my health and my beauty are at war. My skin is a battleground, where my stretch marks and my mouth/throat sores and my nosebleeds and my acne are fighting for dominance. My skin is a reflection of my inner self, a mirror of my soul. My skin is a window to my health, a reflection of my well-being. My skin is a map of my life, a record of my experiences. My skin is a canvas of my memories, a reflection of my past. My skin is a battleground, where my health and my beauty are at war. My skin is a battlefield, where my stretch marks and my mouth/throat sores and my nosebleeds and my acne are fighting for dominance.""","['Stretch marks', 'Mouth/throat sores', 'Nosebleed', 'Acne']","['Mouth/throat sores', 'Acne', 'Skin dryness', 'Stretch marks', 'Rash']"
14," ""I have noticed that my tongue feels dry and rough, and I have had a metallic taste in my mouth for the past few days. I also find that I do not sweat as much as I used to, especially in my armpits.""","['Taste Changes', 'Decreased sweating']","['Dry Mouth', 'Taste Changes', 'Constipation']"
15," ""I have been experiencing cracks at the corners of my mouth for quite some time now, and I am worried that it might be a sign of something more serious. I have also noticed that I have been feeling less interested in sexual activities, and I am concerned that this might be a sign of a more serious medical condition.""","['Cracking at the corners of the mouth (cheilosis/cheilitis)', 'Decreased libido']",['Cracking at the corners of the mouth (cheilosis/cheilitis)']
16," ""I've been feeling a little numbness and tingling in my hands and feet for a while now, but I thought it was just because I was sitting at my desk all day. But now I'm starting to feel it in my face too, and it's really annoying. I also feel really bloated all the time, and I don't know why. I eat pretty healthy most of the time, and I try to get some exercise in too. But I guess I must be doing something wrong. Oh, and I've also been losing a lot of hair lately. I don't know if it's because of the numbness and tingling, or if it's just because I'm getting older. I'm not really sure what to do about it though.""","['Numbness & tingling', 'Bloating', 'Hair loss']","['Numbness & tingling', 'Hair loss']"
17," ""I have numbness and tingling in my hands and feet, and sometimes I feel like I'm walking on clouds. I also have nosebleeds sometimes, and I'm not really hungry most of the time. Sex is really painful for me, and I feel like I'm tearing up inside.""","['Numbness & tingling', 'Nosebleed', 'Decreased appetite', 'Pain with sexual intercourse']","['Numbness & tingling', 'Ringing in ears', 'Fatigue', 'Joint pain', 'Memory']"
18," ""I got a rash on my skin and my nails are turning yellow, and my eyes are all watery and my poop is coming out of my butt.""","['Watery eyes', 'Nail discoloration', 'Skin darkening', 'Fecal incontinence']","['Nail discoloration', 'Nail loss', 'Nail ridging', 'Rash', 'Itching']"
19," ""I am unable to breathe properly and feel like I am going to vomit all the time. I have been unable to have an orgasm for months now and I feel dizzy all the time. I am unable to do any of my daily activities properly.""","['Shortness of breath', 'Vomiting', 'Delayed orgasm', 'Dizziness']","['Decreased libido', 'Delayed orgasm', 'Achieve and maintain erection']"
20," ""I got this red rash on my arm and it itches like hell. I also got this muscle pain in my back and it's killing me.""","['Itching', 'Muscle pain']","['Mouth/throat sores', 'Abdominal pain', 'Muscle pain', 'Itching']"
21," ""I'm so sick of this crap. I've got numbness and tingling in my face and hands, and I've got this rash all over my body. And to top it all off, I've been hiccuping nonstop for the past hour. I'm so tired of being sick. I just want to feel normal again.""","['Numbness & tingling', 'Rash', 'Hiccups', 'Muscle pain']","['Numbness & tingling', 'Hiccups', 'Rash']"
22," ""I'm all bloody and my hair is falling out, and I'm in so much pain I can't even get out of bed.""","['Nosebleed', 'Hair loss', 'Muscle pain']","['Decreased appetite', 'Fatigue', 'Joint pain']"
23," ""Oh, dear physician, I'm afraid I'm quite ill. I've developed a Hand-foot syndrome (a rash of the hands and feet that can cause cracking, peeling, redness or pain), and my eyes are perpetually watery. To top it all off, I'm perpetually bloated. Quite frankly, I'm quite fed up with these symptoms. They interfere with my daily activities quite a bit, and the severity is quite severe. I'm quite tired of being sick, and I implore you to cure me of these wretched symptoms.""","['Hand-foot syndrome (a rash of the hands and feet that can cause cracking, peeling, redness or pain)', 'Watery eyes', 'Bloating']","['Hand-foot syndrome (a rash of the hands and feet that can cause cracking, peeling, redness or pain)', 'Watery eyes', 'Bloating']"
24," ""A dull ache behind my eyes, like a hammer pounding away, and a burning sensation in my chest, as if acid was seeping up from my stomach. I feel a sudden urge to urinate, but when I try to go, nothing comes out.""","['Headache', 'Heartburn', 'Urinary incontinence']","['Abdominal pain', 'Heartburn', 'Nausea', 'Vomiting']"
