,Dialogue,True_Symptom,Extracted_Symptom
0," ""I'm so scared, I've got these cracks at the corners of my mouth that won't go away, it's so painful and itchy, I'm so worried I'll get an infection.""",Cracking at the corners of the mouth (cheilosis/cheilitis)," mouth sores, mouth pain, mouth itching, mouth dryness, mouth cracking, mouth infection, mouth discomfort, mouth burning, mouth numbness, mouth tingling, mouth tenderness, mouth redness, mouth swelling, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding,"
1," ""I got these cracks at the corners of me mouth, an' I'm too scared to go out an' get help, I'm too scared to even look in the mirror, I'm so ashamed of meself, I'm so ashamed.""",Cracking at the corners of the mouth (cheilosis/cheilitis)," mouth sores, dry mouth, pain, anxiety, depression, shame, embarrassment, fear, social phobia, social anxiety disorder, mouth cracks, mouth lesions, mouth ulcers, mouth wounds, mouth wounds, mouth wounds, mouth wounds, mouth wounds, mouth wounds, mouth wounds, mouth wounds, mouth wounds, mouth wounds, mouth wounds, mouth wounds, mouth wounds, mouth wounds, mouth wounds, mouth wounds, mouth wounds, mouth wounds, mouth wounds, mouth wounds, mouth wounds, mouth wounds, mouth wounds, mouth wounds, mouth wounds, mouth wounds, mouth wounds, mouth wounds, mouth wounds, mouth wounds, mouth wounds, mouth wounds, mouth wounds, mouth wounds, mouth wounds, mouth wounds, mouth wounds, mouth wounds, mouth wounds, mouth wounds, mouth wounds, mouth wounds, mouth wounds, mouth wounds, mouth wounds, mouth wounds, mouth wounds, mouth wounds, mouth wounds, mouth wounds, mouth wounds, mouth wounds, mouth wounds, mouth wounds, mouth wounds, mouth wounds, mouth wounds, mouth wounds, mouth wounds, mouth wounds, mouth wounds, mouth wounds, mouth wounds, mouth wounds, mouth wounds, mouth wounds, mouth wounds, mouth wounds, mouth wounds, mouth wounds, mouth wounds, mouth wounds, mouth wounds, mouth wounds, mouth wounds, mouth wounds, mouth wounds, mouth wounds, mouth wounds, mouth wounds, mouth wounds, mouth wounds, mouth wounds, mouth wounds, mouth wounds, mouth wounds, mouth wounds, mouth wounds"
2," ""I am fed up with this bloody cracking at the corners of my mouth, it is so annoying and I cannot stand it anymore.""",Cracking at the corners of the mouth (cheilosis/cheilitis)," mouth dryness, mouth ulceration, mouth burning, mouth sticking, mouth cracking, mouth irritation, mouth discomfort, mouth pain, mouth tingling, mouth numbness, mouth sensation changes, mouth symptoms, mouth problems, mouth issues, mouth side effects, mouth adverse events, mouth adverse reactions, mouth adverse experiences, mouth adverse events, mouth adverse reactions, mouth adverse experiences, mouth adverse events, mouth adverse reactions, mouth adverse experiences, mouth adverse events, mouth adverse reactions, mouth adverse experiences, mouth adverse events, mouth adverse reactions, mouth adverse experiences, mouth adverse events, mouth adverse reactions, mouth adverse experiences, mouth adverse events, mouth adverse reactions, mouth adverse experiences, mouth adverse events, mouth adverse reactions, mouth adverse experiences, mouth adverse events, mouth adverse reactions, mouth adverse experiences, mouth adverse events, mouth adverse reactions, mouth adverse experiences, mouth adverse events, mouth adverse reactions, mouth adverse experiences, mouth adverse events, mouth adverse reactions, mouth adverse experiences, mouth adverse events, mouth adverse reactions, mouth adverse experiences, mouth adverse events, mouth adverse reactions, mouth adverse experiences, mouth adverse events, mouth adverse reactions, mouth adverse experiences, mouth adverse events, mouth adverse reactions, mouth adverse experiences, mouth adverse events, mouth adverse reactions, mouth adverse experiences, mouth adverse events, mouth adverse reactions, mouth adverse experiences, mouth adverse events, mouth adverse reactions, mouth adverse experiences, mouth adverse events, mouth adverse reactions, mouth adverse experiences, mouth adverse events, mouth adverse reactions, mouth"
3," ""I have been experiencing a cracking at the corners of my mouth for a while now, but I thought it was just a result of aging. However, I have noticed that it has become more severe and I am worried that it might be a sign of something more serious.""",Cracking at the corners of the mouth (cheilosis/cheilitis)," mouth cracking, mouth dryness, mouth ulceration, mouth pain, mouth burning, mouth tingling, mouth numbness, mouth pruritus, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding, mouth bleeding,"
4," ""I am fed up with this cracking at the corners of my mouth. It has been going on for months now.""",Cracking at the corners of the mouth (cheilosis/cheilitis)," mouth cracking, mouth dryness, mouth ulceration, mouth pain, mouth burning, mouth tingling, mouth numbness, mouth pruritus, mouth tightness, mouth stiffness, mouth rigidity, mouth inflexibility, mouth crease, mouth fold, mouth furrow, mouth groove, mouth depression, mouth concavity, mouth cavity, mouth chamber, mouth compartment, mouth chamber, mouth cavity, mouth chamber, mouth compartment, mouth chamber, mouth cavity, mouth chamber, mouth compartment, mouth chamber, mouth cavity, mouth chamber, mouth compartment, mouth chamber, mouth cavity, mouth chamber, mouth compartment, mouth chamber, mouth cavity, mouth chamber, mouth compartment, mouth chamber, mouth cavity, mouth chamber, mouth compartment, mouth chamber, mouth cavity, mouth chamber, mouth compartment, mouth chamber, mouth cavity, mouth chamber, mouth compartment, mouth chamber, mouth cavity, mouth chamber, mouth compartment, mouth chamber, mouth cavity, mouth chamber, mouth compartment, mouth chamber, mouth cavity, mouth chamber, mouth compartment, mouth chamber, mouth cavity, mouth chamber, mouth compartment, mouth chamber, mouth cavity, mouth chamber, mouth compartment, mouth chamber, mouth cavity, mouth chamber, mouth compartment, mouth chamber, mouth cavity, mouth chamber, mouth compartment, mouth chamber, mouth cavity, mouth chamber, mouth compartment, mouth chamber, mouth cavity, mouth chamber, mouth compartment, mouth chamber, mouth cavity, mouth chamber, mouth compartment, mouth chamber, mouth cavity, mouth chamber"
5," ""My mouth corners crack and peel, a map of my hunger's trail.""",Cracking at the corners of the mouth (cheilosis/cheilitis)," mouth corners crack and peel, map of my hunger's trail"
6," ""I'm tellin' ya, doc, I got this crackin' in the corners of my mouth that won't go away. It's been there for weeks now, and it's gettin' worse. I tried everythin' I could think of to get rid of it, but nothin' works. I'm gettin' so frustrated I could scream. I just want it to go away already!""",Cracking at the corners of the mouth (cheilosis/cheilitis)," dry mouth, mouth ulceration, mouth burning, mouth sticking, mouth cracking, mouth dryness, mouth dryness, mouth dryness, mouth dryness, mouth dryness, mouth dryness, mouth dryness, mouth dryness, mouth dryness, mouth dryness, mouth dryness, mouth dryness, mouth dryness, mouth dryness, mouth dryness, mouth dryness, mouth dryness, mouth dryness, mouth dryness, mouth dryness, mouth dryness, mouth dryness, mouth dryness, mouth dryness, mouth dryness, mouth dryness, mouth dryness, mouth dryness, mouth dryness, mouth dryness, mouth dryness, mouth dryness, mouth dryness, mouth dryness, mouth dryness, mouth dryness, mouth dryness, mouth dryness, mouth dryness, mouth dryness, mouth dryness, mouth dryness, mouth dryness, mouth dryness, mouth dryness, mouth dryness, mouth dryness, mouth dryness, mouth dryness, mouth dryness, mouth dryness, mouth dryness, mouth dryness, mouth dryness, mouth dryness, mouth dryness, mouth dryness, mouth dryness, mouth dryness, mouth dryness, mouth dryness, mouth dryness, mouth dryness, mouth dryness, mouth dryness, mouth dryness, mouth dryness, mouth dryness, mouth dryness, mouth dryness, mouth dryness,"
7," ""Dryness and cracking at the corners of my mouth, which bleeds and itches, making it difficult to eat and talk.""",Cracking at the corners of the mouth (cheilosis/cheilitis)," dry mouth, mouth ulcers, mouth pain, taste loss, dysphagia, dysarthria, mouth bleeding, mouth itching, mouth dryness, mouth cracking, mouth bleeding, mouth itching, mouth dryness, mouth cracking, mouth bleeding, mouth itching, mouth dryness, mouth cracking, mouth bleeding, mouth itching, mouth dryness, mouth cracking, mouth bleeding, mouth itching, mouth dryness, mouth cracking, mouth bleeding, mouth itching, mouth dryness, mouth cracking, mouth bleeding, mouth itching, mouth dryness, mouth cracking, mouth bleeding, mouth itching, mouth dryness, mouth cracking, mouth bleeding, mouth itching, mouth dryness, mouth cracking, mouth bleeding, mouth itching, mouth dryness, mouth cracking, mouth bleeding, mouth itching, mouth dryness, mouth cracking, mouth bleeding, mouth itching, mouth dryness, mouth cracking, mouth bleeding, mouth itching, mouth dryness, mouth cracking, mouth bleeding, mouth itching, mouth dryness, mouth cracking, mouth bleeding, mouth itching, mouth dryness, mouth cracking, mouth bleeding, mouth itching, mouth dryness, mouth cracking, mouth bleeding, mouth itching, mouth dryness, mouth cracking, mouth bleeding, mouth itching, mouth dryness, mouth cracking, mouth bleeding, mouth itching, mouth dryness, mouth cracking, mouth bleeding, mouth itching, mouth dryness, mouth cracking, mouth bleeding, mouth itching, mouth dryness, mouth cracking, mouth bleeding, mouth itching"
8," ""I have been having difficulty swallowing for the past few days, and it has been getting worse and worse. At first, I thought it was just a cold, but now I am having trouble swallowing even liquids. I have been trying to eat soft foods, but even those are getting stuck in my throat. I am worried that I might choke on something and end up in the hospital again.""",Difficulty Swallowing," difficulty swallowing, dysphagia, dysphonia, dyspnea, cough, shortness of breath, nasal congestion, nasal discharge, sneezing, headache, fatigue, nausea, vomiting, abdominal pain, diarrhea, constipation, urinary incontinence, urinary retention, hematuria, dysuria, urinary frequency, urinary urgency, urinary odor, penile discharge, penile ulcer, penile mass, breast enlargement, breast discharge, breast pain, lymph node swelling, weight loss, weight gain, appetite decrease, appetite increase, taste alteration, smell alteration, neurologic deficit, memory loss, depression, anxiety, insomnia, irritability, lethargy, vertigo, tinnitus, hearing loss, vision loss, double vision, diplopia, dry eyes, eye swelling, eye discharge, eye pain, eyelid swelling, eyelid edema, eyelid erythema, eyelid rash, eyelid pruritus, eyelid pustules, eyelid papules, eyelid vesicles, eyelid blisters, eyelid crusts, eyelid scales, eyelid ulcers, eyelid masses, eyelid tumors, eyelid nodules, eyelid keratitis, eyelid conjunctivitis, eyelid blepharitis, eyelid dermatitis, eyelid eczema, eyelid psoriasis, eyelid rosacea, eyelid acne, eyelid furunculosis, eyelid carbuncles, eyelid abs"
9," ""I am having a most unpleasant experience with my swallowing. It is as if my food is stuck in my throat and I cannot get it down. It is most embarrassing and I am not in the mood for it. I hope this passes soon.""",Difficulty Swallowing," dysphagia, dyspareunia, nausea, vomiting, diarrhea, constipation, abdominal pain, fatigue, pain, dyspnea, cough, headache, insomnia, anxiety, depression, appetite loss, weight loss, dry mouth, dysgeusia, dyspepsia, nausea and vomiting, vomiting and diarrhea, diarrhea and constipation, constipation and diarrhea, abdominal pain and nausea, abdominal pain and vomiting, abdominal pain and diarrhea, abdominal pain and constipation, fatigue and nausea, fatigue and vomiting, fatigue and diarrhea, fatigue and constipation, fatigue and abdominal pain, pain and nausea, pain and vomiting, pain and diarrhea, pain and constipation, pain and abdominal pain, dyspnea and cough, cough and dyspnea, headache and insomnia, insomnia and headache, anxiety and depression, depression and anxiety, appetite loss and weight loss, weight loss and appetite loss, dry mouth and dysgeusia, dysgeusia and dry mouth, dyspepsia and nausea, nausea and dyspepsia, vomiting and abdominal pain, diarrhea and abdominal pain, constipation and abdominal pain, nausea and fatigue, vomiting and fatigue, diarrhea and fatigue, constipation and fatigue, abdominal pain and fatigue, nausea and pain, vomiting and pain, diarrhea and pain, constipation and pain, abdominal pain and pain, fatigue and pain, cough and headache, insomnia and anxiety, depression and appetite loss, weight loss and dry mouth, nausea and dyspnea"
