,Dialogue,True_Symptom,Extracted_Symptom
0," ""I got these cracks in the corners of me mouth and I can't figure out why. I been eatin' all sorts of foods and I don't see how this could be happening. I been drinkin' a lot of water too, but I still got these cracks. I been gettin' these cracks for a while now and I don't know what to do. I been tryin' to ignore them, but it's gettin' harder and harder. I been tryin' to eat softer foods, but it's not workin'. I been tryin' to avoid spicy foods, but it's not workin' either. I been tryin' to avoid salty foods, but it's not workin' either. I been tryin' to avoid sweet foods, but it's not workin' either. I been tryin' to avoid sour foods, but it's not workin' either. I been tryin' to avoid bitter foods, but it's not workin' either. I been tryin' to avoid astringent foods, but it's not workin' either. I been tryin' to avoid pungent foods, but it's not workin' either. I been tryin' to avoid umami foods, but it's not workin' either. I been tryin' to avoid fatty foods, but it's not workin' either. I been tryin' to avoid sugary foods,",Cracking at the corners of the mouth (cheilosis/cheilitis),"['dry mouth', 'cheilosis/cheilitis']"
1," ""I got these cracks at the corners of my mouth and it's so annoying. I mean I'm not even having sex anymore because of this. It's so embarrassing. I tried to talk to my doctor about it but he just gave me some cream and sent me on my way. I mean what the hell is wrong with these doctors? Can't they see I'm suffering here? I mean I'm not even sleeping well because of this. I mean I'm so tired all the time. I mean I'm so angry all the time. I mean I just want to scream all the time. I mean I just want to cry all the time. I mean I just want to die all the time. I mean I just want to kill myself all the time. I mean I just want to kill my doctor all the time. I mean I just want to kill everyone all the time. I mean I just want to kill myself all the time. I mean I just want to kill everyone all the time. I mean I just want to kill myself all the time. I mean I just want to kill everyone all the time. I mean I just want to kill myself all the time. I mean I just want to kill everyone all the time. I mean I just want to kill myself all the time. I mean I just want to kill everyone all the time. I mean I just want to kill myself all the time. I mean I just want to kill everyone all the time.",Cracking at the corners of the mouth (cheilosis/cheilitis),"['general pain', 'fatigue']"
2," ""I'm so scared, I have this weird cracking at the corners of my mouth.""",Cracking at the corners of the mouth (cheilosis/cheilitis),['cheilosis/cheilitis']
3," ""I have been experiencing cracking at the corners of my mouth for a while now. I thought it was just a result of aging, but it seems to be getting worse. I have tried to moisturize my lips, but it does not seem to help. I am worried that it might be a sign of something more serious.""",Cracking at the corners of the mouth (cheilosis/cheilitis),['cheilosis/cheilitis']
4," ""I have noticed that the corners of my mouth have started to crack and peel recently.""",Cracking at the corners of the mouth (cheilosis/cheilitis),['cheilosis/cheilitis']
5," ""My mouth corners crack and bleed, and it feels like sandpaper when I eat or talk, and it's so painful, and I'm always worried that I'll bleed all over my clothes or in front of people, and I'm so self-conscious about it, and I don't know what to do, and I'm so frustrated, and I'm so tired of dealing with this, and I just want it to go away, and I don't know what to do, and I'm so scared, and I just want to feel better, and I don't know what to do, and I'm so sad, and I just want to cry, and I don't know what to do, and I'm so angry, and I just want to scream, and I don't know what to do, and I'm so confused, and I just want to sleep, and I don't know what to do, and I'm so worried, and I just want to hide, and I don't know what to do, and I'm so anxious, and I just want to run away, and I don't know what to do, and I'm so depressed, and I just want to die, and I don't know what to do, and I'm so hopeless, and I just want to give up, and I don't know what to do, and I'm so helpless, and I just want to cry, and I don't know what to do, and I",Cracking at the corners of the mouth (cheilosis/cheilitis),"['itching (skin)', 'skin dryness']"
6," ""My mouth is a cracked and dry wasteland, a desolate landscape devoid of moisture and life.""",Cracking at the corners of the mouth (cheilosis/cheilitis),"['dry mouth', 'mouth/throat sores']"
7," ""I have cracks at the corners of my mouth. It's so annoying. I'm so tired of it. It's been like this for months now. I've tried everything. Nothing works. I'm so angry about it. I'm so frustrated. I'm so sad about it. I'm so tired of it. I'm so angry about it. I'm so frustrated. I'm so sad about it. I'm so tired of it. I'm so angry about it. I'm so frustrated. I'm so sad about it. I'm so tired of it. I'm so angry about it. I'm so frustrated. I'm so sad about it. I'm so tired of it. I'm so angry about it. I'm so frustrated. I'm so sad about it. I'm so tired of it. I'm so angry about it. I'm so frustrated. I'm so sad about it. I'm so tired of it. I'm so angry about it. I'm so frustrated. I'm so sad about it. I'm so tired of it. I'm so angry about it. I'm so frustrated. I'm so sad about it. I'm so tired of it. I'm so angry about it. I'm so frustrated. I'm so sad about it. I'm so tired of it. I'm so angry about it. I'm so frustrated. I'm so sad about it. I'm so tired of it.",Cracking at the corners of the mouth (cheilosis/cheilitis),['cheilosis/cheilitis']
8," ""I have difficulty swallowing food and liquids.""",Difficulty Swallowing,['Difficulty Swallowing']
9," ""My throat is a parched desert, swallowing is a Herculean task, and my tongue is a limp noodle.""",Difficulty Swallowing,"['Breast swelling and tenderness', 'Nausea']"
