,Dialogue,True_Symptom,Extracted_Symptom
0," ""I have pain and swelling at the injection site.""",Pain and swelling at injection site,['Pain and swelling at the injection site']
1," ""I'm surprised I got a shot in the first place, now I'm in pain and my arm is swollen.""",Pain and swelling at injection site,"['Decreased appetite', 'Fatigue', 'Joint pain']"
2," ""My arm is all puffy and achy at the spot where the needle went in, and it hurts so bad I can't even sleep on it, but I don't remember getting a shot.""",Pain and swelling at injection site,['Pain at injection site']
3," ""I've got this really sore and swollen lump on my arm where I got the injection.""",Pain and swelling at injection site,"['Heartburn', 'Nausea', 'Vomiting']"
4," ""My arm is on fire and feels like it's been hit by a sledgehammer.""",Pain and swelling at injection site,"['Heartburn', 'Nausea', 'Vomiting', 'Abdominal pain', 'Fatigue']"
5," ""I'm sick and tired of bleeding from my nose all the time.""",Nosebleed,"['Heartburn', 'Nausea', 'Vomiting', 'Shortness of breath']"
6," ""I'm so scared, I've been having these nosebleeds for a few days now and they're getting worse and worse. I'm so scared I'm gonna die from this, I can't even sleep at night because I'm so scared I'll wake up with another one. I've tried to stop it from bleeding by pinching my nose but it just won't stop. I'm so scared, I don't know what to do.""",Nosebleed,['Nosebleed']
7," ""I've been having nosebleeds almost constantly for the past month.""",Nosebleed,['Nosebleed']
8," ""I'm so sick of bleeding from my nose all the time.""",Nosebleed,"['Heartburn', 'Nausea', 'Vomiting']"
9," ""I have been experiencing almost constant nosebleeds for the past month now.""",Nosebleed,['Nosebleed']
10," ""I have been experiencing occasional nosebleeds for the past month.""",Nosebleed,['Nosebleed']
11," ""Oh, my poor nose, it bleeds like a bloody faucet, constantly dripping red tears down my face, making me look like a bloody mess, a bloody abomination, a bloody monster, a bloody freak, a bloody outcast, a bloody leper, a bloody pariah, a bloody reject, a bloody misfit, a bloody failure, a bloody loser, a bloody waste of space, a bloody waste of time, a bloody waste of resources, a bloody waste of money, a bloody waste of everything, a bloody waste of life, a bloody waste of existence, a bloody waste of everything that could have been, a bloody waste of everything that should have been, a bloody waste of everything that could have been, a bloody waste of everything that should have been, a bloody waste of everything that could have been, a bloody waste of everything that should have been, a bloody waste of everything that could have been, a bloody waste of everything that should have been, a bloody waste of everything that could have been, a bloody waste of everything that should have been, a bloody waste of everything that could have been, a bloody waste of everything that should have been, a bloody waste of everything that could have been, a bloody waste of everything that should have been, a bloody waste of everything that could have been, a bloody waste of everything that should have been, a bloody waste of everything that could have been, a bloody waste of everything that should have been, a bloody",Nosebleed,"['Nausea', 'Vomiting', 'Abdominal pain']"
12," ""I have been experiencing frequent and severe nosebleeds for the past month.""",Nosebleed,['Nosebleed']
13," ""My nose bleeds almost constantly, it's like a bloody faucet that won't turn off!""",Nosebleed,['Nosebleed']
14," ""I was just sitting at home and suddenly I felt like my nose was bleeding.""",Nosebleed,['Nosebleed']
15," ""I'm so sick of bleeding from my nose all the time!""",Nosebleed,"['Decreased appetite', 'Fatigue', 'Nausea']"
16," ""Hey doc, I've been having this weird thing going on with my nose. It's been bleeding like crazy for the past few days. At first I thought it was just a cold or something, but it's been getting worse and worse. I've been having nosebleeds like 3 or 4 times a day now. It's really scary and I'm getting worried. I don't know what to do anymore. Can you please help me?""",Nosebleed,['Nosebleed']
17," ""I been having nosebleeds for a while now, but this time it was really bad. I was in the shower and suddenly I seen blood dripping down my face. I was really scared and I started to panic. I tried to get out of the shower but I was too weak so I just sat down and waited for my mom to come in and help me. She called an ambulance and I got rushed to the hospital. The doctor said I had a nosebleed because of a deviated septum and I needed surgery to fix it. I was really scared but my mom was there with me the whole time and she held my hand and told me everything was going to be okay. I had the surgery and now I'm feeling a lot better. I still get nosebleeds from time to time but they're not as bad as they used to be.""",Nosebleed,['Nosebleed']
18," ""I cant believe this is happening to me again. I had a nosebleed last week and now I have another one. What is wrong with me? I cant take this anymore.""",Nosebleed,['Nosebleed']
