,Dialogue,True_Symptom,Extracted_Symptom
0," ""I'm so scared, I've got these cracks at the corners of my mouth that won't go away, it's so painful and itchy, I'm so worried I'll get an infection.""",Cracking at the corners of the mouth (cheilosis/cheilitis),['Cracking at the corners of the mouth (cheilosis/cheilitis)']
1," ""I got these cracks at the corners of me mouth, an' I'm too scared to go out an' get help, I'm too scared to even look in the mirror, I'm so ashamed of meself, I'm so ashamed.""",Cracking at the corners of the mouth (cheilosis/cheilitis),['Cracking at the corners of the mouth (cheilosis/cheilitis)']
2," ""I am fed up with this bloody cracking at the corners of my mouth, it is so annoying and I cannot stand it anymore.""",Cracking at the corners of the mouth (cheilosis/cheilitis),['Cracking at the corners of the mouth (cheilosis/cheilitis)']
3," ""I have been experiencing a cracking at the corners of my mouth for a while now, but I thought it was just a result of aging. However, I have noticed that it has become more severe and I am worried that it might be a sign of something more serious.""",Cracking at the corners of the mouth (cheilosis/cheilitis),['Cracking at the corners of the mouth (cheilosis/cheilitis)']
4," ""I am fed up with this cracking at the corners of my mouth. It has been going on for months now.""",Cracking at the corners of the mouth (cheilosis/cheilitis),['Cracking at the corners of the mouth (cheilosis/cheilitis)']
5," ""My mouth corners crack and peel, a map of my hunger's trail.""",Cracking at the corners of the mouth (cheilosis/cheilitis),['Cracking at the corners of the mouth (cheilosis/cheilitis)']
6," ""I'm tellin' ya, doc, I got this crackin' in the corners of my mouth that won't go away. It's been there for weeks now, and it's gettin' worse. I tried everythin' I could think of to get rid of it, but nothin' works. I'm gettin' so frustrated I could scream. I just want it to go away already!""",Cracking at the corners of the mouth (cheilosis/cheilitis),['Cracking at the corners of the mouth (cheilosis/cheilitis)']
7," ""Dryness and cracking at the corners of my mouth, which bleeds and itches, making it difficult to eat and talk.""",Cracking at the corners of the mouth (cheilosis/cheilitis),['Cracking at the corners of the mouth (cheilosis/cheilitis)']
8," ""I have been having difficulty swallowing for the past few days, and it has been getting worse and worse. At first, I thought it was just a cold, but now I am having trouble swallowing even liquids. I have been trying to eat soft foods, but even those are getting stuck in my throat. I am worried that I might choke on something and end up in the hospital again.""",Difficulty Swallowing,['Difficulty Swallowing']
9," ""I am having a most unpleasant experience with my swallowing. It is as if my food is stuck in my throat and I cannot get it down. It is most embarrassing and I am not in the mood for it. I hope this passes soon.""",Difficulty Swallowing,['Difficulty Swallowing']
10," ""I have been having difficulty swallowing for the past few days. It started with small amounts of food getting stuck in my throat, but now it is getting worse and I have to take several bites to get the food down.""",Difficulty Swallowing,['Difficulty Swallowing']
11," ""Food gets stuck in my throat and I have to cough to get it out.""",Difficulty Swallowing,['Difficulty Swallowing']
12," ""I have been having difficulty swallowing for the past few days. It feels like there is a lump in my throat and I have to swallow several times before it goes down.""",Difficulty Swallowing,['Difficulty Swallowing']
13," ""I can't swallow properly, doc. It's like there's a big ol' lump in my throat all the time. Food gets stuck halfway down and I gotta swallow real hard to get it down. It's gettin' worse too, doc. I'm gettin' scared.""",Difficulty Swallowing,['Difficulty Swallowing']
14," ""I've been having trouble swallowing for a few days now. It's like food gets stuck in my throat and I have to cough to get it down.""",Difficulty Swallowing,['Difficulty Swallowing']
15," ""Food gets stuck in my throat and I have to cough to get it out. Sometimes I choke and end up coughing a lot and bringing it up. It's really scary. I have to eat really slowly and carefully and I'm always worried that I'll choke again. It's really frustrating because I love eating out with my friends but I'm always worried that I'll choke in front of them. I've tried to lose weight because I thought that might help but it didn't. I'm really worried about this because I'm only 20 years old and I don't want to have this problem for the rest of my life.""",Difficulty Swallowing,['Difficulty Swallowing']
16," ""I cant even talk right now because my mouth is so dry.""",Dry Mouth,['Dry Mouth']
17," ""My mouth is as dry as the Sahara desert, and I can't even enjoy a good kiss with my partner.""",Dry Mouth,['Dry Mouth']
18," ""I got this dry mouth thingy and it's driving me mental, ya know? It's like I can't even talk proper like, and my tongue is all sticky and stuff.""",Dry Mouth,['Dry Mouth']
19," ""I've got a dry mouth that won't quit, mate.""",Dry Mouth,['Dry Mouth']
20," ""I've been having a dry mouth for a while now.""",Dry Mouth,['Dry Mouth']
21," ""I cant even talk right now because my mouth is so dry.""",Dry Mouth,['Dry Mouth']
22," ""I've been having a dry mouth lately, it's really annoying.""",Dry Mouth,['Dry Mouth']
23," ""I cant stop drooling and my mouth is all dry and sticky all the time, it's so annoying""",Dry Mouth,['Dry Mouth']
24," ""My voice is but a whisper, a faint echo of what it once was, and I am left to rage against the dying of the light.""",Hoarseness,['Dry Mouth']
25," ""I can't believe I got this bloody hoarseness, I ain't had a good shag in ages, and now I can't even properly scream at the telly!""",Hoarseness,['Cracking at the corners of the mouth (cheilosis/cheilitis)']
26," ""You think I'm hoarse? You think I'm just whining? You think I'm just being a baby? You think I'm just being a crybaby? You think I'm just being a little girl? You think I'm just being a little boy? You think I'm just being a little kid? You think I'm just being a little baby? You think I'm just being a little whiner? You think I'm just being a little crybaby? You think I'm just being a little girl? You think I'm just being a little boy? You think I'm just being a little kid? You think I'm just being a little baby? You think I'm just being a little whiner? You think I'm just being a little crybaby? You think I'm just being a little girl? You think I'm just being a little boy? You think I'm just being a little kid? You think I'm just being a little baby? You think I'm just being a little whiner? You think I'm just being a little crybaby? You think I'm just being a little girl? You think I'm just being a little boy? You think I'm just being a little kid? You think I'm just being a little baby? You think I'm just being a little whiner? You think I'm just being a little crybaby? You think I'm just being a little girl? You think I'm just being a",Hoarseness,"['Difficulty Swallowing', 'Dry Mouth', 'Hoarseness', 'Mouth/throat sores', 'Voice quality changes']"
27," ""I got a f**king frog in my throat, ya hear me? It's like I'm trying to talk through a f**king bag of rocks!""",Hoarseness,['Cracking at the corners of the mouth (cheilosis/cheilitis)']
28," ""I have been hoarse for quite some time now, and it is quite annoying.""",Hoarseness,['Hoarseness']
29," ""I been having this really weird hoarseness thingy going on, it's like my voice is all raspy and rough and stuff, and it's been like that for a while now, but I don't know what's causing it, I mean I haven't been screaming or anything, and I don't smoke or drink, so I don't know what's going on with my voice...""",Hoarseness,['Hoarseness']
30," ""My voice is hoarse and I have difficulty speaking.""",Hoarseness,['Hoarseness']
31," ""I have been experiencing a severe hoarseness for the past three days. It is very difficult for me to speak and my voice sounds very rough and strained. I tried to drink warm liquids and rest my voice but it did not help. I am very concerned about my voice returning to normal.""",Hoarseness,['Hoarseness']
32," ""My mouth is a battlefield, with sores that are as red as a rose.""",Mouth/throat sores,['Mouth/throat sores']
33," ""I got these blisters in my mouth and throat and it's been buggin me for a few days now. I can't even swallow properly and it hurts like hell when I try to eat or drink somethin.""",Mouth/throat sores,['Cracking at the corners of the mouth (cheilosis/cheilitis)']
34," ""I got these bloody sores in the back of my throat and on the inside of my mouth and it's driving me bloody crazy. I can't even swallow properly and it hurts like hell when I try to talk or eat. I'm so bloody angry about this, I can't even sleep properly at night because I keep waking up to try and swallow or because I'm so bloody uncomfortable. I'm so sick of these bloody sores and I just want them to go away already.""",Mouth/throat sores,"['Mouth/throat sores', 'Difficulty Swallowing', 'Hoarseness', 'Voice quality changes', 'Abdominal pain']"
35," ""My mouth is a battlefield, with sores popping up everywhere, like tiny volcanoes erupting, and my tongue feels like sandpaper, making it hard to talk, or even eat, quite a bit.""",Mouth/throat sores,['Mouth/throat sores']
36," ""My mouth is a battlefield, with sores that pop up everywhere, and they hurt so much that I can't even eat, and I'm so tired and weak that I can't even get out of bed, and I'm so confused that I can't even remember what day it is.""",Mouth/throat sores,['Mouth/throat sores']
37," ""My mouth is a battlefield, with sores that are like tiny volcanoes, erupting with fiery pain.""",Mouth/throat sores,['Mouth/throat sores']
38," ""My mouth is a battlefield, with sores that are as red as a rose, and as painful as a thorn.""",Mouth/throat sores,['Mouth/throat sores']
39," ""I have had these mouth/throat sores for a few weeks now and they are very painful. They are all over my mouth and tongue and some of them are open and bleeding.""",Mouth/throat sores,['Mouth/throat sores']
40," ""You think I'm a f**king idiot or what? I've got mouth/throat sores, okay? They're f**king painful and keep bleeding. I can't even eat properly because of them. I've tried everything, but nothing seems to work. I'm so f**king frustrated right now.""",Mouth/throat sores,['Mouth/throat sores']
41," ""My mouth is a battlefield, with trenches of pain etched into every corner, and the enemy is a virus that has taken up residence within my cells.""",Mouth/throat sores,['Cracking at the corners of the mouth (cheilosis/cheilitis)']
42," ""I got these bloody sores in the back of my throat and on the inside of my mouth, and they're so painful I can't even swallow properly. What the hell is going on with me?""",Mouth/throat sores,['Mouth/throat sores']
43," ""I have mouth and throat sores.""",Mouth/throat sores,['Mouth/throat sores']
44," ""My mouth is a bloody battlefield, a war zone of sores and pain, a place where even the mightiest of warriors would weep and surrender.""",Mouth/throat sores,['Cracking at the corners of the mouth (cheilosis/cheilitis)']
45," ""My voice has become hoarse and rough, as if sandpaper had taken up residence in my throat.""",Voice quality changes,['Hoarseness']
46," ""I noticed that my voice sounds hoarser than usual.""",Voice quality changes,['Hoarseness']
47," ""I noticed that my voice sounds hoarse and rough.""",Voice quality changes,['Hoarseness']
48," ""I noticed that my voice sounds hoarse and rough.""",Voice quality changes,['Hoarseness']
49," ""I have been having a very bad voice quality for a while now, it's like my voice is hoarse and rough, and it's very annoying, I can't even speak properly, and I get very angry when I can't express myself properly.""",Voice quality changes,['Cracking at the corners of the mouth (cheilosis/cheilitis)']
50," ""I been havin' this gut wrenchin' pain in my belly for a few days now. It's like somethin' is tryin' to rip its way outta me.""",Abdominal pain,['Abdominal pain']
