,Dialogue,True_Symptom,Extracted_Symptom
0," ""My mouth corners crack and bleed, it's like my lips are splitting open, and it hurts so much, I can't even eat, I'm so tired and weak, I can't even get out of bed, I'm so depressed, I just want to die, I'm so sorry, I know I should see a doctor, but I just can't afford it, I'm so sorry, please help me, I'm begging you, please help me, I'm so sorry, I know I should see a doctor, but I just can't afford it, I'm so sorry, please help me, I'm begging you, please help me, I'm so sorry, I know I should see a doctor, but I just can't afford it, I'm so sorry, please help me, I'm begging you, please help me, I'm so sorry, I know I should see a doctor, but I just can't afford it, I'm so sorry, please help me, I'm begging you, please help me, I'm so sorry, I know I should see a doctor, but I just can't afford it, I'm so sorry, please help me, I'm begging you, please help me, I'm so sorry, I know I should see a doctor, but I just can't afford it, I'm so sorry, please help me, I'm begging you, please help me, I'm so sorry, I know I should see",Cracking at the corners of the mouth (cheilosis/cheilitis),cheilosis/cheilitis
1," ""I got these bloody cracks at the corners of me mouth, and they won't go away. It's been months now, and I'm getting bloody worried. I tried every bloody thing I could find on the internet, but nothing seems to work. I even tried bloody tea bags, but that just made it worse. I'm getting so frustrated, I just want to rip the bloody things off, but I'm scared I'll make it worse. I just want me mouth to be normal again.""",Cracking at the corners of the mouth (cheilosis/cheilitis),cheilosis/cheilitis
2," ""My mouth is a parched desert, cracked and dry, with a bitter taste that lingers on my tongue, as if I had swallowed a mouthful of sand.""",Cracking at the corners of the mouth (cheilosis/cheilitis),dry mouth
3," ""My mouth is cracking at the corners, and it feels like my lips are splitting open, and I am terrified that I will bleed to death.""",Cracking at the corners of the mouth (cheilosis/cheilitis),cheilosis/cheilitis
4," ""My mouth is a cracked and parched desert, where even the tiniest of raindrops would be a welcome respite from the scorching heat.""",Cracking at the corners of the mouth (cheilosis/cheilitis),dry mouth
5," ""I got these bloody cracks at the corners of me mouth, an' it's been goin' on fer weeks now. It's so bloody annoying, I can't even eat me meals properly no more. I tried everythin' I could think of, but nothin' seems ta work. I even tried rubbin' me mouth with sugar, but that didn't work neither. I'm so bloody frustrated, I don't know what ta do no more.""",Cracking at the corners of the mouth (cheilosis/cheilitis),cheilosis/cheilitis
6," ""I have noticed that the corners of my mouth have been cracking and bleeding for the past few days. It started after I began taking a new medication for my anxiety. I have tried to moisturize my lips with lip balm, but it does not seem to help. The cracks are very deep and painful, especially when I smile or talk. I am worried that it may become infected.""",Cracking at the corners of the mouth (cheilosis/cheilitis),cheilosis/cheilitis
7," ""I have been having difficulty swallowing for a while now, but it has gotten much worse over the past few days. It feels like there is a lump in my throat that I cannot swallow. I tried to eat a sandwich yesterday, but I couldn't swallow it. I had to spit it out. It is very frustrating and scary. I am worried that I might choke to death.""",Difficulty Swallowing,difficulty swallowing
8," ""I cant swollow nothin, its like somethin is stuck in my throat all the time, and when i try to eat or drink somethin it feels like its goin down the wrong pipe and i cant breathe properley, its like im tryin to swallow a fukin brick, and its gettin worse and worse, i cant even swallow my own spit, its like im dyin or somethin, i cant take this no more, i need help, i need it now, i cant wait no more, i cant swollow, i cant swollow, i cant swollow, i cant swollow, i cant swollow, i cant swollow, i cant swollow, i cant swollow, i cant swollow, i cant swollow, i cant swollow, i cant swollow, i cant swollow, i cant swollow, i cant swollow, i cant swollow, i cant swollow, i cant swollow, i cant swollow, i cant swollow, i cant swollow, i cant swollow, i cant swollow, i cant swollow, i cant swollow, i cant swollow, i cant swollow, i cant swollow, i cant swollow, i cant swollow, i cant swollow, i cant swollow, i cant swollow, i cant swollow, i cant swollow, i cant swollow, i cant swollow, i cant swollow",Difficulty Swallowing,difficulty swallowing
9," ""i cant swallow properly, its like food gets stuck in my throat and i cant breathe properly, its really scary""",Difficulty Swallowing,difficulty swallowing
10," ""My throat is on fire and every time I try to swallow it feels like I am swallowing a red hot coal.""",Difficulty Swallowing,hoarseness
11," ""I cant swallow properly, its like food gets stuck in my throat and i have to cough it up.""",Difficulty Swallowing,difficulty swallowing
12," ""I've been having trouble swallowing lately, especially with liquids.""",Difficulty Swallowing,dysphagia
13," ""I cant swollow nothin. Everythin I try to eat or drink gets stuck in my throat and I cant breathe. Its like somethin is stuck there and I cant get it out. I cant even swallow my own spit. Its like my esophagus is closed or somethin. I cant even talk right now cuz its so hard to swallow. I cant even breathe right now cuz its so hard to swallow. I cant even think straight cuz its so hard to swallow. I cant even sleep cuz its so hard to swallow. I cant even eat cuz its so hard to swallow. I cant even drink cuz its so hard to swallow. I cant even breathe cuz its so hard to swallow. I cant even think cuz its so hard to swallow. I cant even sleep cuz its so hard to swallow. I cant even eat cuz its so hard to swallow. I cant even drink cuz its so hard to swallow. I cant even breathe cuz its so hard to swallow. I cant even think cuz its so hard to swallow. I cant even sleep cuz its so hard to swallow. I cant even eat cuz its so hard to swallow. I cant even drink cuz its so hard to swallow. I cant even breathe cuz its so hard to swallow. I cant even think cuz its so hard to swallow. I cant even sleep cuz its so hard to swallow. I cant even eat cuz its so hard to swallow. I cant even drink cuz its so hard to swallow. I cant",Difficulty Swallowing,difficulty swallowing
14," ""I have had dry mouth for a while now, but it's gotten so bad that I can't even talk properly. My tongue feels like sandpaper and it's so dry that I can see the saliva trails on my lips. I've tried drinking more water and using artificial saliva, but it doesn't seem to help. I'm so frustrated and embarrassed because I can't even talk to my friends and family properly.""",Dry Mouth,dry mouth
15," ""I have an extremely dry mouth, it's as if I've been sucking on a desert for weeks, and my tongue feels like sandpaper.""",Dry Mouth,dry mouth
16," ""I've been having this dry mouth thing for a while now, but it's gotten worse recently.""",Dry Mouth,dry mouth
17," ""My mouth is as dry as the Sahara desert, and I fear I may never be able to quench this thirst.""",Dry Mouth,dry mouth
18," ""I can't stop thinking about how dry my mouth is all the time. It's like sandpaper in there.""",Dry Mouth,dry mouth
19," ""I have noticed that my mouth is drier than usual these days.""",Dry Mouth,dry mouth
20," ""I have been experiencing a severe dry mouth for the past few days.""",Dry Mouth,dry mouth
21," ""I have been hoarse for a while now, but it seems to be getting worse and worse.""",Hoarseness,hoarseness
22," ""I've been having this weird hoarseness for a while now, but I thought it was just from screaming at the TV during the game. But now I'm starting to think it's something more serious. I mean, I can barely talk without my voice cracking. And it's not just my voice that's affected, I feel like I've lost my sense of taste too. I mean, I tried eating a sandwich the other day and it just tasted like cardboard. And I've been coughing up this weird stuff that looks like phlegm, but it's not phlegm. It's like this weird greyish-white stuff. I don't know what's going on with my body, but I'm really scared.""",Hoarseness,hoarseness
23," ""My voice is but a whisper now, a faint echo of what it once was, and I fear it may soon fade away completely.""",Hoarseness,hoarseness
24," ""I got a hoarse voice, it's like I got a frog in my throat, I can't even talk properly, I sound like a croak, it's so annoying, I can't even sleep at night because of it, I'm so sick of it, I just want to get rid of it already.""",Hoarseness,hoarseness
25," ""I've been having this hoarseness for a while now, and it's really starting to freak me out. It's like my voice is going away, and I'm scared I'll never get it back.""",Hoarseness,hoarseness
26," ""My voice is all raspy and rough, like a worn out record player, and it's really annoying me, because I'm a singer, and I need to practice my scales, but I can't even hit the high notes without sounding like a dying swan.""",Hoarseness,hoarseness
