Dialogue_Generated,Symptoms,Descriptions,Meta,Language_Style,Tone,Detail_Level,Enumeration,Explicit_Symptom,Spelling_Errors
" ""My skin is pale and dry, with a rash on my hands and feet that causes cracking and redness. My vision is blurred and my eyes are sensitive to light. I feel bloated and my stomach is often upset. I have joint pain and stiffness, especially in my hands and feet. I have muscle aches and pains throughout my body. I feel fatigued and weak, and I have shortness of breath when I exert myself. I have cold hands and feet, and I often feel dizzy.""","['Voice quality changes', 'Hand-foot syndrome (a rash of the hands and feet that can cause cracking, peeling, redness or pain)', 'Blurred vision', 'Bloating']","['Presence/Absence', 'Severity', 'Interference (with daily activities)', 'Frequency']","['Prefer not to answer', 'None', 'Somewhat', 'Frequently']",Poetic/Literary Register,Angry,3,True,False,False
" ""I got swollen arms and legs, and I'm super sensitive to sunlight now. I also have a weird taste in my mouth and I gotta pee all the time.""","['Swelling (arms or legs)', 'Sensitivity to sunlight', 'Taste Changes', 'Urinary urgency']","['Frequency', 'Presence/Absence', 'Severity', 'Frequency']","['Prefer not to answer', 'Not applicable', 'None', 'Not sexually active']",Informal Register,Angry,1,False,False,True
" ""I've been having these itchy red bumps all over my body, and I've noticed that I've been losing a lot of hair too. I've also been experiencing painful urination, and I'm not sure what's causing these symptoms.""","['Hives', 'Hair loss', 'Painful urination']","['Presence/Absence', 'Amount', 'Severity']","['Prefer not to answer', 'Very much', 'Not sexually active']",Poetic/Literary Register,Confused,3,False,True,True
" ""I have been having trouble sleeping lately, and I have noticed that my fingernails are ridged.""","['Nail ridging', 'Insomnia', 'Sensitivity to sunlight']","['Presence/Absence', 'Interference (with daily activities)', 'Presence/Absence']","['Not sexually active', 'Quite a bit', 'Prefer not to answer']",Neutral/Standard Register,Fearful,1,False,False,False
" ""I'm so scared, I keep seeing flashing lights and I'm worried I might hurt myself, I've got bed sores and I'm worried I might get an infection.""","['Flashing lights', 'Bed/pressure sores']","['Presence/Absence', 'Presence/Absence']","['Yes', 'Yes']",Informal Register,Fearful,3,False,True,False
" ""I'm so sick of this bloody shite, I can't even take a dump without it coming out my arse. I'm so bloated I feel like I'm gonna explode. And don't even get me started on the heart palpitations, I feel like I'm having a bloody heart attack. And the pain in my stomach is so bad I can't even sleep at night.""","['Gas', 'Fecal incontinence', 'Heart palpitations', 'Abdominal pain']","['Presence/Absence', 'Interference (with daily activities)', 'Frequency', 'Severity']","['Prefer not to answer', 'Quite a bit', 'Prefer not to answer', 'Very severe']",Vulgar Register,Angry,4,False,True,False
" ""I've been having a bit of trouble with my bladder lately. I get this sudden urge to pee and I can't hold it in. It's really embarrassing when it happens in public. I've also noticed that my nails are looking a bit yellow. I'm not sure what's causing it. My mouth is also really dry all the time. I drink a lot of water but it doesn't seem to help.""","['Urinary incontinence', 'Nail discoloration', 'Dry Mouth']","['Interference (with daily activities)', 'Presence/Absence', 'Severity']","['A little bit', 'No', 'Prefer not to answer']",Informal Register,Neutral,4,False,False,False
" ""I've got a cough that's worse than a bloody plague and I keep itching like I've got some sort of disease or something.""","['Itching', 'Coughing']","['Severity', 'Severity']","['Severe', 'Moderate']",Vulgar Register,Insulting,2,False,False,False
" ""I have been experiencing severe vaginal dryness lately. I have been vomiting a lot and I have heartburn almost constantly.""","['Vaginal dryness', 'Vomiting', 'Heartburn']","['Severity', 'Severity', 'Frequency']","['Severe', 'Not sexually active', 'Almost constantly']",Neutral/Standard Register,Fearful,2,False,False,False
" ""I can't sleep at night because I'm so short of breath all the time. I try to go to bed early, but I just can't catch my breath. I'm so frustrated and angry all the time because I can't sleep. I'm so tired all the time because I'm not sleeping. I'm so angry all the time because I'm so tired. I'm so frustrated all the time because I can't sleep. I'm so angry all the time because I'm so tired. I'm so frustrated all the time because I can't sleep. I'm so angry all the time because I'm so tired. I'm so frustrated all the time because I can't sleep. I'm so angry all the time because I'm so tired.""","['Shortness of breath', 'Concentration', 'Insomnia', 'Vaginal dryness']","['Interference (with daily activities)', 'Severity', 'Severity', 'Severity']","['Somewhat', 'Not applicable', 'Moderate', 'None']",Informal Register,Angry,5,False,False,False
