Dialogue_Generated,Symptoms,Descriptions,Meta,Language_Style,Tone,Detail_Level,Enumeration,Explicit_Symptom,Spelling_Errors
" ""I feel like I'm always down in the dumps and I can't seem to shake it. My mouth is always dry and I can't sleep at night.""","['Sad', 'Dry Mouth']","['Frequency', 'Severity']","['Never', 'Not applicable']",Vulgar Register,Confused,4,False,False,False
" ""My mouth is as dry as the Sahara desert, and I feel like I'm going to vomit up my insides. I see these little black dots floating around my eyes, and I'm sweating like a pig.""","['Dry Mouth', 'Nausea', 'Visual floaters', 'Increased sweating']","['Severity', 'Frequency', 'Presence/Absence', 'Frequency']","['Prefer not to answer', 'Not sexually active', 'Not sexually active', 'Not sexually active']",Poetic/Literary Register,Neutral,3,False,False,True
" ""I got my flu shot last week and now my arm is killing me. It's so sore I can't even sleep on that side and it's all swollen. And to top it off, my voice sounds all hoarse and weird.""","['Pain and swelling at injection site', 'Voice quality changes']","['Presence/Absence', 'Presence/Absence']","['Yes', 'Not applicable']",Informal Register,Angry,5,False,False,False
" ""I have been experiencing a rash on my hands and feet for the past week, which is causing cracking and redness.""","['Hand-foot syndrome (a rash of the hands and feet that can cause cracking, peeling, redness or pain)', 'Swelling (arms or legs)']","['Severity', 'Interference (with daily activities)']","['Severe', 'Very much']",Formal Register,Confused,2,False,False,False
" ""I've been feelin' like a bloody coal miner lately, ya know? Me skin's gone all dark and stuff, and I ain't got no bloody interest in sex neither. I keep seein' these bloody floaters everywhere, and I can't breathe proper neither. It's like I'm suffocatin' or somethin'.""","['Skin darkening', 'Decreased libido', 'Visual floaters', 'Wheezing']","['Presence/Absence', 'Severity', 'Presence/Absence', 'Severity']","['Yes', 'Mild', 'Yes', 'Not sexually active']",Vulgar Register,Friendly,5,False,False,False
" ""I've been having these red lines on my belly for a while now, and I'm really worried about it. I've tried to lose weight, but it's not working out. I also have this really bad body odor, and I'm really embarrassed about it. I've tried using deodorants, but it doesn't help much. I also have chills a lot, and I'm really cold all the time. I'm really worried about my health, and I want to get better.""","['Stretch marks', 'Body odor', 'Chills']","['Presence/Absence', 'Severity', 'Frequency']","['Not applicable', 'Very severe', 'Frequently']",Informal Register,Friendly,5,False,False,True
" ""I got these weird discharge from me titties and me periods is all over the place, and me eyes is all watery and me nails is turning yellow, and I'm so scared I might have cancer or something.""","['Watery eyes', 'Irregular periods/vaginal bleeding', 'Breast swelling and tenderness', 'Nail discoloration']","['Interference (with daily activities)', 'Presence/Absence', 'Severity', 'Presence/Absence']","['Not at all', 'Not sexually active', 'Very severe', 'Not applicable']",Vulgar Register,Fearful,3,False,False,False
" ""I've been noticing that my skin is really dry and my nails are falling off. I've tried using moisturizer but it doesn't seem to be helping. I'm really worried about this.""","['Skin dryness', 'Nail loss']","['Severity', 'Presence/Absence']","['Moderate', 'Prefer not to answer']",Informal Register,Confused,4,False,False,True
" ""I can't remember half the shit I need to do every day. I'm always forgetting to take my meds, and I'm always late for appointments. I'm so frustrated with myself. And on top of that, I'm always wetting my pants. I can't control it. I'm so angry with myself. And I'm always so hot. I'm sweating all the time. I can't sleep at night because I'm so hot. And I'm always forgetting what I was saying. I'll be in the middle of a sentence and I'll forget what I was saying. It's so frustrating. I'm so angry with myself.""","['Urinary incontinence', 'Memory', 'Hot flashes']","['Interference (with daily activities)', 'Severity', 'Severity']","['Somewhat', 'Moderate', 'None']",Vulgar Register,Angry,3,True,False,False
" ""My body reeks of a putrid stench, as if I were a rotting corpse, and my eyes are perpetually brimming with tears, as if I were perpetually weeping for the loss of my vitality.""","['Body odor', 'Watery eyes']","['Severity', 'Severity']","['Not sexually active', 'Not applicable']",Poetic/Literary Register,Neutral,5,False,False,False
" ""I have hives all over my body and I keep hiccuping.""","['Hives', 'Hiccups']","['Presence/Absence', 'Severity']","['No', 'Prefer not to answer']",Informal Register,Neutral,2,True,False,False
" ""i cant have an orgasm anymore, my heart is always racing and it takes ages to cum...""","['Unable to have orgasm', 'Heart palpitations', 'Delayed orgasm']","['Presence/Absence', 'Severity', 'Presence/Absence']","['No', 'Not applicable', 'Not applicable']",Informal Register,Angry,5,False,False,True
" ""I'm so sick of these watery eyes and increased sweating. It's always there, and I can't get rid of it.""","['Watery eyes', 'Increased sweating']","['Interference (with daily activities)', 'Frequency']","['Somewhat', 'Frequently']",Formal Register,Insulting,1,False,True,False
" ""I cant stop weein ma self, an im soakin wet all the time. An im sweatin like a pig too, even when its cold outside. An im not eatin much neither, so im losin weight fast.""","['Urinary incontinence', 'Increased sweating', 'Decreased appetite']","['Frequency', 'Frequency', 'Severity']","['Rarely', 'Occasionally', 'Severe']",Vulgar Register,Neutral,4,False,False,True
" ""I got this burning sensation in my chest and I started burping like crazy, and I had this weird feeling when I peed.""","['Gas', 'Ejaculation', 'Heartburn']","['Presence/Absence', 'Frequency', 'Severity']","['Yes', 'Not sexually active', 'Not sexually active']",Vulgar Register,Friendly,1,False,True,True
" ""I got these bed sores from layin in this bed all day and night, and I got the hiccups from eatin too fast, and I got the poop in my pants from not bein able to get to the bathroom in time, and I ain't had no orgasm in months from not bein able to get it on with nobody.""","['Bed/pressure sores', 'Hiccups', 'Fecal incontinence', 'Unable to have orgasm']","['Presence/Absence', 'Frequency', 'Frequency', 'Presence/Absence']","['Not applicable', 'Never', 'Rarely', 'No']",Vulgar Register,Friendly,3,False,False,True
" ""I've been having irregular periods/vaginal bleeding for a while now, and it's been getting worse. I've also been having trouble controlling my bowel movements, and I've noticed that I've been having a stronger body odor than usual. I was really looking forward to my period arriving last week, but it never did. I'm starting to get worried that something might be wrong with my body.""","['Irregular periods/vaginal bleeding', 'Fecal incontinence', 'Body odor', 'Missed expected menstrual period']","['Presence/Absence', 'Interference (with daily activities)', 'Severity', 'Presence/Absence']","['Yes', 'A little bit', 'Mild', 'No']",Poetic/Literary Register,Friendly,4,False,False,True
" ""I've been having diarrhea for a while now, and my vision has been getting blurry. I'm also very sensitive to sunlight.""","['Diarrhea', 'Blurred vision', 'Sensitivity to sunlight']","['Frequency', 'Severity', 'Presence/Absence']","['Frequently', 'Prefer not to answer', 'Prefer not to answer']",Neutral/Standard Register,Insulting,3,False,False,False
" ""My joints are aflame with pain, and I am beset with anxiety, as if a thousand spiders are crawling upon my skin. My heart races and my palms are slick with sweat, as if I were about to face some hideous beast. And to make matters worse, I am beset with hot flashes, as if the very fires of hell were burning within me.""","['Joint pain', 'Anxious', 'Hot flashes']","['Frequency', 'Severity', 'Frequency']","['Occasionally', 'Mild', 'Not sexually active']",Poetic/Literary Register,Fearful,2,False,False,True
" ""My heart is heavy with sorrow and sadness, as if a weight is pressing down upon it, making it difficult to swallow the bitter pills of life.""","['Sad', 'Difficulty Swallowing']","['Severity', 'Severity']","['None', 'Very severe']",Poetic/Literary Register,Confused,4,True,False,True
" ""I'm freezing to death, you bloody idiot, and I've got a bloody headache to boot.""","['Chills', 'Headache']","['Frequency', 'Frequency']","['Rarely', 'Frequently']",Vulgar Register,Insulting,2,False,False,False
