,Dialogue_Generated,symptom,description,meta,language_style,Tone,Detail_level,Enumeration,Explicit_symptom,Spelling_errors
0," ""I have this really weird thing going on with my mouth. It's like the corners of my mouth are cracking and bleeding all the time. I've tried to look it up online but I can't find anything that matches what I have. It's really annoying and I'm worried that it's some kind of cancer or something.""",Cracking at the corners of the mouth (cheilosis/cheilitis),Severity,Very severe,Neutral/Standard Register,Confused,3,False,False,True
1," ""My lips are cracked and dry, like the sand on a desert beach, and when I smile, they split open like the earth in an earthquake.""",Cracking at the corners of the mouth (cheilosis/cheilitis),Severity,Not sexually active,Poetic/Literary Register,Confused,3,False,False,True
2," ""My mouth is cracking at the corners, like the earth cracking open, and I can feel the heat rising from within.""",Cracking at the corners of the mouth (cheilosis/cheilitis),Severity,Prefer not to answer,Poetic/Literary Register,Confused,1,False,False,False
3," ""I have noticed that the corners of my mouth have started to crack and peel recently.""",Cracking at the corners of the mouth (cheilosis/cheilitis),Severity,None,Formal Register,Fearful,2,False,False,False
4," ""I have been experiencing a cracking at the corners of my mouth for a while now, but I thought it was just a result of aging. However, I have noticed that it has become more severe and I have also started to experience some bleeding from the cracks.""",Cracking at the corners of the mouth (cheilosis/cheilitis),Severity,Not applicable,Formal Register,Confused,3,False,False,True
5," ""Oh, my lips are so parched and dry, it feels like the desert has taken over my mouth, and the corners are cracking and bleeding, it's so painful, I'm so scared, what if it spreads to the rest of my body?""",Cracking at the corners of the mouth (cheilosis/cheilitis),Severity,Moderate,Poetic/Literary Register,Fearful,5,False,False,True
6," ""I got these fkn cracks in the corners of my mouth, and I'm sick of it. I don't know what the hell is going on with my mouth, but I'm sick of it, and I want it to stop.""",Cracking at the corners of the mouth (cheilosis/cheilitis),Severity,Mild,Vulgar Register,Insulting,2,False,True,False
7," ""My mouth is a cracked and parched desert, where the corners split and bleed, as if the very earth itself was splitting open, and the sun was burning my skin to a crisp.""",Cracking at the corners of the mouth (cheilosis/cheilitis),Severity,Severe,Poetic/Literary Register,Fearful,5,False,False,False
8," ""I cant swollow nothin, doc. Its like somethin is stuck in my throat all the time. I cant even swollow my own spit.""",Difficulty Swallowing,Severity,Very severe,Vulgar Register,Fearful,1,False,False,True
9," ""I have been having some issues with swallowing lately, it's as if my throat is all dry and rough, and when I try to swallow it feels like sandpaper rubbing against my esophagus, making it very uncomfortable.""",Difficulty Swallowing,Severity,Not sexually active,Poetic/Literary Register,Friendly,4,False,False,True
10," ""I cant swollow nothin properly, its like somethin is stuck in my throat all the time, and its gettin worse, I cant even swollow my own spit.""",Difficulty Swallowing,Severity,Prefer not to answer,Vulgar Register,Neutral,4,False,False,True
11," ""I have been having trouble swallowing for a few days now.""",Difficulty Swallowing,Severity,None,Informal Register,Neutral,2,False,False,False
12," ""I can't swallow properly anymore, it feels like there's a lump in my throat all the time. Even when I try to swallow liquids, it feels like it gets stuck in my throat and I start coughing. I'm so scared that I might choke to death one day.""",Difficulty Swallowing,Severity,Not applicable,Informal Register,Fearful,5,False,False,False
13," ""I am having a most unpleasant experience with my swallowing, it is as if my food is stuck in my throat and I cannot get it down no matter how hard I try, it is most frustrating and I am getting rather annoyed with this whole situation.""",Difficulty Swallowing,Severity,Moderate,Formal Register,Insulting,5,False,False,True
14," ""I have been having trouble swallowing for the past few days. It feels like there is a lump in my throat that I cannot get rid of. Even when I drink water, it feels like it gets stuck in my throat and I have to cough it up.""",Difficulty Swallowing,Severity,Mild,Neutral/Standard Register,Fearful,4,False,False,False
