,Dialogue_Generated,Symptoms,Descriptions,Metas,Language_Style,Tone,Detail_Level,Enumeration,Explicit_Symptom,Spelling_Errors
0," ""My limbs are puffed up like a balloon and my arms are so swollen I can't even wear my watch. I keep hiccuping and my face is all flushed and hot. I feel so dizzy I can't even stand up straight.""","['Hiccups', 'Swelling (arms or legs)', 'Hot flashes', 'Dizziness']","['Frequency', 'Frequency', 'Severity', 'Severity']","['Frequently', 'Frequently', 'Moderate', 'None']",Poetic/Literary Register,Neutral,2,False,False,True
1," ""I have been feeling really anxious and worried lately. I have been having a hard time sleeping and I wake up in the middle of the night. I have been having nightmares and I feel like I am going crazy. I have been having a hard time concentrating and I feel like I am losing my mind. I have been having a hard time eating and I feel like I am wasting away. I have been having a hard time talking to people and I feel like I am going to burst into tears at any moment. I have been having a hard time controlling my emotions and I feel like I am going to lose control at any moment. I have been having a hard time controlling my thoughts and I feel like I am going to go crazy. I have been having a hard time controlling my behavior and I feel like I am going to do something I will regret. I have been having a hard time controlling my impulses and I feel like I am going to do something I will regret. I have been having a hard time controlling my temper and I feel like I am going to do something I will regret. I have been having a hard time controlling my anger and I feel like I am going to do something I will regret. I have been having a hard time controlling my fear and I feel like I am going to do something I will regret. I have been having a hard time controlling my sadness and I feel like I am going to do something I will regret. I have been having a hard time","['Decreased sweating', 'Vomiting']","['Presence/Absence', 'Severity']","['Yes', 'Moderate']",Neutral/Standard Register,Fearful,4,True,False,True
2," ""My body is a battlefield, where fatigue and chills wage war, while my nails are the sentinels, standing guard against the invaders, but even they are weakened by the constant attacks, and their ridges are the scars of the battles they have witnessed.""","['Fatigue', 'Nail ridging', 'Heart palpitations', 'Chills']","['Interference (with daily activities)', 'Presence/Absence', 'Severity', 'Frequency']","['Very much', 'Not applicable', 'None', 'Never']",Poetic/Literary Register,Confused,3,False,False,False
3," ""My body stinks like a rotting corpse, and even sex is a painful ordeal. My nails are ridged and I sweat like a pig. What's wrong with me?""","['Body odor', 'Pain with sexual intercourse', 'Nail ridging', 'Increased sweating']","['Severity', 'Severity', 'Presence/Absence', 'Frequency']","['None', 'Moderate', 'Yes', 'Prefer not to answer']",Poetic/Literary Register,Angry,2,False,False,True
4," ""I have been experiencing a very severe body odor, moderate shortness of breath, mild constipation, and frequent ejaculation.""","['Body odor', 'Shortness of breath', 'Constipation', 'Ejaculation']","['Severity', 'Severity', 'Severity', 'Frequency']","['Very severe', 'Moderate', 'Mild', 'Frequently']",Formal Register,Confused,2,False,False,True
5," ""My body is a battlefield, where the enemy of bed/pressure sores and dizziness wage war against me. I am constantly on the lookout for signs of infection, as I lie in bed, my skin a battleground, where the enemy of bed/pressure sores and dizziness fight for dominance. I am tired of being a prisoner in my own home, unable to leave my bed, as the enemy of bed/pressure sores and dizziness continue to wage war against me.""","['Bed/pressure sores', 'Dizziness']","['Presence/Absence', 'Interference (with daily activities)']","['Prefer not to answer', 'Quite a bit']",Poetic/Literary Register,Angry,3,True,True,False
6," ""I am experiencing a mild itching sensation all over my body, and I have developed some stretch marks on my abdomen and breasts. I hope the doctor can prescribe something to alleviate these symptoms, or I will be forced to sue the hospital for malpractice.""","['Itching', 'Stretch marks']","['Severity', 'Presence/Absence']","['Mild', 'Yes']",Formal Register,Insulting,2,False,False,True
7," ""I'm always in pain, I can't swallow properly, I can't even have sex, I'm always sad.""","['General pain', 'Difficulty Swallowing', 'Delayed orgasm', 'Sad']","['Interference (with daily activities)', 'Severity', 'Presence/Absence', 'Frequency']","['A little bit', 'Severe', 'Yes', 'Prefer not to answer']",Informal Register,Angry,2,False,True,True
8," ""My vision is blurred, as if a veil of fog has descended upon my eyes, obscuring the world around me. My heart burns with a fire that cannot be quenched, a flame that threatens to consume me from the inside out. I am discouraged, as if the weight of the world rests upon my shoulders, and I am unable to lift my head to face the day.""","['Blurred vision', 'Heartburn', 'Discouraged']","['Severity', 'Frequency', 'Severity']","['Mild', 'Frequently', 'Severe']",Poetic/Literary Register,Insulting,5,True,False,False
9," ""I'm tellin' ya, I got these ridges on me nails and I'm dizzy all the time. What the hell is goin' on with me body?""","['Nail ridging', 'Dizziness']","['Presence/Absence', 'Severity']","['No', 'Not applicable']",Vulgar Register,Angry,3,False,True,False
