Dialogue,True_Symptom,Extracted_Symptom
" ""My mouth corners crack and bleed, it's like my lips are splitting open, and it hurts so much, I can't even eat, I'm so tired and weak, I can't even get out of bed, I'm so depressed, I just want to die, I'm so sorry, I know I should see a doctor, but I just can't afford it, I'm so sorry, please help me, I'm begging you, please help me, I'm so sorry, I know I should see a doctor, but I just can't afford it, I'm so sorry, please help me, I'm begging you, please help me, I'm so sorry, I know I should see a doctor, but I just can't afford it, I'm so sorry, please help me, I'm begging you, please help me, I'm so sorry, I know I should see a doctor, but I just can't afford it, I'm so sorry, please help me, I'm begging you, please help me, I'm so sorry, I know I should see a doctor, but I just can't afford it, I'm so sorry, please help me, I'm begging you, please help me, I'm so sorry, I know I should see a doctor, but I just can't afford it, I'm so sorry, please help me, I'm begging you, please help me, I'm so sorry, I know I should see",Cracking at the corners of the mouth (cheilosis/cheilitis),cheilosis/cheilitis
" ""I got these bloody cracks at the corners of me mouth, and they won't go away. It's been months now, and I'm getting bloody worried. I tried every bloody thing I could find on the internet, but nothing seems to work. I even tried bloody tea bags, but that just made it worse. I'm getting so frustrated, I just want to rip the bloody things off, but I'm scared I'll make it worse. I just want me mouth to be normal again.""",Cracking at the corners of the mouth (cheilosis/cheilitis),cheilosis/cheilitis
" ""My mouth is a parched desert, cracked and dry, with a bitter taste that lingers on my tongue, as if I had swallowed a mouthful of sand.""",Cracking at the corners of the mouth (cheilosis/cheilitis),"Cheilitis, Dry Mouth, Cheilosis, Mouth/throat sores"
" ""My mouth is cracking at the corners, and it feels like my lips are splitting open, and I am terrified that I will bleed to death.""",Cracking at the corners of the mouth (cheilosis/cheilitis),"cheilosis/cheilitis, mouth/throat sores"
" ""My mouth is a cracked and parched desert, where even the tiniest of raindrops would be a welcome respite from the scorching heat.""",Cracking at the corners of the mouth (cheilosis/cheilitis),cheilosis/cheilitis
" ""I got these bloody cracks at the corners of me mouth, an' it's been goin' on fer weeks now. It's so bloody annoying, I can't even eat me meals properly no more. I tried everythin' I could think of, but nothin' seems ta work. I even tried rubbin' me mouth with sugar, but that didn't work neither. I'm so bloody frustrated, I don't know what ta do no more.""",Cracking at the corners of the mouth (cheilosis/cheilitis),"cheilosis/cheilitis, Mouth/throat sores"
" ""I have noticed that the corners of my mouth have been cracking and bleeding for the past few days. It started after I began taking a new medication for my anxiety. I have tried to moisturize my lips with lip balm, but it does not seem to help. The cracks are very deep and painful, especially when I smile or talk. I am worried that it may become infected.""",Cracking at the corners of the mouth (cheilosis/cheilitis),cheilosis/cheilitis
" ""I have been having difficulty swallowing for a while now, but it has gotten much worse over the past few days. It feels like there is a lump in my throat that I cannot swallow. I tried to eat a sandwich yesterday, but I couldn't swallow it. I had to spit it out. It is very frustrating and scary. I am worried that I might choke to death.""",Difficulty Swallowing,"difficulty swallowing, hoarseness, throat lump"
" ""I cant swollow nothin, its like somethin is stuck in my throat all the time, and when i try to eat or drink somethin it feels like its goin down the wrong pipe and i cant breathe properley, its like im tryin to swallow a fukin brick, and its gettin worse and worse, i cant even swallow my own spit, its like im dyin or somethin, i cant take this no more, i need help, i need it now, i cant wait no more, i cant swollow, i cant swollow, i cant swollow, i cant swollow, i cant swollow, i cant swollow, i cant swollow, i cant swollow, i cant swollow, i cant swollow, i cant swollow, i cant swollow, i cant swollow, i cant swollow, i cant swollow, i cant swollow, i cant swollow, i cant swollow, i cant swollow, i cant swollow, i cant swollow, i cant swollow, i cant swollow, i cant swollow, i cant swollow, i cant swollow, i cant swollow, i cant swollow, i cant swollow, i cant swollow, i cant swollow, i cant swollow, i cant swollow, i cant swollow, i cant swollow, i cant swollow, i cant swollow, i cant swollow",Difficulty Swallowing,"Difficulty Swallowing, Dysphagia"
" ""i cant swallow properly, its like food gets stuck in my throat and i cant breathe properly, its really scary""",Difficulty Swallowing,difficulty swallowing
" ""My throat is on fire and every time I try to swallow it feels like I am swallowing a red hot coal.""",Difficulty Swallowing,hoarseness
" ""I cant swallow properly, its like food gets stuck in my throat and i have to cough it up.""",Difficulty Swallowing,Difficulty Swallowing
