,metric,value_explicit,value_zero_shot,value_few_shot,value_chain_of_thought,value_self_refinement,value_multiple_demonstrations
0,Hamming Loss,0.01,0.01,0.0,0.01,0.01,0.0
1,Micro F1-score,0.31,0.52,0.49,0.42,0.22,0.57
2,Macro F1-score,0.08,0.16,0.09,0.09,0.06,0.14
3,Weighted F1-score,0.41,0.56,0.57,0.49,0.28,0.63
4,Jaccard Index (Macro),0.05,0.12,0.06,0.06,0.04,0.11
5,Subset Accuracy,0.19,0.33,0.32,0.26,0.13,0.41
6,Mean Average Precision (MAP),0.25,0.38,0.4,0.32,0.16,0.46
7,Accuracy (Average),0.99,0.99,1.0,0.99,0.99,1.0
8,Accuracy (Alpha-Softmax),0.99,0.99,1.0,1.0,0.99,1.0
9,Accuracy (Alpha-Softmin),0.99,0.99,1.0,0.99,0.99,1.0
10,Precision (Average),0.14,0.23,0.12,0.15,0.14,0.19
11,Precision (Alpha-Softmax),0.88,0.87,0.86,0.88,0.89,0.9
12,Precision (Alpha-Softmin),0.01,0.01,0.0,0.0,0.01,0.01
13,Recall (Average),0.87,0.85,0.92,0.89,0.84,0.89
14,Recall (Alpha-Softmax),0.99,0.98,0.99,0.99,1.0,0.99
15,Recall (Alpha-Softmin),0.3,0.33,0.42,0.37,0.19,0.39
16,Avg False Positives Over all samples,1.89,0.84,1.03,1.12,1.46,0.76
17,Avg False Negatives Over all samples,1.24,0.98,0.97,1.14,1.52,0.86
