,metric,value_explicit,value_zero_shot,value_few_shot,value_chain_of_thought,value_self_refinement,value_multiple_demonstrations
0,Hamming Loss,0.01,0.01,0.0,0.01,0.01,0.0
1,Micro F1-score,0.32,0.51,0.5,0.42,0.23,0.58
2,Macro F1-score,0.08,0.17,0.09,0.09,0.06,0.16
3,Weighted F1-score,0.41,0.55,0.57,0.5,0.29,0.62
4,Jaccard Index (Macro),0.05,0.12,0.07,0.07,0.04,0.12
5,Subset Accuracy,0.2,0.33,0.34,0.27,0.12,0.4
6,Mean Average Precision (MAP),0.25,0.38,0.4,0.33,0.17,0.46
7,Accuracy (Average),0.99,0.99,1.0,0.99,0.99,1.0
8,Accuracy (Alpha-Softmax),0.99,0.99,1.0,1.0,0.99,1.0
9,Accuracy (Alpha-Softmin),0.98,0.99,1.0,0.99,0.99,0.99
10,Precision (Average),0.14,0.23,0.12,0.15,0.14,0.21
11,Precision (Alpha-Softmax),0.85,0.87,0.84,0.88,0.88,0.88
12,Precision (Alpha-Softmin),0.01,0.01,0.0,0.0,0.01,0.01
13,Recall (Average),0.88,0.85,0.92,0.89,0.84,0.89
14,Recall (Alpha-Softmax),0.99,0.98,0.99,0.99,1.0,0.98
15,Recall (Alpha-Softmin),0.3,0.32,0.39,0.35,0.19,0.33
16,Avg False Positives Over all samples,1.89,0.81,0.98,1.07,1.48,0.69
17,Avg False Negatives Over all samples,1.19,0.97,0.94,1.11,1.48,0.84
