,metric,value_explicit,value_zero_shot,value_few_shot,value_chain_of_thought,value_self_refinement,value_multiple_demonstrations
0,Hamming Loss,0.01,0.01,0.0,0.01,0.01,0.01
1,Micro F1-score,0.31,0.51,0.5,0.42,0.24,0.56
2,Macro F1-score,0.09,0.18,0.09,0.1,0.06,0.15
3,Weighted F1-score,0.4,0.54,0.56,0.48,0.31,0.6
4,Jaccard Index (Macro),0.06,0.13,0.07,0.07,0.04,0.11
5,Subset Accuracy,0.18,0.28,0.29,0.25,0.13,0.33
6,Mean Average Precision (MAP),0.25,0.38,0.4,0.33,0.18,0.45
7,Accuracy (Average),0.99,0.99,1.0,0.99,0.99,0.99
8,Accuracy (Alpha-Softmax),0.99,0.99,1.0,0.99,0.99,0.99
9,Accuracy (Alpha-Softmin),0.98,0.99,1.0,0.99,0.99,0.99
10,Precision (Average),0.15,0.25,0.13,0.16,0.15,0.2
11,Precision (Alpha-Softmax),0.88,0.89,0.84,0.88,0.9,0.9
12,Precision (Alpha-Softmin),0.01,0.01,0.0,0.0,0.01,0.01
13,Recall (Average),0.86,0.82,0.92,0.88,0.84,0.89
14,Recall (Alpha-Softmax),0.99,0.98,0.99,0.99,1.0,0.99
15,Recall (Alpha-Softmin),0.29,0.27,0.39,0.33,0.21,0.35
16,Avg False Positives Over all samples,1.96,0.75,1.01,1.07,1.46,0.8
17,Avg False Negatives Over all samples,1.36,1.13,1.08,1.26,1.63,0.99
