Dialogue,True_Symptom,Extracted_Symptom
"""My dizziness has been causing a considerable hindrance to my daily routine, manifesting itself as a moderate level of discomfort that persists throughout the day, thereby rendering me somewhat incapacitated in my usual activities.""",['Dizziness'],
"""I've been experiencing occasional but severe nosebleeds, with the frequency remaining unclear due to my reluctance to disclose this information.""",['Nosebleed'],
"""I'm experiencing severe irritation and discomfort due to Sensitivity to sunlight, which causes my skin to become red, swollen, and extremely painful when exposed to even the slightest amount of sunlight, and I'm fed up with it.""",['Sensitivity to sunlight'],
"""Ain't got nothin' to say 'bout gettin' it up, doc.""",['Achieve and maintain erection'],
"""I am presently experiencing a condition of watery eyes, which is characterized by a moderate level of interference with my daily activities, albeit to a relatively minor extent, and I would rate the severity of this symptom as nonexistent.""",['Watery eyes'],
"""I've been experiencing irregular periods, where my periods are showing up randomly, and there's also vaginal bleeding that's not related to my usual cycle, the bleeding is light, but it's been happening at different times of the month, and sometimes it's heavy, but I'm not sure what's causing it, it's been going on for a few months now, and it's been affecting my daily activities, I've also noticed that the bleeding is sometimes accompanied by cramps, but not always, and it's been really frustrating trying to figure out what's going on.""",['Irregular periods/vaginal bleeding'],
"""Total Loss of Body Odor, No Perspiration, Dry Skin, Heat Intolerance, Fatigue, Weakness, Dizziness, Confusion, Memory Loss, No Night Sweats, No Hot Flashes, No Cold Sweats, No Chills, No Fever, No Rapid Heartbeat, No Increased Thirst.""",['Decreased sweating'],
"""Occasional Loose Stools, Abdominal Cramps, Bloating, Nausea, Vomiting, Weight Loss, Fatigue, Weakness.""",['Diarrhea'],
"""i'm experinseing moderat to bad muscle pain thats interfirin with alot of my daily activites, its happenin quite offten and makin it hard for me to even get outta bed, its like my whole body is achin and crampin, especailly in my back and legs, its like i got hit by a truck or somethin, i cant even sleep at nite without feelin this pain, its drivin me crazy!!""",['Muscle pain'],
"""Recurring nosebleeds, No pain or discomfort.""",['Nosebleed'],
"""Me shoes, dey got de problem, dey can't get da job done, if ya know what I mean, like I'm walkin' aroun', tryin' to get da big O, but it's like me shoes is all tangled up, ya hear me, I don't wanna talk 'bout it, it's just... and den dey got dis dizziness, like me shoes is all wobbly, I'm walkin' aroun', tryin' to do da daily stuff, but I'm gettin' all dizzy, like I'm gonna faint or somethin', it's quite a bit, I'd say, but it's not too bad, just a lil' mild, ya know?""","['Unable to have orgasm', 'Dizziness']",
"""Apparently, I've got some fancy 'delayed orgasm' thing going on, but since it's not applicable, I guess that means I'm just a total loser who can't even get that right, so, yeah, it's not happening, and don't even get me started on what that says about my love life.""",['Delayed orgasm'],
"""I have Irregular periods/vaginal bleeding, No periods at all, Vaginal bleeding at irregular times, Anxious, Anxiousness that interferes with my daily activities, Mild anxiety, I'm anxious all the time, Anxiousness that is quite a bit, Mild level of anxiousness.""","['Irregular periods/vaginal bleeding', 'Anxious']",
"""Doc, I'm feelin' pretty weird, got the hiccups goin' on, but I dunno how often they're happenin' or how bad they are, maybe they're just a little nuisance, anyway, I'm pretty sure I'm late on my period, which is weird 'cause I'm usually regular, and to top it all off, my eyes are all watery, it's really interferin' with my daily life, like I'm cryin' a lot, but I guess the severity's not that bad, just moderate, but honestly, I'm gettin' a little mixed up, what's goin' on with me?""","['Hiccups', 'Missed expected menstrual period', 'Watery eyes']",
"""I'm seeing these tiny dots moving around in my vision, they're like tiny little strings, but I'm not really sure if they're there or not, and when I go outside, I feel like I'm getting a headache, but I'm not really sure if it's because of the sun or not.""","['Visual floaters', 'Sensitivity to sunlight']",
"""I am experiencing a multitude of distressing symptoms, including the utterly embaressing urinary incontinence which interfears with my daily activites quite a bit and is almost constintly occuring, the severe nausea which is only rare but is of extreem severity, the mild yet almost constint chills which are quite annoyng, I am also concernd about my missed expected menstrual period which is not applicaple in this context, and the mild decrease in my libido which is definately not what I would like to be experincing at this time.""","['Urinary incontinence', 'Nausea', 'Chills', 'Missed expected menstrual period', 'Decreased libido']",
"""In this wretched state, I find myself beset by a moderate malady of the taste buds, where flavors dance upon my tongue with maddening inconsistency, and my limbs, oh so frail, swell with a very severe anguish, somewhat impeding my daily pursuits, though I dare not confess the frequency of these woeful occurrences.""","['Taste Changes', 'Swelling (arms or legs)']",
"""Discoloration of skin, Unpleasant metallic taste, Strong unpleasant body smell.""","['Skin darkening', 'Taste Changes', 'Body odor']",
"""I have been experiencing a subtle yet palpable diminution in my libidinous inclinations, characterised by an aversion to engaging in intimate activities, a lack of enthusiasm for romantic pursuits, and a general sense of emotional detachment from my partner, which has been a persistent and somewhat distressing phenomenon, albeit one that I have chosen not to quantify in terms of severity.""",['Decreased libido'],
"""I've got a bit of a mystery goin' on with this rash, doc, don't wanna say if it's here or not, but let's just say it's makin' itself known.""",['Rash'],
"""I cant even get it up in time, my sex life is goin down the drain, doc, it takes me ages to cum, and dont even get me started on the fact that i aint got the guts to answer that blasted question on the form!""",['Delayed orgasm'],
"""Normal Urination.""",['Ejaculation'],
"""My poor shos are acting up somethin terribl, with numbness and tingling causin a right ol' ruckus, makin it dificult to get out of bed in the mornin, the mild discomfort is a bit of a nuisance, but not too bad, the dry skin on my feet is gettin a bit too much to handle, its moderate, not excruciating, but annoyin, and as for my bowels, well, theyre bein a bit too free, never seemin to be constipated, but that's a good thing, right? and my heart, oh my heart, its palpitations are a bit of a mystery, I'd rather not talk about it, and as for its severity, well, I'm not sure I'm willin to rate it, lets just say its not somethin I'd like to dwell on, so, all in all, my shos are feelin a bit out of sorts, if you know what I mean.""","['Numbness & tingling', 'Skin dryness', 'Diarrhea', 'Heart palpitations']",
"""I'm experiencing nail loss, and to be honest, I'm not entirely sure what's going on, but I've noticed that some of my nails are missing, and it's been happening for a while now, and I'm not sure if it's related to anything else, but it's definitely there, yes, the nails are just gone, and it's a bit unsettling, I suppose.""",['Nail loss'],
"""My poor feet are sufferin from sever hand-foot syndrom, with redness on the palms and soles, peeling skin like dead leaves, cracking like dry riverbeds, pain like a thousand tiny knives, swelling like bloated balloons, itching like a swarm of angry bees, burning like fire on wet wood, blistering like a summer storm, dryness like the Sahara desert, and aching like a heavy heart.""","['Hand-foot syndrome (a rash of the hands and feet that can cause cracking, peeling, redness or pain)']",
"""I'm afwaid I've got a bit of a mystic affliction, with a urine that's turn'd a mystikal shade, yet no floaters in my peepers, if you can beleev it!""","['Change in usual urine color', 'Visual floaters']",
"""I've been experiencing some issues, like pain during sex, but it's not like it's a huge problem or anything, and I've also been noticing that my memory isn't as sharp as it used to be, but it's not super bad, I guess.""","['Pain with sexual intercourse', 'Memory']",
"""I am experincing Vomiting which occures Rarely, yet when it does, the sympthoms are extremly Severe, I am vomitng with great force and frequeintly loose a considderable ammount of food and water.""",['Vomiting'],
"""I've been experinencin irregular periods and vaginal bleeding, and havent been feelin like havin sex lately, its been kinda severe, like i dont no if i wanna do it or not.""","['Irregular periods/vaginal bleeding', 'Decreased libido']",
"""I'm experiencing a bit of urinary incontinence that's interfering with my daily activities, but I'm hesitant to discuss its frequency.""",['Urinary incontinence'],
"""I am presently experiencing considerable distress, as my respiratory system is being significantly hindered, resulting in somewhat pronounced shortness of breath that noticeably impairs my ability to engage in daily activities, coupled with a very severe radiation skin reaction that is causing me considerable discomfort and necessitating diligent care to mitigate its severity.""","['Shortness of breath', 'Radiation skin reaction']",
"""I am experiencing a rather perplexing condition, wherein my skin appears to be undergoing a most distressing transformation, manifesting as severe acne, which I daresay is causing me considerable discomfort, coupled with an inexplicable sensitivity to sunlight, although I must confess that I am somewhat hesitant to elaborate on the latter, as it pertains to my propensity to avoid exposure to the sun's rays, but I shall endeavour to describe it thus: my skin, when subjected to even the most fleeting encounter with solar radiation, appears to react with an intensity that borders on the extreme, as if my very pores are protesting the presence of the sun's ultraviolet light, which I suspect may be the root cause of this affliction, but I digress, for I am still grappling with the nuances of this condition, and I implore you, dear physician, to offer your expertise in deciphering the mysteries that surround my present state of health.""","['Sensitivity to sunlight', 'Acne']",
"""Disquieting Interferences with Daily Routines, Constantly Present, without any discernible Disruption; Photophobia, an Unwelcome Sensitivity to Solar Radiation; and Visual Anomalies, a Persistent Presence of Floaters, Dancing across the Visual Field.""","['Anxious', 'Sensitivity to sunlight', 'Visual floaters']",
"""My skin feels super dry and tight, like its been put in the oven too long, and i'm always feelin super tired, even after just a short walk, but the fatigue thing is kinda weird cuz i can still do my daily stuff, just dont wanna do anything extra, and sometimes i get this weird bloated feeling in my stomach, but its not that common, and honestly, i dont wanna talk about my nails right now""","['Skin dryness', 'Fatigue', 'Bloating', 'Nail discoloration']",
