Dialogue,True_Symptom,Extracted_Symptom
"""I've developed painful and tender areas on my skin due to prolonged immobility, which are red and inflamed.""",['Bed/pressure sores'],
"""My symptoms seem to be quite varied, but if I had to narrow it down, I'd say my body feels like it's been put through a tough workout – my mouth and throat are pretty much on fire, my chest is burning like I've been eating too many spicy foods, and oddly enough, I don't seem to be bothered by the sun, but that's a whole other story.""","['Mouth/throat sores', 'Heartburn', 'Sensitivity to sunlight']",
"""Constant Vomiting, Severe Gagging, Repeated Heaving, Persistent Dizziness, Overwhelming Discomfort, Frequent Regurgitation, Miserable Cloying, Unending Queasiness.""",['Nausea'],
"""I am experiencing considerable difficulty with my memory, as it appears to be interfered with to a very great extent, manifesting in mild disruptions to my daily activities, whereas concurrently, I am suffering from frequent episodes of heartburn, which, although not particularly severe, are nonetheless causing me a moderate degree of discomfort.""","['Memory', 'Heartburn']",
"""My symptoms are somewhat unusual, I occasionally experience a sudden and uninvited ejaculation, which happens rarely, but I'm more concerned about the swelling in my limbs, which doesn't occur frequently, but when it does, it's quite bothersome and affects my daily routine, and it's not severe, but still noticeable, and then there's the nausea, which is a rare occurrence, but when it does happen, it's extremely unpleasant.""","['Ejaculation', 'Swelling (arms or legs)', 'Nausea']",
"""Oh dear heavens, I'm afflicted with a most distressing malady, wherein my very own shoes seem to be plagued by a moderate stench, akin to a fetid swamp, that doth emanate from my feet, and doth assail my nostrils with a most grievous assault, and, if that weren't enough, I'm beset by an occasional, moderate heartburn, that doth gnaw at my belly like a ravenous beast, and, I dare not even mention the horror, that my feet are spared the torment of hives, for I am a fortunate soul, in this, my darkest hour.""","['Body odor', 'Heartburn', 'Hives']",
"""My skin's turned all dark and stuff, like I've been out in the sun too long, but I don't know, maybe it's just my imagination, also I feel super puffy, like I've been eating too much, almost all the time, not just sometimes, and it's not just a little bit, it's moderate, you know, like I can still move around, but not super comfortable, and to top it all off, I've been going to the bathroom like, what, once a week? It's like my insides are all clogged up, super severely, I mean, I've been trying to go, but it just won't happen, like my body's just not cooperating.""","['Skin darkening', 'Bloating', 'Constipation']",
"""Alas, my ardor waxes and wanes like a tempestuous sea, beset by an unyielding veil of secrecy, where the tender threads of my masculine vigor are shrouded in an impenetrable mist.""",['Achieve and maintain erection'],
"""Listen up, doc, I'm a mess, got stretch marks all over the place like I've been dragged behind a bloody chariot, my appetite's gone down the drain, I'm not even hungry enough to bother eating, and don't even get me started on the sunlight, I'd rather not answer that question, but let's just say I'm as sensitive to it as a bloody vampire in a solarium.""","['Stretch marks', 'Decreased appetite', 'Sensitivity to sunlight']",
"""My condition, which I have taken the liberty of describing as a rather distressing state of affairs, presents with mild memory interference, moderate diminishment of libido, severe insomnia, and rare yet moderately severe hot flashes.""","['Memory', 'Decreased libido', 'Insomnia', 'Hot flashes']",
