Dialogue,True_Symptom,Extracted_Symptom
"""I'm experinng these ridiculus sympoms, my bladder is acting up, I'm urinatin way to much, its interfiering NOT at all with my daily activites, like I have time to go to the bathroom, I'm gettin like 5 minutes of sleep at nite due to insomnia, its interfiering A little bit with my daily activites, I'm feelin like a zombie, my stomach is churnin Almost constantly and the sympom is Severe, I feel like I'm gonna puke, and dont even get me started on the vaginal discharge, its AMOUNT is Very much, I'm talkin a flood, its like I'm leakin all day, I'm so sick of these sympoms.""","['Urinary frequency', 'Insomnia', 'Nausea', 'Vaginal discharge']","Abdominal pain, Diarrhea, Vaginal discharge"
"""I be feelin' kinda drained, like me batteries be runnin' low, and I be gettin' a little tired, y'know, not too much, just a wee bit, like me daily activities be interferin' with each other, but I don't rightly know how to put me finger on it, 'cause it ain't like I be doin' nothin' at all, just a bit of this and that, but it be gettin' to the point where I be feelin' like I be stuck in the mud, ya hear me?""",['Fatigue'],
"""I am experiencing an overwhelming level of interference with my daily activities due to my concentration difficulties, which are manifesting as very severe impairments in my ability to focus and mentally process information, rendering it extremely challenging for me to complete even the simplest of tasks.""",['Concentration'],"Concentration difficulties, Severe impairments in ability to focus, Impairments in ability to mentally process information"
"""I'm currently experiencing mild joint pain that affects my daily activities quite a bit, as well as some skin darkening, which I'm not feeling comfortable discussing further.""","['Skin darkening', 'Joint pain']",Joint pain
"""My poor feet are tormented by the cruel whims of fate, for I can scarce walk without Vomiting up the bitter taste of my own vomit, my mind a muddle of Concentration, unable to grasp the simplest of thoughts, my Nail loss a constant reminder of my fragility, and my toes a battleground of Numbness & tingling, as if the very life force is being drained from them, leaving me to writhe in agony.""","['Vomiting', 'Concentration', 'Nail loss', 'Numbness & tingling']","Vomiting, Concentration, Nail loss, Numbness & tingling"
"""Uh, I think I'm experiencing some weird stuff, like I'm sweating a lot, you know, frequently, but I don't know if it's a big deal or not, and I'm also feeling super tired, to the point where it's somewhat interfering with my daily activities, but it's not like I'm bedridden or anything, it's just a mild fatigue thing, but still, I'm pretty confused about what's going on.""","['Increased sweating', 'Fatigue']","Sweating, Tiredness"
"""My shoes are quite a bit interfered with by my anxious state, which occurs almost constantly, making it difficult for me to walk, run, or even stand still, as my mind is constantly preoccupied with worrisome thoughts and feelings, and I'm unable to gauge the severity of these emotions.""",['Anxious'],"Cracking at the corners of the mouth (cheilosis/cheilitis), Dry Mouth"
"""A perpetual, yet trifling, trickle of crimson, an affront to my refined sensibilities.""",['Nosebleed'],
"""I've got this blasted condition where I'm gettin' a moderate racket in me bloody ears, like a thousand tin cans clatterin' together, and to top it off, I'm gettin' these moderate chills that I'm not even gonna bother tellin' ya the frequency of, 'cause it's just too darn infuriatin'!""","['Ringing in ears', 'Chills']","Coughing, Shortness of breath"
"""My skin, a damp canvas, beset by ceaseless droplets, a mild torment that gnaws at me, a constant reminder of my bodily ire.""",['Increased sweating'],Skin dryness
"""I'm experiencing a mild disturbance in my balance, which is causing a slight impairment in my daily routine, but it's not severe enough to hinder my ability to perform tasks; additionally, I've noticed a change in the color of my urine, which is now a different hue than what I'm used to, indicating an alteration in my body's normal functioning.""","['Dizziness', 'Change in usual urine color']","Decreased sweating, Mild disturbance in balance"
"""I be havin' a right ol' kerfuffle with me nails, mate, they be turnin' a lovely shade of brown, like someone's poured a bucket o' tea into 'em, and it be startin' at the tips, workin' its way down to the cuticles, a bit like a brown stain on me favourite ale mug, but, alas, it be me own two feet doin' the sufferin'!""",['Nail discoloration'],Brown nails
"""Headaches, Dizziness, Confusion, Irritability, Mood Swings, Forgetfullness, Difficulty with Daily Activities, Interuptions in Thoughts.""",['Concentration'],"Dizziness, Headaches"
"""I have experienced a missed expected menstrual period, which is characterized by the absence of menstruation at a time when it was expected, typically indicating a potential issue with ovulation or hormonal imbalances, prompting further investigation into the underlying cause.""",['Missed expected menstrual period'],Missed expected menstrual period
"""My day is all messed up cuz I cant even eat nothin without feelin like I'm gonna pass out from dizziness, its like my brain is spinnin and I'm stuck to the couch, and dont even get me started on the smell, I dont know whats goin on with my body but its like I havent showered in weeks, and to top it all off I got this naggin headache thats like, moderate or somethin, but I dont wanna say how often it happens cuz thats just too much info, anyway its been botherin me quite a bit and I just wanna lay down and forget about everythin.""","['Decreased appetite', 'Dizziness', 'Body odor', 'Headache']","Dizziness, Headache"
"""My lovely doc, I'm experiening some rather pesky sympthoms, if you dont mind me sayin so, my voice has been goin through some changes, like it's lost its sweet melody, and, well, I must confess, intimacy has been a mite uncomfortable, with a teensy bit of pain, but nothing too severe, just a gentle reminder, you might say, to take it easy, but I'm hopin we can sort these things out, and I'll be singin like a canary in no time!""","['Voice quality changes', 'Pain with sexual intercourse']",
"""I've been experiencing some discomfort, with occasional feelings of sadness that don't significantly interfere with my daily routine, but I do have severe general pain that impacts my daily activities somewhat.""","['Sad', 'General pain']",Severe general pain
"""I have been experiencing a multifaceted set of symptoms, which include a noticeable change in the colour of my urine, although I have chosen not to provide further details on this particular aspect; concurrently, I have been experiencing quite a bit of interference in my daily activities due to painful sores in my mouth and throat, which have not been deemed applicable for a severity assessment; additionally, I have been experiencing a mild decrease in my libido; and, most notably, I have been experiencing irregular periods and vaginal bleeding, which I have confirmed to be present.""","['Change in usual urine color', 'Mouth/throat sores', 'Decreased libido', 'Irregular periods/vaginal bleeding']","Decreased libido, Irregular periods/vaginal bleeding"
"""Me shoes got a bad case of the vapors, they're swellin' like a couple of bloated whores, all tender and whatnot, and they're hiccupin' like a drunkard on a Tuesday, the hiccups are so bad they're makin' my whole body wanna puke, and on top of all that, they're breakin' out in a nasty rash like a bunch of red, itchy boils, so yeah, my shoes are a real mess, if you know what I mean.""","['Breast swelling and tenderness', 'Hiccups', 'Hives']","Coughing, Shortness of breath, Rash, Hiccups"
"""My vagina is dry and it's really annoyin, it's not that bad, just moderatly dry, not like completly parched or anythin.""",['Vaginal dryness'],Vaginal dryness
"""I'm dyin' here with this blasted skin condition, got a nasty rash all over my body, and don't even get me started on my mouth, it's like the whole of my lower lip's been torn to shreds with these blasted cracks at the corners, it's a right proper mess, and I'm tellin' ye, it's been goin' on for weeks now, and the doc's been doin' nothin' but makin' me feel like a right plonker, with their fancy diagnoses and whatnot, so I'm startin' to think I'm the only one who's got a clue around here, so get me a decent treatment, pronto!""","['Rash', 'Cracking at the corners of the mouth (cheilosis/cheilitis)']",Cracking at the corners of the mouth (cheilosis/cheilitis)
"""I've got severe skin issues with acne and my sex drive's pretty much non-existent.""","['Acne', 'Decreased libido']","Acne, Decreased libido"
"""Interference with daily activities, Inexplicable body aroma, Unremarkable skin tone.""","['Urinary frequency', 'Body odor', 'Skin darkening']","Interference with daily activities, Inexplicable body aroma, Unremarkable skin tone"
"""I've been noticin that I've got a mild case of bad breathe, it's like my pits are doin a little dance, they're not completly stinkin me out, but I can defently smell somethin funny, it's like a mix of sweat and old socks, not too overpowerin, just a lil bit unpleasant, so I'd say it's a 6 out of 10 on the stench meter, dont wanna be too harsh, but I'm not gonna win any awards for bein fresh either.""",['Body odor'],Cracking at the corners of the mouth (cheilosis/cheilitis)
"""I've been experinencin' some pretty annoyin' symptoms lately, like urinary incontinence thats affectin me quite a bit in my daily activites, it happins almost constantley, and my voice is gettin kinda raspy too, its hoarsness is pretty mild but its ther, and its makin it kinda hard to talk or even yell without soundin like a frog!""","['Urinary incontinence', 'Hoarseness']","Urinary incontinence, Hoarseness"
"""I'm havin a real tyme with my bodi, I cant stop coughin like crazy and its makin it hard to do anythin, and on top of that I've been constipated for days, its like my insides are stuck or somethin, the pain is verry severe and I dont no what to do!""","['Coughing', 'Constipation']","Coughing, Constipation"
"""I've got very severe acne, with lots of red and inflamed bumps all over my face.""",['Acne'],Acne
"""Argh, I've got this bloody Fecal incontinence thing goin' on where I'm shittin' myself a little bit, but only when I'm doin' stuff, not all the time, and it's never happenin' at random.""",['Fecal incontinence'],Fecal incontinence
"""My shoes are plagued by Memory's dark interference, 
Increased sweating's relentless frequency, 
Anxious whispers of mild unease.""","['Memory', 'Increased sweating', 'Anxious']","Increased sweating, Anxious"
