Dialogue,True_Symptom,Extracted_Symptom
"""O, wretched form I'm bound to, my shoes are afflicted with Swellings of the limbs, that most vile and detestable Interference with my daily activites, as if the very flesh beneath their soles was inflamed, and my poor feet are plagued with a Hand-foot syndrome, a most distressing rash, with cracking, peeling, redness, and pain, a Moderate affliction, I confess, but one that doth make me writhe in agony, and my stomach, a rebellious vessel, doth Rarely revolt, with Vomiting of a Mild sort, a trifling complaint, I dare say, but one that doth vex me sorely, oh, woe is me, and my shoes, that suffer thus!""","['Swelling (arms or legs)', 'Vomiting', 'Hand-foot syndrome (a rash of the hands and feet that can cause cracking, peeling, redness or pain)']",Swelling (arms or legs)
"""I'm having crazy insomnia that's really messing with my daily life, my nails just fell off for some reason, I'm sweating like a pig all the time, and my pee is a weird color.""","['Insomnia', 'Nail loss', 'Increased sweating', 'Change in usual urine color']","Nail loss, Increased sweating, Change in usual urine color"
"""Unable to have orgasm: complete lack of sexual desire, persistent inability to achieve arousal, chronic lack of orgasmic sensation, recurrent inability to climax, frequent lack of sexual pleasure, persistent sexual dysfunction, complete absence of orgasmic experience, recurrent inability to reach orgasm, chronic lack of orgasmic response, persistent inability to experience orgasm, frequent lack of sexual satisfaction.""",['Unable to have orgasm'],"Unable to have orgasm, Skin dryness"
"""My shoes are experiencing constant interference with daily wear, causing significant distress almost every time I put them on, to the point where it's extremely difficult to ignore the very severe emotional pain they're causing.""",['Sad'],
"""My mind is a tranquil lake, unruffled by the gentle whispers of pain, for the headache that threatens to beset me is a phantom, a specter that haunts not, a gentle breeze that stirs not, a whispered promise that remains unfulfilled.""",['Headache'],
"""Are you kidding me, I'm supposed to fill out a form about my 'achieving and maintaining an erection' and it's supposedly none, like I'm not even bothered, but honestly it's just fine, but what's really going on is my body's just chillin' about it, but then there's this other thing, 'increased sweating', which is actually moderate, like I'm always drenched, but never, and I mean never, does it happen, it's like my body's just confused, sweating like crazy but only sometimes, and I'm just sitting here, sweating away, while my erection is just a non-issue, yeah right.""","['Achieve and maintain erection', 'Increased sweating']","Nail ridging, Decreased appetite, Vaginal discharge, Decreased sweating"
"""My shoes are experiancing anxiety attacks, they cant stop interferin with my daily activites, its happin almost constintly and its gettin pretty bad.""",['Anxious'],Anxious
"""Flatulence, Vocal Cord Disruptions, Irregular Heartbeats, Mild Chest Discomfort.""","['Gas', 'Voice quality changes', 'Heart palpitations']",
"""As I wander through the labyrinth of my days, I find myself beset by the trifling but insistent demands of a bladder that whispers 'hurry, dear friend, for the call of nature beckons with increasing frequency, a rare and unwelcome guest that interrupts the gentle flow of my daily activities with its insistent knock, a reminder that my body's rhythms are out of harmony with my own.""","['Urinary frequency', 'Insomnia', 'Nail ridging']",Urinary frequency
"""I'm experiencing severe mouth/throat sores that interfere with my daily activities, painful bed/pressure sores that I have, and general pain that affects me quite a bit, but I'm also noticing some breast swelling and tenderness, though it's not particularly severe.""","['Mouth/throat sores', 'Bed/pressure sores', 'General pain', 'Breast swelling and tenderness']","Breast swelling and tenderness, Bed/pressure sores, General pain"
"""Got a bit of a weird one goin' on, doc, my urine's lookin' normal, but I'm coughin' so bad it's interferin' with my daily activities somethin' fierce, but it's not too severe.""","['Change in usual urine color', 'Coughing']",
"""Stretch marks - Disfiguring scars all over my bloody body, Coughing - Constantly hacking up a lung, can't even walk down the street without wheezing like a dying cat, Ringing in ears - Don't even get me started, my ears are bloody screaming in my head, Hair loss - Balding like a prune, my scalp's as smooth as a bloody cue ball, I'm a walking disaster, what's next, a bloody tumor?""","['Stretch marks', 'Coughing', 'Ringing in ears', 'Hair loss']","Coughing, Hair loss, Ringing in ears"
"""My head feels like it's been put in a vise, the pain is extremly severe and comes out of nowhere occasinally, it's like a big hammer hiting me on the forehed, it's very dificult for me to perfom daily activites because of it.""",['Headache'],Headache
"""Anger and Frustration, Irregular Body Cycles, Disrupted Routine, Weight Gain, Mood Swings, Breast Tenderness, Bloating, Fatigue, Dizziness, Insomnia, Anxiety, and a Sense of Doom that my Period has Deserted me like a Faithless Lover.""",['Missed expected menstrual period'],"Breast Tenderness, Mood Swings, Bloating, Fatigue, Dizziness"
"""I am experiencing an extremely troublesome condition wherein my ability to ingest sustenance is significantly impaired, manifesting as a very severe and distressing difficulty in swallowing, which is causing me considerable discomfort and perturbation, particularly when attempting to consume solid or semi-solid foodstuffs.""",['Difficulty Swallowing'],Difficulty Swallowing
"""Ugh, my poor bladder's been acting up big time, I'm literally running to the loo every hour or so, it's super annoying and honestly, it's really cramping my style, I mean, I'm missing out on a lot of stuff 'cause I'm always trying to find a bathroom, it's super inconvenient and I'm feeling really frustrated about it!""",['Urinary frequency'],Urinary frequency
