,Dialogue,True_Symptom,Extracted_Symptom
0,"""My tortured form, a canvas of unrelenting rage, now festers with an unanswerable rash, as the very air I breathe is wrested from me by the merciless grip of severe, yet nonexistent hiccups.""","['Hives', 'Hiccups']",Hiccups
1,"""Disembodied Pleasures, Unannounced Bowel Movements, Subtle Sonic Interludes: Rare and unheralded ejaculations, untroubling yet uninvited fecal incontinence that neither hinders nor helps, mild and unobtrusive ringing in the ears.""","['Ejaculation', 'Fecal incontinence', 'Ringing in ears']",Fecal incontinence
2,"""I'm experiencing watery eyes that severely interfere with my daily activities, making it extremely frustrating and difficult to perform even the simplest tasks without feeling like I'm constantly on the verge of tearing up.""",['Watery eyes'],Watery eyes
3,"""Alas, my pitiful bladder doth betray me, releasin' its waters with a frequency most unbecomin', a rare occurence indeed, yet causin' me such distress, it doth interfere with my daily pursuits, leavin' me in a state of utter discomfort, a true calamity, if I do say so myself.""",['Urinary incontinence'],Fecal incontinence
4,"""Looks like I've got some weird stuff goin' on - my taste buds are all like'meh' now, moderate pain level, and don't even get me started on the whole 'pleasure' department, let's just say I'm a bit of a 'no comment' on that one.""","['Taste Changes', 'Unable to have orgasm']",Taste Changes
5,"""Interference with daily activities, can't even remember what a productive day is, Frequency: don't wanna talk about it, Severity: a big fat zero.""",['Anxious'],Fatigue
6,"""My shoes seem to be experiencing a rather signifigant amount of fatique, which is quite noticible as it interfers with my daily activites to a considerable extint, although the severity of this issue appears to be absolutly none, and it's only a minor inconvenience, really.""",['Fatigue'],"Hand-foot syndrome (a rash of the hands and feet that can cause cracking, peeling, redness or pain)"
7,"""Interference with daily activities, Unknown frequency, No severity.""",['Muscle pain'],Abdominal pain
8,"""I'm experiencing some discomfort with dry mouth, but I'm not sure how to rate its severity since it's not really bothering me at the moment; however, I do have a severe radiation skin reaction, characterized by redness, itchiness, and a burning sensation on my skin, particularly in the areas that were exposed to radiation during my treatment, which has made my skin feel tight and tender to the touch, and it's been quite painful, especially when I'm moving or putting on clothing that comes into contact with the affected areas.""","['Dry Mouth', 'Radiation skin reaction']","Dry Mouth, Radiation skin reaction"
9,"""My left shoe's got a numb toe that's all tingly, can't even walk without it gettin' in the way, and my right shoe's got a dry sole that's as useful as a one-legged stool, and my back shoe's got crap all over it, I'm literally shittin' myself whenever I take a step.""","['Numbness & tingling', 'Vaginal dryness', 'Fecal incontinence']","Hand-foot syndrome (a rash of the hands and feet that can cause cracking, peeling, redness or pain)"
10,"""My memory is severely disrupted, interfering with daily activities to the point where I'm struggling to recall even the simplest tasks.""",['Memory'],Memory loss
11,"""Here's whats rong with me: Ridged Nails, Crampy Hands, Tinglin Sensation in Fingers, Redness and Swellin arond Nail Beds, Painful Nail Growt, Brittle Nails, Numbness in Fingers, Nail Breakage, Discolored Nails, Skin Lesions arond Nail Beds.""",['Nail ridging'],"Nail discoloration, Nail ridging, Brittle Nails, Nail Breakage"
