Dialogue,True_Symptom,Extracted_Symptom
"""I'm experiencing severe muscle pain that interferes somewhat with my daily activities, occurring frequently, and it's really debilitating, making it hard for me to do even the simplest tasks without feeling like I'm walking on eggshells, my muscles ache all the time, and I'm not sure what's causing it, but it's affecting my quality of life.""",Muscle pain,
"""Somewhat frequent mild general pain that's occasionally bothering me, making it somewhat hard to do daily activities.""",General pain,
"""I be havin alot of hedaches, they ar really bad, they ar comin frequently and ar makin it very dificult for me to do anythin, like goin to work or seein my friends, its like my hed is poundin all day, i dont no how to desrcibe the sevirity, lets just say its pretty bad, i cant even rememba what its like to hav a hedache free day, its like my hed is always poundin, i be takin alot of meds but they arnt helpin much, its like my hed is sayin 'no, you cant have a good day, you gotta suffer'"".",Headache,
"""My shoes feel kinda hevy and rustrated all the time, makin it kinda hard to do stuff, and its like they're in alot of pain.""",Sad,
"""My feet feel kinda heavy, like I'm stuck in the mud, and I'm always worried I'll trip and fall, but, honestly, it's not like I'm in constant pain or anything, it's just this nagging fear that's always there, you know?""",Discouraged,
"""My shoes are experiancing: Muscles in the soles and heels are aching Somewhat when I walk or stand, but it's not a consitent sympthom and happens Rarely, the pain is not very severe and does not interfear with my daily activites, the pain is not especaily noticable when I am sitting or resting.""",Muscle pain,
"""As I meander through the labyrinth of my days, my melancholy muse whispers sweet nothings, occasionally interrupting my morning strolls with a gentle, yet persistent, sigh, a mild lament that very much interferes with my daily ballet, a delicate dance of duties and delights.""",Sad,confidence
"""Sometimes my belly hurts a bit, but it's not super often and it's not that bad, I can still do stuff.""",Abdominal pain,
"""My feet and legs hurt alot, makes me walk slower, i dont want to talk about how often it happens, its not that bad, but its there.""",General pain,
"""Uh, I think I'm gettin' this right, but my tummy's been killin' me, like, almost all the time, even when I'm doin' everyday stuff, it's a real pain, can't even think about how bad it is, but it's been stoppin' me from doin' things I need to do, so yeah, it's quite a bit, I guess.""",Abdominal pain,
"""Inability to attain or sustaine erection, Intermittent or complete loss of erection, Difficulty in maintaning erection during sexual activity, Delayed or absent sexual arousal, Decreased libido, Erectile dysfunction, Inability to achieve or maintain a satisfactory sexual performance, Inability to achieve or maintain an erection sufficient for sexual intercourse.""",Achieve and maintain erection,
"""The mild muscle pain occasionally interferes with my daily activities, but it is not a persistent issue.""",Muscle pain,
"""Constant muscle cramps that ruin my daily life, extremely painful muscle spasms that occur almost every hour, inability to even move without excruciating pain, muscle stiffness that lasts for days, muscle weakness that makes me feel like a frail old man, muscle fatigue that leaves me breathless, muscle inflammation that makes my skin look like I'm allergic to everything, muscle soreness that makes me want to scream in agony, muscle strain that's so bad I can barely walk, muscle tension that's like a constant knife stabbing me, muscle pain that's so severe it's like someone's pouring acid all over my muscles, muscle aches that make me want to crawl under a rock and hide, muscle tenderness that's like touching a raw nerve, muscle bruising that makes me look like I got into a fight, muscle swelling that's like my muscles are about to burst.""",Muscle pain,
"""Apparently, my shoes are experiencing occasional bouts of bloating, which isn't really a big deal since it's not happening often, and when it does, it's not even slightly bothersome.""",Bloating,
"""As my beleaguered belly churns with a tempest of torment, a maelstrom of very severe anguish besets me with uncommon rarity, yet an unyielding presence that refuses to be swayed by the mundane rhythms of daily life, whereupon I find myself ensnared, a captive to the whims of my errant gut, which howls in protest with a voice that is at once a gentle breeze and a hurricane, leaving me bewildered and lost in a labyrinth of abdominal pain.""",Abdominal pain,
"""A severe specter of blurred vision haunts me, its impact negligible, yet its presence unyielding.""",Blurred vision,
"""One would think that a simple bladder would be capable of functioning without the incessant interruptions, but alas, mine seems to be an obstinate and inconsiderate organ, beset by the indignity of almost constant urinary frequency, which, I dare say, severely interferes with my daily activities.""",Urinary frequency,
"""I'm feelin' so down, can't do nothin', don't wanna do nothin', it's like I'm stuck in the mud, I'm not feelin' nothin' most of the time, but when I do, it's like my whole world is crumblin' down.""",Sad,
"""O, woe is me, my joints in torment throng, quite frequently, severely, and in daily strife, my steps, a painful, woeful, woebegone song.""",Joint pain,
"""My arms and legs are swollen, but honestly, it's not like it's completely debilitating or anything, it's just a minor inconvenience, but I'd rather not get into the specifics about how often it happens.""",Swelling (arms or legs),
"""My arms and legs are swollen, it's really interfering with my daily activities, it's happening a lot and I'm getting pretty frustrated.""",Swelling (arms or legs),
"""I must confess that the affliction plaguing my limbs is an excruciatingly debilitating condition, wherein my muscles, much like a pair of worn and tattered shoes, are subjected to an intermittent yet insidious assault, manifesting as a moderate degree of distress that occasionally impinges upon my daily activities, thereby rendering me quite incapable of proceeding with the same degree of élan that I once possessed, a state of affairs that I daresay is a trifle distressing.""",Muscle pain,
"""My poor soul is a shoddy shoe, with anxiousness that doth afflict me quite alot, almost constatly, with a severity that's sever, its interference with daily activites being quite a bit, a heavy burden that doth weigh me down, making it dificult to lace up my thoughts, and untie the knots of worry that bind me, a shoe that's sole is worn, and its laces are frayed, a shoe that's sole is aching, with a pain that's sever, a shoe that's sole is aching, with a pain that's almost constatly, quite a bit.""",Anxious,
"""I havnt notisd eni ther occashunal hot flashes, ther not verry serius or eni thing, just a littel warmness in my bodi.""",Hot flashes,confidence
"""Misgivin' bruises, they just appear outta nowhere, like some sorta omen, makin' me wonder what's comin' next.""",Bruising,
"""Me belly's been actin' up somethin' fierce, hurtin' like the dickens, and I'm havin' a right proper time gettin' around, 'cause it's killin' me to do anything, not to mention it's happenin' a lot, and it's downright brutal, I kid you not.""",Abdominal pain,
"""General pain, Mild, Never, Very much, Interferes with daily activities.""",General pain,
"""Interference with daily activities, like doin' my job, or even watchin' TV, is a real pain, and I'd rather not talk about how often it's happenin', but it's a real hassle, and it's not like it's killin' me or anythin'.""",Sad,
"""I am experiancing a rather peculier condition where I find my self struggaling to catch my breath, especaily when I am engagd in strenuous activites, or even sometimes when I am just sittin in a quiet room, my lungs seem to be workin overtime to provide me with sufficient oxyjen, resultin in a rather discomforting sensation of being unable to get enuf air, it's a very severe affliction that interfeeres with my daily activites, not in the sence that it stops me from doin things, but more in the sence that I am constantly aware of it, and it's a bit of a nuisance to be honest.""",Shortness of breath,
"""Me heart's a-racin' away like a wild beast, it's palpitations be comin' on me frequently, like a naggin' conscience, but they ain't too bad, just a mild discomfort, like a pesky fly buzzin' 'round me ears.""",Heart palpitations,
"""A gentle ache within my belly, a constant companion that whispers its presence almost without cease.""",Abdominal pain,
"""My shoes feel kinda down, like they're stuck in the mud, but they never get to go out, and I don't wanna talk about how bad they're feeling.""",Discouraged,
"""I'm experiencing some mild interference with my daily activities, but it's not a major issue and happens very rarely, and to be honest, I don't really feel any discomfort at all.""",Discouraged,
"""Me shoes r hurtin almost all the time, cant even walk a block without me legs achin like a couple of old womens, its a mild pain, but its ther all the time, makin it hard for me to do anything, even takin a crap is a chore, so yeah, its a bit of a problem.""",Muscle pain,
"""Occasional Mild Abdominal Pain, with Interference in Daily Activities, accompanied by Mild Discomfort, a gentle Reminder of its Presence, with no other notable Symptoms.""",Abdominal pain,
"""Intermittent and mild discomfort, unspecified occurrence, absence of distress.""",Headache,
"""I am experiencing considerable distress due to my watery eyes, which significantly impede my daily routine.""",Watery eyes,
"""My appetite's been playin' hooky, makin' it hard to do stuff, and it's been really cranky, if ya know what I mean.""",Decreased appetite,
"""Alas, my beleaguered footwear, it appeares you are sufferin from an affliction of bloating, wherein you are frequently afflicted with an unbecomin expansion of your interiors, a condition which, I dare say, is most distressing, and, if I may be so bold, rather embarassing, but, I suppose, the severity thereof is a matter best left unspoken, a delicate subject, if you will, which I shall not deign to discuss further.""",Bloating,
"""Me shoes got a bad case of crampy gut, it hurts alot, i cant even walk a block without wincin like a sissy, it aches quite a bit, i get these pains frequently and theyre super duper sevre, i cant even do nothin without feelin like i got a knife stickin in me belly.""",Abdominal pain,
"""i've got swelling in my legs and arms, it's a real pain in the butt, cant do nothing without gettin moderate pain and it's really interferin with my daily activites, like wakin up, walkin, and even eatin, its a real hassle, dont no whats causin it, doc.""",Swelling (arms or legs),
"""General Pain: 
1. Soreness and Discomfort in the entire body, 
2. Limited Mobility and Inability to Perform Daily Tasks, 
3. Frequent Episodes of Severe Pain, 
4. Difficulty in Concentrating and Engaging in Activities, 
5. Pain that is Persistent and Unrelenting, 
6. Interference with Routine Activities such as Walking, Standing, and Sitting, 
7. Pain that is Worsened by Movement and Relieved by Rest, 
8. General Feeling of Malaise and Unwellness, 
9. Difficulty in Sleeping due to Pain, 
10. Anxiety and Frustration due to Inability to Engage in Daily Activities.""",General pain,
"""The perposterous ache in my cranium is absolutly irrisistible, it's an obstinate thorn in my side, refusing to be ignored, yet it's a trifling inconvenience, barely warranting a mention, and I dare say, not at all a bother, if one is to be pedantic about such things, but I suppose, if one were to be utterly pedantic, one could say it's a mild, yet annoying, distraction, a mere trifle, really, not worth bothering oneself with, but, alas, I find myself, for some inexplicable reason, compelled to mention it, despite its utter insignificance.""",Headache,
"""My arms and legs are super swollen, it's like they're gonna burst or something, it's really bad, I can barely move 'em, it happens super rarely, but when it does, it's like, the worst swelling ever, it's so severe I can barely do anything, I'm getting really scared.""",Swelling (arms or legs),
"""I am experiencing a slight, yet utterly infuriating, episode of abdominal pain that has made a negligible impact on my daily activities, occurring infrequently and of minimal severity.""",Abdominal pain,
"""I do hope you're paying attention, my dear doctor, as I'm experiencing somewhat of an inconvenience, with my muscle pain manifesting itself only occasionally, but I dare say, it's quite a nuisance, really.""",Muscle pain,
"""Increased discomfort and distress while engaging in daily routines, moderate intensity of pain experienced, and a moderate level of impairment in overall well-being.""",Abdominal pain,
"""I'm experiancing feelings of Discouraged, like: I dont want to get out of bed, I'm losin interest in activities I used to enjoy, I feel like I'm walkin through mud, I'm havin trouble focussing, I'm feelin anxious and irritable, I'm thinkin about the past and worrying about the future, I'm feelin hopeless and helpless, I'm havin trouble sleeping, I'm feelin like I'm losin control, I'm thinkin about death and dying.""",Discouraged,
"""My shoes are feelin quite a bit down, they get discouraged pretty offten, but its not that bad, they dont feel like they cant handle stuff.""",Discouraged,
"""I experiance Hot Flashes almost constantly, they dont realy have severiy but they ar extremly annoyin, they include Sweaty Palms, Rapid Heartbeat, Flushin Face, Heavy Breathing, Confusion, Irritabilty, Difficulty Concentrating.""",Hot flashes,confidence
"""In my befuddled state, my cranium, a vessel of woes, throbs with an occasional, yet annoying, headache, its interference with my daily rituals a trifling matter, a gentle whisper, a soft breeze that rustles the leaves of my consciousness, a gentle reminder that I am not entirely myself.""",Headache,
"""I'm kinda having these weird feelings when I'm out in the sun, like it's bothering my skin, but I don't wanna get into details, if you know what I mean.""",Sensitivity to sunlight,confidence
"""My poor foot is actuly experincing a considerable deal of genral pain, which is interfearing with my daily activites, especilly becuase it happends quite offten, I dare not think about how bad it might actuallly be.""",General pain,
"""I'm goin thru this crazy stuff where i gotta pee all the time but its not like its stopin me or anythin, i mean i can still do my daily activites no prob, but its just so annoyin havin to get up like 5 times a day to use the bathroom, its like my bladder's got a mind of its own!""",Urinary frequency,
"""Insomnia - Not getting enuf sleep at nite, Waking up alot, Not feeling rested in the mornin.""",Insomnia,
"""Discomforting Swelling in my Arms, with a gentle yet insistent Pressure, Mild yet Persistent Pain, and a slight yet noticeable Disproportion in their Size, all of which occur Almost constantly, and although they do not interfere with my daily activities, they instill a sense of Dread within me.""",Swelling (arms or legs),
"""I'm experiening alot of dificulties with my feet, they dont seem to be working rite, its like ther in the way alot.""",Discouraged,
"""I am experiencing a condition wherein my stomach churns with an almost constant and debilitating sense of nausea, a malady of very severe proportions that renders me utterly miserable and leaves me feeling as though I am perpetually on the precipice of vomiting, a state of being that is nothing short of unbearable.""",Nausea,
"""Right now, I'm feeling pretty down, like my shoes are stuck in the mud - I've got this mild case of discouragement that's been following me around, never really bothering me too much, but it's definitely making it a bit harder to get out of bed in the morning, and it's not really interfering with my daily activities, but it's like a constant companion that's always there, reminding me that things aren't as great as they used to be.""",Discouraged,
"""None of the aforementioned descriptions apply to me.""",General pain,
"""I've got anxiety that's always on my case, crampin' my style and makin' it hard to do nothin' most of the time, but it's not too bad, just a mild naggin' in the back of my head.""",Anxious,
"""I am presently experiencing considerable swelling in both my arms and legs, which is interfering with my daily activities a little bit, manifesting itself frequently, although the severity is not applicable to my current condition.""",Swelling (arms or legs),
"""My arms or legs feel a bit swollen, it's not too bad, but it's making it a little hard to do stuff, I don't wanna think about how often it's happening, but it's not hurting or anything, so I guess it's not that bad.""",Swelling (arms or legs),
"""I'm experiencing no issues with constipation, and my bowel movements are normal.""",Constipation,
"""Listen up, my so-called 'doctor', my shoes are a bloody mess, can't even get a wink of sleep without my brain bein' a constant nuisance, interferin' with every blasted thing I wanna do, can't even say it's severe, 'cause what's the point of gettin' all worked up over nothin'?""",Insomnia,
"""I've got this gnawing cramp in my abdomin thats not too bad, dont realy bother me alot, its not somethin i can do daily activites with, but its not like its killin me or anythin, its just a bit of a discomfort thats not too frekuent, but when it happins its like a sharp pain thats gone in a sec, but its not like its nothin, its somethin thats there, you no?""",Abdominal pain,
"""Me shoe's got a nasty case of swelling, mate - me arms and legs are bloated like a pair of soggy sausages, it's a right nuisance 'cause I can only do me daily activities a little bit, but it's a rare occurrence, thank the lord, but when it happens, it's bloody severe, like me foot's been sat on by a giant, so I gotta be careful not to overdo it, or I'll be cursin' me own luck!""",Swelling (arms or legs),
"""I seem to be experiencing quite a bit of severe joint pain, which occasionally interferes with my daily activities to a considerable extent.""",Joint pain,
"""Ah, the wretched shoe, a woeful victim of my cerebral turmoil, beset by a headache of moderate malevolence, a rare and fleeting affliction that barely impeded my daily whims, a mere whisper of discomfort, a gentle annoyance, a paltry perturbation, a minor martyrdom, a moderate martyr to the merciless march of time.""",Headache,
"""Ugh, my feet are killing me, I've got constant, super intense pain that's been messing with me nonstop, can't even walk without wanting to scream.""",General pain,
"""I don't really get heartburn that often, but when I do, it's pretty mild.""",Heartburn,
"""I'm kinda hurting all over, but it's not like I'm in agony or anything, it just comes up sometimes when I'm doing stuff.""",General pain,confidence
"""Alas, my peepers have becom somwhat befudled, like a misty morning's haze, that doth obscure the daily trails I trod, with blurred vision's gentle grasp, a nuisance somewhat, yet not a weight that's crushingly great.""",Blurred vision,
"""Frequently, my spirit is beset by a mild despair, which somewhat hinders my daily pursuits.""",Discouraged,confidence
"""My shoes are kinda worn out from walking around all the time, but they're still pretty good and don't bother me much.""",Discouraged,
"""I'm freezing my butt off, got the chills almost all the time, it's a real pain.""",Chills,
"""My hands and feet are basically on fire, I've got these super painful, cracked, and peeling rashes all over, it's like my skin is just shedding off, and I'm pretty sure I've got some redness going on too, it's really uncomfortable, honestly.""","Hand-foot syndrome (a rash of the hands and feet that can cause cracking, peeling, redness or pain)",
"""I've got mouth sores and throat sores that arent realy bothering me thats why i put none for severety, but they do make it a bit dificult to eat and talk.""",Mouth/throat sores,
"""Me shoes got wet arse, cant even go out wthout pissin all over em, its a bloody nightmare!!""",Urinary incontinence,
"""Voice, a tempest-tossed vessel, rebels against my will, its timbre a defiant refusal to comply.""",Voice quality changes,
"""My shoes are literally leakin' all the time, like they've got a bad case of urinary incontinence or somethin'!""",Urinary incontinence,
