Dialogue,True_Symptom,Extracted_Symptom
"""I am presently experiencing a most distressing and very severe condition, wherein the corners of my mouth are afflicted with a pronounced and debilitating cracking, accompanied by a noticeable dryness and irritation, which is causing me considerable discomfort and distress, and I must stress that this condition is not only extremely painful but also aesthetically displeasing.""",Cracking at the corners of the mouth (cheilosis/cheilitis),Cracking at the corners of the mouth
"""i hav got dis nasty condition on my mouf whr the corners r gettin all dry & cracky somtimes its painful when i eat or drink somethin cold or spicy, ther r these white patches on the corners too & they r flaky, its like my skin is gettin all peely & stuff, & i dont no if its bein caused by de sun or de weather or maybe somethin i ate, i dont no, i just no its annoyin & i wish it wud go away.""",Cracking at the corners of the mouth (cheilosis/cheilitis),Dry Mouth
"""I've been noticing some mild cracking at the corners of my mouth, but it's not causing me any discomfort.""",Cracking at the corners of the mouth (cheilosis/cheilitis),Cracking at the corners of the mouth
"""Oh, cruel fate, I am beset by the merciless ravages of time, as my lips, those delicate petals of love, now wither and dry, their tender skin fissuring, cracking at the corners, like the fragile lines of a map, where once the softness of youth did reign, now cheilosis, that most insidious of afflictions, does mock me, a constant reminder of my mortality, as cheilitis, that most pitiless of foes, does conspire to strip me bare, leaving naught but the jagged edges of a once-beautiful smile.""",Cracking at the corners of the mouth (cheilosis/cheilitis),Cracking at the corners of the mouth (cheilosis/cheilitis)
"""I've got moderate cheilosis/cheilitis, where the corners of my mouth are cracking pretty bad.""",Cracking at the corners of the mouth (cheilosis/cheilitis),Cracking at the corners of the mouth (cheilosis/cheilitis)
"""I have been experiencing a mild instance of cheilosis, characterised by a slight cracking at the corners of my mouth.""",Cracking at the corners of the mouth (cheilosis/cheilitis),Cracking at the corners of the mouth
"""My lips are super dry and cracky at the corners, it's really painful.""",Cracking at the corners of the mouth (cheilosis/cheilitis),Cracking at the corners of the mouth (cheilosis/cheilitis)
"""Difficulty swallowing is characterized by Very severe: Painful swallowing, Choking on food, Drooling, Difficulty eating solid foods, Feeling like food is stuck in my throat, Coughing or choking while eating, Feeling like I'm not getting enough food, Nausea and Vomiting.""",Difficulty Swallowing,Difficulty swallowing
"""Upon examination, the individual exhibits a condition characterized by an apparent hindrance in the process of swallowing, although the precise nature and extent of this impediment remain unclear due to the patient's reluctance to provide further details regarding its severity.""",Difficulty Swallowing,Difficulty Swallowing
"""I dont rly hav eny problums swallowng, its jus a littel diffikult at times, but its not a big deel.""",Difficulty Swallowing,Difficulty Swallowing
"""I am experiencing difficulty swallowing, which is not a pressing concern at this time, but I wanted to bring it to the doctor's attention as I have noticed that I am having some trouble getting food past my throat, and it doesn't feel like anything is wrong, but I'm just having a bit of trouble, and it's not causing me any distress, but I thought it would be best to mention it.""",Difficulty Swallowing,Difficulty Swallowing
"""The pesky ol' dysphagia's got me in its grip, a moderate muddle of a mouthful, where each bite's a strugglin' strife, like tryin' to swallow a soggy sponge, my esophagus protestin' with a slow, labored pace, as if the food's stuck in a quagmire of discomfort, and I'm left to choke on the bitter taste of frustration.""",Difficulty Swallowing,Difficulty Swallowing
"""Alas, my feeble throat, a canvas of mild affliction, doth suffer from a trifling difficulty in swallowing, a paltry problem, a mere trifle, a gentle tickle, a soft whisper of discomfort, a faint cry for aid, a pitiful plea for solace, a minor nuisance, a slight irritation, a delicate discomfort, a soft protest, a gentle reminder of life's minor inconveniences.""",Difficulty Swallowing,Difficulty Swallowing
"""It appears that my shoes are experiencing a rather distressing condition, namely a severe case of Dysphagia, which I suppose is the medical term for the woefully incompetent manner in which they are failing to swallow, quite frankly, it's a travesty.""",Difficulty Swallowing,Difficulty Swallowing
"""Ugh, my mouth is as dry as the Sahara desert, it's like I've been sucking on a cotton ball for weeks, I can barely swallow, my tongue feels like sandpaper, and I'm constantly thirsty, it's so bad that I've been waking up in the middle of the night with a parched throat, my very severe dry mouth is driving me crazy!""",Dry Mouth,Dry Mouth
"""Constant Dryness, Unquenchable Thirst, Stinging Sensation in Mouth, Difficulty Swallowing, Cottony Feeling in Mouth, Sticky Saliva, Dry Lips, Dry Tongue, Difficulty Speaking, Painful Swallowing, Unpleasant Taste, Bitterness in Mouth, Dryness in Throat, Unrelenting Dryness, Excessive Salivation, Difficulty Whistling, Difficulty Singing, Dryness in Palate, Dryness in Oral Cavity, Dryness in Gums, Dryness in Cheeks, Dryness in Mouth Floor, Dryness in Mouth Roof, Dryness in Mouth Sides, Dryness in Mouth Back, Dryness in Mouth Front.""",Dry Mouth,"Difficulty Swallowing, Dry Mouth, Hoarseness, Dryness in Throat"
"""I am experiencing a slight, albeit imperceptible, dryness in my mouth, a condition that, I dare say, does not significantly impede my daily activities.""",Dry Mouth,Dry Mouth
"""Mate, I've got this gnarly dry mouth that's literally not even a thing, you know?""",Dry Mouth,Dry Mouth
"""My mouth's drier than your average aunt's gossip - moderate, but still annoying, like you, doc.""",Dry Mouth,Dry Mouth
"""My shoes are probably more moist than my mouth, which is only mildly dry, so I guess that's not a big deal.""",Dry Mouth,Dry Mouth
"""Dry Mouth: extreme thirst, mouth feels like the sahara desert, lips are all chapped and cracked, swallowing is like tryin to eat sand, havin trouble eatin or talkin, sometimes food gets stuck in my mouth, havin bad breath, feelin like my mouth is all dried up like a raisin, havin trouble sleepin at night cuz i need to drink water all the time.""",Dry Mouth,Dry Mouth
"""Im feelin verry sevre hoarsness sympsoms: my voice is like sandpaper, i sound like a croakyn frog, i cant yell or even speak loud, my throat hurts like heck, my voice is all raspy and scratchy, i sound like im talkin through a megaphone with a hole in it, its super annoyin.""",Hoarseness,"Hoarseness, Raspy voice, Scratchy voice, Sandy voice"
"""I'm not really sure how to describe it, but I've been feeling a bit off with my voice, it's like it's trying to tell me something but it's not coming out right, I mean, I can still talk but it sounds kind of rough, like I've been yelling or something, but I haven't been yelling, at least I don't think so.""",Hoarseness,Hoarseness
"""Right now, I'm not really experiencing any issues with my voice, it's still pretty normal, I can talk just fine without any problems, no hoarseness or anything, my voice hasn't changed at all.""",Hoarseness,
"""Voice gets kinda scratchy, not too bad tho.""",Hoarseness,Hoarseness
"""Loss of Voice Quality, Discomfort while Speaking, Throat Irritation, Vocal Fatigue, Difficulty Projecting Voice.""",Hoarseness,"Loss of Voice Quality, Discomfort while Speaking, Throat Irritation, Vocal Fatigue"
"""I've got a mild hoarseness thing goin' on, where my voice is a bit raspy but still pretty clear.""",Hoarseness,Hoarseness
"""I am presently afflicted with a severe and distressing condition wherein my vocal cords have become severely inflamed, resulting in a marked hoarseness that renders my voice barely intelligible, a circumstance that is most inconvenient and has significantly impacted my ability to communicate effectively, particularly in professional and social settings.""",Hoarseness,Hoarseness
"""In the twilight of my existence, a woeful chorus of mouth/throat sores, like a thousand tiny violins, shriek in discordant harmony, their very severe cacophony piercing the veil of my daily existence, a constant reminder of their merciless presence, yet not a single note of my daily routine is disrupted, a paradox of pain and resilience that defies the conventions of mortal suffering.""",Mouth/throat sores,Mouth/throat sores
"""Im experin some mouth sores right now, they're pretty annoyin, but they dont realy interfear with my daily activites, they're just some small, painful ulcers in my mouth and throat, they're kinda itchy and sore when I eat or talk, but I can stil do everything I need to, its just kinda uncomfortable, I dont wanna make a big deal out of it, but its defenitly noticable, espesially when I try to eat spicy food or talk for a long time, its like my mouth is all raw and irritated, but like I said, its not like its stopin me from doin anything, its just a bit of a hassle.""",Mouth/throat sores,"Mouth/throat sores, Itching, Sore"
"""Mild Mouth/throat sores, No Pain, No Discomfort.""",Mouth/throat sores,Mouth/throat sores
"""I've got these blasted mouth/throat sores that are botherin' me somethin' fierce, but they ain't exactly killin' me, if you know what I mean.""",Mouth/throat sores,Mouth/throat sores
"""i got these mouth/throat sores thats moderate bad, but they dont realy interfear with my daily life, its just a littel annoying""",Mouth/throat sores,Mouth/throat sores
"""Mild Mouth/throat sores, No real trouble with daily activities.""",Mouth/throat sores,Mouth/throat sores
"""Me mouth's been a right ol' mess, with sores poppin' up left and right, but I can still chomp down on some grub without too much trouble, even though they're as painful as a punch to the gut, I reckon.""",Mouth/throat sores,Mouth/throat sores
"""Mundane existence now a canvas of anguish, as very severe mouth/throat sores, a constant reminder of life's subtle disruptions, impede daily routines with only a little bit of reluctance.""",Mouth/throat sores,Mouth/throat sores
"""Mouth/throat sores are accompanied by Pain when eating or drinking, Difficulty swallowing, Red and swollen sores, White patches on the tongue, Blisters or ulcers on the lips, Discomfort while talking, Discomfort while eating spicy or acidic foods, Discomfort while eating hot or cold foods, Discomfort while eating hard or crunchy foods, Discomfort while eating with friends or family, Discomfort during meals, Discomfort after meals, Discomfort at night, Discomfort when lying down, Discomfort when sitting up, Discomfort when standing up, Discomfort when walking, Discomfort when running, Discomfort when doing daily activities, Discomfort when doing physical activities.""",Mouth/throat sores,Mouth/throat sores
"""Oh, woeful sores that beset my mouth and throat, a minor nuisance that doth impede my daily pursuits, yet none the less a source of quiet terror that doth stir within me a sense of foreboding and unease.""",Mouth/throat sores,Mouth/throat sores
"""I am currently afflicted with Mouth/throat sores, which, although causing a little bit of interference with my daily activities, do not warrant further discussion.""",Mouth/throat sores,Mouth/throat sores
"""Ugh, my mouth is basically a war zone, got these gnarly sores everywhere, moderate pain, you know, it's not like I'm dying or anything, but it's pretty annoying, especially when I'm trying to eat or talk, so yeah, it's moderate, not like I'm screaming in agony or anything, but it's there, and it's kinda hard to do stuff, like, a little bit hard, not like I'm stuck in bed or whatever, but still, it's a hassle.""",Mouth/throat sores,Mouth/throat sores
"""The pesky mouth/throat sores, they doth play havoc, yet not so much, a little bit of discomfort, a mild affliktion, like a gentle summer breeze on a warm day, but with more sores.""",Mouth/throat sores,Mouth/throat sores
"""I'm experiencing severe mouth/throat sores that interfere a little bit with my daily activities.""",Mouth/throat sores,Mouth/throat sores
"""Malignant sores, like festering curses, ravage my mouth and throat, a woeful affliction that assails me with each passing moment, a constant, gnawing torment that refuses to abate, its very severity a scathing rebuke to my already beleaguered existence.""",Mouth/throat sores,Malignant sores
"""Mouth and throat sores are kinda bothering me, but I can still kinda do stuff, I guess.""",Mouth/throat sores,Mouth/throat sores
"""Fiery sores, like mocking jesters, dance upon my tongue, their cruel whispers a reminder of the fleeting peace I've lost.""",Mouth/throat sores,Mouth/throat sores
"""These mouth/throat sores are somewhat interfering with my daily activities, causing me significant distress.""",Mouth/throat sores,Mouth/throat sores
"""During the past week, I have experienced moderate mouth and throat sores that have somewhat interfered with my daily activities, manifesting as recurring, tender, and inflamed lesions on the mucous membranes of my oral cavity, which have caused moderate discomfort and necessitated frequent application of topical analgesics and avoidance of spicy or acidic foods and drinks.""",Mouth/throat sores,Mouth/throat sores
"""Methinks I am beset by a plague of tender sores within my mouth and throat, a gentle yet persistent affliction that doth somewhat impede my daily pursuits, a mild yet maddening malady that doth vex me sorely.""",Mouth/throat sores,Mouth/throat sores
"""I am presently experiencing severe mouth/throat sores, which have been causing considerable interference with my daily activities, manifesting as painful ulcers on the inner lining of my mouth and throat, accompanied by discomfort during swallowing and speaking, rendering it somewhat challenging to engage in my usual routine.""",Mouth/throat sores,"Mouth/throat sores, Painful ulcers, Discomfort during swallowing, Discomfort during speaking"
"""Mischievous mouth ulcers, a plague upon my tongue, wreaking havoc on my daily pursuits with quite a bit of interference, their very severe sting a constant reminder of my plight.""",Mouth/throat sores,Mouth ulcers
"""Me mouth's all sore, can't even eat proper,'specially when I gotta talk, it hurts somethin' fierce.""",Mouth/throat sores,Mouth/throat sores
"""I've got mouth sores and throat sores that arent realy bothering me thats why i put none for severety, but they do make it a bit dificult to eat and talk.""",Mouth/throat sores,Mouth/throat sores
"""O, woe is me, with sores in mouth/throat, they do interfier with daily activites quite a bit, a plague upon my tastebuds, and a hinderance to my merry mien.""",Mouth/throat sores,Mouth/throat sores
"""Ouchin' sores in mouth and throat, hurtin' bad, makin' it hard to eat and talk, gettin' worse when I swallow or brush teeth.""",Mouth/throat sores,"Mouth/throat sores, Difficulty Swallowing, Hoarseness"
"""Mildly gnawing sores beset my mouth, a gentle thief that steals away my daily ease.""",Mouth/throat sores,Mouth/throat sores
"""I've got these bloody Mouth/throat sores that are driving me nuts, interfering with my daily activities a lot, and they're as severe as a punch in the face, causing me agony all day long.""",Mouth/throat sores,Mouth/throat sores
"""My blasted mouth's a war zone, can't even eat a decent meal without these wretched sores screaming in agony, completely ruining my day.""",Mouth/throat sores,Mouth/throat sores
"""My anguish is a festering sore, a malignant ulcer that ravages my mouth and throat, its fiery tendrils snaking through my daily existence, a constant, searing reminder of the torment that grips me, as I'm forced to navigate each torturous step, with the weight of this affliction crushing me, its severity a dark and foreboding shroud that refuses to be lifted, a very real and present terror that haunts me with every waking moment.""",Mouth/throat sores,Mouth/throat sores
"""Mouth/throat sores: Irritation, Discomfort, Mild Pain, Foul Taste, Difficulty Swallowing, Blisters, Ulcers, Swollen Glands, Unpleasant Odour, Embarrassment, Social Isolation, Self-Condemnation, Miserable Existence, Wretched Life.""",Mouth/throat sores,Mouth/throat sores
"""I'm experincing mouth sores and throat sores thats really botherin me alot, its causin alot of interfare with my daily activites, I cant eat or drink without gettin pain and discomfort from these sores, they're extremly annoyin and I just wanna get rid of them already.""",Mouth/throat sores,Mouth/throat sores
"""The infernal mouth/throat sores that plague me, how they torment me with their constant ache, like a bitter lover that refuses to depart, leaving me to suffer in their moderate grasp, a woeful burden that weighs heavily upon my daily endeavours, a pestilence that afflicts me with very much distress, a scourge that refuses to relent in its merciless assault.""",Mouth/throat sores,Mouth/throat sores
"""Oh, the tormenting Mouth/throat sores that plague me, a constant reminder of my mortal frailty, these mild but oh-so-annoying afflictions, that hinder my daily endeavours, a pesky nag that wont leave me be, with their tender touch, a gentle yet persistant pain, that makes me quiver with each tender bite, oh, how i wish they'd depart, these wretched mouth/throat sores, that trouble me so.""",Mouth/throat sores,Mouth/throat sores
"""My mouth & throat is all sore & hurts alot, cant even eat or talk proper, its realy bad!""",Mouth/throat sores,Mouth/throat sores
"""Voice, a tempest-tossed vessel, rebels against my will, its timbre a defiant refusal to comply.""",Voice quality changes,Hoarseness
"""Listen, my voice is all messed up, like it's been put through a blender or something, so it's not really present or absent, it's just a weird, raspy noise that's driving me crazy.""",Voice quality changes,Hoarseness
"""Regrettably, my voice quality changes are currently manifesting as a noticeable absence of their typical characteristics.""",Voice quality changes,Hoarseness
"""i've ben noticin that my voice has been gettin all weird, like its changin tone alot, and somtimes its all raspy, i dont no whats happnin to me!!""",Voice quality changes,Hoarseness
"""Abdominal pain: Vomitin, Diarrhea, Stomach cramps, Fever, Nausea, Bloating, Loss of appetite, Weight loss.""",Abdominal pain,"Abdominal pain, Vomiting, Diarrhea, Stomach cramps"
"""Abdominal pain: Hurts alot, dont stop me, hurts alot, makes me mad, hurts alot, makes me wanna cuss, hurts alot, makes me wanna vomit, hurts alot, makes me wanna scream, hurts alot, makes me wanna die.""",Abdominal pain,Abdominal pain
"""Occasional Mild Abdominal Discomfort.""",Abdominal pain,Abdominal pain
"""Abdominal pain, Stomach Cramps, Loss of Appetite, Nausea, Vomiting, Bloating, Gas, Diarrhea, Constipation, Feeling Sick, Feeling Unwell.""",Abdominal pain,"Abdominal pain, Stomach cramps, Loss of appetite, Nausea"
"""I hav got abdominal pain that's almost constntly botherin me, it's not stopin me from doin things but its moderate and makin me feel verry worried, its like a sharp poin in my stomak that wont go away.""",Abdominal pain,Abdominal pain
"""I've got this constant, mild stomach ache that's always there but doesn't stop me from doing anything.""",Abdominal pain,Abdominal pain
"""My gut's been killin' me, it hurts almost constantly, like a knife stabbin' me in the belly, and it's severe, but somehow I still manage to get by, but it's a real pain, ya know?""",Abdominal pain,Abdominal pain
"""My stomach's been killin' me, it's been actin' up so bad I can barely move, and I'm not even gonna tell you how often it happens, just know it's super painful!""",Abdominal pain,"Abdominal pain, Bloating, Constipation, Diarrhea, Fecal incontinence"
"""The abdominal pain is intermittent, its impact on daily activities is negligible.""",Abdominal pain,Abdominal pain
"""Abdominal Pain: Gentle twinges, occasional discomfort, no real hindrance to daily routine, no quantifiable distress, no discernable pattern.""",Abdominal pain,Abdominal pain
"""Me tummy hurts somethin awful, like a knife is twistin inside me, makin me wanna stay in bed all day, but I can still get up and move around, don't know why, but it's like a big ol' knot in me gut that won't go away.""",Abdominal pain,Abdominal pain
"""Alas, my poor stomach, a tempest-tossed vessel, beset by moderate afflictions, yet still, I toil, a martyr to my daily chores, though, I confess, the frequency of these pains is a mystery I'd rather not unravel, a secret I'd keep hidden, locked away, like a scorned lover's heart, while my abdomen protests with a moderate, yet maddening, ache, a gentle reminder of my own mortality.""",Abdominal pain,Abdominal pain
"""I'm gettin' this weird crampy feelin' in my tummy, like a gentle pinchin' sensation, not bad enough to stop me from doin' stuff, but it's like, hard to explain, and it happens kinda randomly, I guess, I don't wanna say too much 'cause it's not like it's killin' me or anythin', but it's like, this mild, annoying ache that's just... there, you know?""",Abdominal pain,Abdominal pain
"""M' stomach's killin' me, pain's severe, but somehow I still manage ta get by, don't know why, but it's like me insides are doin' somethin' all wrong.""",Abdominal pain,Abdominal pain
"""I've been experiening very severe abdomanal pain, but surprisly its not interfered with my daily activites alot, its just that it happends occassionly and its extremly painful.""",Abdominal pain,Abdominal pain
