Dialogue_Generated,Symptoms,Description,Meta,Language_Style,Tone,Detail_Level,Enumeration,Explicit_Symptom,Spelling_Errors
"""My tortured form, a canvas of unrelenting rage, now festers with an unanswerable rash, as the very air I breathe is wrested from me by the merciless grip of severe, yet nonexistent hiccups.""","['Hives', 'Hiccups']","Hives (attributes: Presence/Absence) , Hiccups (attributes: Frequency, Severity)","Hives -> Presence/Absence: Prefer not to answer ,  Hiccups -> Frequency: Never, Severity: Severe",Poetic/Literary Register,Angry,1,False,False,False
"""Disembodied Pleasures, Unannounced Bowel Movements, Subtle Sonic Interludes: Rare and unheralded ejaculations, untroubling yet uninvited fecal incontinence that neither hinders nor helps, mild and unobtrusive ringing in the ears.""","['Ejaculation', 'Fecal incontinence', 'Ringing in ears']","Ejaculation (attributes: Frequency) , Fecal incontinence (attributes: Interference (with daily activities), Frequency) , Ringing in ears (attributes: Severity)","Ejaculation -> Frequency: Rarely ,  Fecal incontinence -> Interference (with daily activities): Not at all, Frequency: Prefer not to answer ,  Ringing in ears -> Severity: Mild",Poetic/Literary Register,Neutral,4,True,False,False
"""I'm experiencing watery eyes that severely interfere with my daily activities, making it extremely frustrating and difficult to perform even the simplest tasks without feeling like I'm constantly on the verge of tearing up.""",['Watery eyes'],"Watery eyes (attributes: Interference (with daily activities), Severity)","Watery eyes -> Interference (with daily activities): A little bit, Severity: Severe",Neutral/Standard Register,Angry,4,False,False,False
"""Alas, my pitiful bladder doth betray me, releasin' its waters with a frequency most unbecomin', a rare occurence indeed, yet causin' me such distress, it doth interfere with my daily pursuits, leavin' me in a state of utter discomfort, a true calamity, if I do say so myself.""",['Urinary incontinence'],"Urinary incontinence (attributes: Interference (with daily activities), Frequency)","Urinary incontinence -> Interference (with daily activities): Very much, Frequency: Rarely",Poetic/Literary Register,Insulting,3,False,False,True
"""Looks like I've got some weird stuff goin' on - my taste buds are all like'meh' now, moderate pain level, and don't even get me started on the whole 'pleasure' department, let's just say I'm a bit of a 'no comment' on that one.""","['Taste Changes', 'Unable to have orgasm']","Taste Changes (attributes: Severity) , Unable to have orgasm (attributes: Presence/Absence)","Taste Changes -> Severity: Moderate ,  Unable to have orgasm -> Presence/Absence: Prefer not to answer",Informal Register,Insulting,3,False,False,False
"""Interference with daily activities, can't even remember what a productive day is, Frequency: don't wanna talk about it, Severity: a big fat zero.""",['Anxious'],"Anxious (attributes: Interference (with daily activities), Frequency, Severity)","Anxious -> Interference (with daily activities): Very much, Frequency: Prefer not to answer, Severity: None",Vulgar Register,Insulting,3,True,False,False
"""My shoes seem to be experiencing a rather signifigant amount of fatique, which is quite noticible as it interfers with my daily activites to a considerable extint, although the severity of this issue appears to be absolutly none, and it's only a minor inconvenience, really.""",['Fatigue'],"Fatigue (attributes: Interference (with daily activities), Severity)","Fatigue -> Interference (with daily activities): Quite a bit, Severity: None",Formal Register,Friendly,5,False,False,True
"""Interference with daily activities, Unknown frequency, No severity.""",['Muscle pain'],"Muscle pain (attributes: Interference (with daily activities), Frequency, Severity)","Muscle pain -> Interference (with daily activities): Very much, Frequency: Prefer not to answer, Severity: None",Neutral/Standard Register,Angry,2,True,False,False
"""I'm experiencing some discomfort with dry mouth, but I'm not sure how to rate its severity since it's not really bothering me at the moment; however, I do have a severe radiation skin reaction, characterized by redness, itchiness, and a burning sensation on my skin, particularly in the areas that were exposed to radiation during my treatment, which has made my skin feel tight and tender to the touch, and it's been quite painful, especially when I'm moving or putting on clothing that comes into contact with the affected areas.""","['Dry Mouth', 'Radiation skin reaction']","Dry Mouth (attributes: Severity) , Radiation skin reaction (attributes: Severity)","Dry Mouth -> Severity: Not applicable ,  Radiation skin reaction -> Severity: Severe",Neutral/Standard Register,Friendly,5,False,False,False
"""My left shoe's got a numb toe that's all tingly, can't even walk without it gettin' in the way, and my right shoe's got a dry sole that's as useful as a one-legged stool, and my back shoe's got crap all over it, I'm literally shittin' myself whenever I take a step.""","['Numbness & tingling', 'Vaginal dryness', 'Fecal incontinence']","Numbness & tingling (attributes: Interference (with daily activities), Severity) , Vaginal dryness (attributes: Severity) , Fecal incontinence (attributes: Interference (with daily activities), Frequency)","Numbness & tingling -> Interference (with daily activities): Quite a bit, Severity: Prefer not to answer ,  Vaginal dryness -> Severity: Not applicable ,  Fecal incontinence -> Interference (with daily activities): Somewhat, Frequency: Frequently",Vulgar Register,Angry,2,False,False,False
"""My memory is severely disrupted, interfering with daily activities to the point where I'm struggling to recall even the simplest tasks.""",['Memory'],"Memory (attributes: Interference (with daily activities), Severity)","Memory -> Interference (with daily activities): Not at all, Severity: Very severe",Neutral/Standard Register,Angry,2,False,False,False
"""Here's whats rong with me: Ridged Nails, Crampy Hands, Tinglin Sensation in Fingers, Redness and Swellin arond Nail Beds, Painful Nail Growt, Brittle Nails, Numbness in Fingers, Nail Breakage, Discolored Nails, Skin Lesions arond Nail Beds.""",['Nail ridging'],Nail ridging (attributes: Presence/Absence),Nail ridging -> Presence/Absence: Not applicable,Vulgar Register,Insulting,3,True,False,True
"""Severe wheezing: Loud, raspy breathin sounds, makin it hard to breathe, feelin like im suffocatin, chest tightness, wheezin like a broken airhorn, havin to gasp for air, wheezin so loud i can hear it myself, havin to push air out of lungs, wheezin even when im just talkin, havin to stop and catch breath, wheezin like im runnin a marathon, wheezin like im chokin on somethin, havin to wheeze just to breathe, wheezin like a squeaky gate, wheezin so bad i feel like im dyin, wheezin like im havin a heart attack, wheezin like im suffocatin under water.""",['Wheezing'],Wheezing (attributes: Severity),Wheezing -> Severity: Severe,Informal Register,Insulting,5,True,False,True
"""Verily, my stomach doth protest with almost constant, severe outpourings of its discontent.""",['Vomiting'],"Vomiting (attributes: Frequency, Severity)","Vomiting -> Frequency: Almost constantly, Severity: Severe",Poetic/Literary Register,Friendly,1,False,False,False
"""Yer know, doc, I've been sweatin' like a pig in a slaughterhouse, moderate-like, never really a problem, but lately, I've been breakin' a sweat all the time, even when I'm just chillin' at home, it's gettin' a bit much, if ya know what I mean.""",['Increased sweating'],"Increased sweating (attributes: Frequency, Severity)","Increased sweating -> Frequency: Never, Severity: Moderate",Vulgar Register,Friendly,3,False,True,False
"""My tormented body, a canvas of unrelenting turmoil, is beset by an intermittent and woefully inapplicable affliction, a condition of occasionally recurring and woefully irrelevant perspiration, a mere whisper of a malady that taunts me with its capricious presence, leaving me to writhe in its fiery grip, as if the very pores of my skin are a rebellious chorus, singing in discordant harmony, a maddening serenade of sweat that mocks my every waking moment.""",['Increased sweating'],"Increased sweating (attributes: Frequency, Severity)","Increased sweating -> Frequency: Occasionally, Severity: Not applicable",Poetic/Literary Register,Angry,4,False,True,False
"""Muscle pain - achin all the time, makin it hard to do stuff, even simple things like gettin outta bed or walkin to the kitchen, it's like my whole body is one big sore spot, it hurts a little, not alot, but it's there, always, like a naggin voice in my head remindin me i'm hurtin.""",['Muscle pain'],"Muscle pain (attributes: Interference (with daily activities), Frequency, Severity)","Muscle pain -> Interference (with daily activities): Not at all, Frequency: Almost constantly, Severity: Mild",Informal Register,Fearful,4,True,False,True
"""I have been experiencing a noticeable reduction in perspiration, with a significant decrease in the amount of sweat I normally produce, which has become a persistent and ongoing issue, manifesting as an overall decrease in my body's ability to regulate its temperature through the usual mechanisms of thermoregulation.""",['Decreased sweating'],Decreased sweating (attributes: Presence/Absence),Decreased sweating -> Presence/Absence: Yes,Neutral/Standard Register,Neutral,5,False,False,False
"""I'm experiencing Severe Vaginal Dryness, Moderate Difficulty Concentrating which somewhat interferes with daily activities, and I'm not experiencing Heartburn, but I don't know why I wrote that.""","['Vaginal dryness', 'Concentration', 'Heartburn']","Vaginal dryness (attributes: Severity) , Concentration (attributes: Interference (with daily activities), Severity) , Heartburn (attributes: Frequency, Severity)","Vaginal dryness -> Severity: Severe ,  Concentration -> Interference (with daily activities): Somewhat, Severity: Moderate ,  Heartburn -> Frequency: Never, Severity: None",Neutral/Standard Register,Confused,2,True,False,False
"""My shoes have a rare case of nausea, which doesn't happen often, and they're experiencing some swelling in the feet that really hinders their daily activities.""","['Nausea', 'Swelling (arms or legs)']","Nausea (attributes: Frequency, Severity) , Swelling (arms or legs) (attributes: Interference (with daily activities), Frequency, Severity)","Nausea -> Frequency: Never, Severity: Prefer not to answer ,  Swelling (arms or legs) -> Interference (with daily activities): Very much, Frequency: Never, Severity: Prefer not to answer",Neutral/Standard Register,Friendly,2,False,False,False
"""U got me feelin like crap, my tounge's all weird from these Taste Changes thingies, cant even taste nothin right, and my Abdominal pain's been actuallly pretty bad, like extremly bad, hurts somtimes when i eat or move arond, makes me want to just stay in bed, so u got me here now, fix me plz.""","['Taste Changes', 'Abdominal pain']","Taste Changes (attributes: Severity) , Abdominal pain (attributes: Interference (with daily activities), Frequency, Severity)","Taste Changes -> Severity: Not applicable ,  Abdominal pain -> Interference (with daily activities): Somewhat, Frequency: Occasionally, Severity: Very severe",Vulgar Register,Insulting,3,False,True,True
"""I've been experiensing some issues with my bed/pressure sores, cant really say if its a problem or not, the doctor will have to decid thats not appliable to me, and as for ejaculation, its actuallly pretty rare, only happens like once in a blue moon, havent had any major issues with that either.""","['Bed/pressure sores', 'Ejaculation']","Bed/pressure sores (attributes: Presence/Absence) , Ejaculation (attributes: Frequency)","Bed/pressure sores -> Presence/Absence: Not applicable ,  Ejaculation -> Frequency: Rarely",Neutral/Standard Register,Neutral,5,False,False,True
"""Interference with daily activities, Almost constant occurrence, Severe impact on quality of life.""",['Headache'],"Headache (attributes: Interference (with daily activities), Frequency, Severity)","Headache -> Interference (with daily activities): Somewhat, Frequency: Almost constantly, Severity: Severe",Neutral/Standard Register,Friendly,2,True,False,False
"""No erection, No hair.""","['Achieve and maintain erection', 'Hair loss']","Achieve and maintain erection (attributes: Severity) , Hair loss (attributes: Amount)","Achieve and maintain erection -> Severity: None ,  Hair loss -> Amount: Not at all",Vulgar Register,Confused,1,True,False,False
"""Yer see, doc, I've been havin' a right ol' time with me peeing, it's been a real struggle, see, I've been feelin' this blighter of a pain in me bladder, it's like a sharp stabbin' sensation, like someone's pokin' a stick in there, and it's been goin' on for a while now, whenever I gotta take a leak, it's like me body's sayin', 'Hey, mate, slow down, we've got a bit of a problem here', and I gotta take me time, and it's not just a wee bit of pain, it's a proper ache, like someone's squeezin' a lemon in there, and it's been gettin' worse, if ye know what I mean.""",['Painful urination'],Painful urination (attributes: Severity),Painful urination -> Severity: Not applicable,Vulgar Register,Friendly,4,False,True,False
"""Got a Rash that's drivin' me bloody mad, it's itchy, red, and I'm not tellin' you if it's gone or still here, but it's causin' me a right ol' headache.""",['Rash'],Rash (attributes: Presence/Absence),Rash -> Presence/Absence: Prefer not to answer,Vulgar Register,Angry,2,False,True,False
"""Constipation: Occasional straining during bowel movements, Infrequent bowel movements, Dry stool, Abdominal discomfort, Feeling of incomplete evacuation.""",['Constipation'],Constipation (attributes: Severity),Constipation -> Severity: Mild,Neutral/Standard Register,Friendly,3,True,False,True
"""I'm experiencing quite a bit of disruption in my daily activities due to watery eyes, which aren't causing any discomfort, but I'm also noticing that I have a presence of visual floaters, which isn't applicable, and I'm occasionally plagued by hot flashes that are very severe, leaving me feeling anxious and on edge.""","['Visual floaters', 'Watery eyes', 'Hot flashes']","Visual floaters (attributes: Presence/Absence) , Watery eyes (attributes: Interference (with daily activities), Severity) , Hot flashes (attributes: Frequency, Severity)","Visual floaters -> Presence/Absence: Not applicable ,  Watery eyes -> Interference (with daily activities): Quite a bit, Severity: None ,  Hot flashes -> Frequency: Occasionally, Severity: Very severe",Neutral/Standard Register,Fearful,5,False,True,False
"""I'm experiencing some issues, like not being able to, you know, have that thing happen, and my periods are kinda all over the place, but it's not really a big deal, and I don't really have any stretch marks, and I'm feeling a bit anxious, but it's not super bad.""","['Unable to have orgasm', 'Irregular periods/vaginal bleeding', 'Stretch marks', 'Anxious']","Unable to have orgasm (attributes: Presence/Absence) , Irregular periods/vaginal bleeding (attributes: Presence/Absence) , Stretch marks (attributes: Presence/Absence) , Anxious (attributes: Interference (with daily activities), Frequency, Severity)","Unable to have orgasm -> Presence/Absence: Not applicable ,  Irregular periods/vaginal bleeding -> Presence/Absence: No ,  Stretch marks -> Presence/Absence: No ,  Anxious -> Interference (with daily activities): Not at all, Frequency: Prefer not to answer, Severity: Mild",Informal Register,Neutral,2,False,False,False
"""I am experiencing a most distressing condition, wherein my skin has become afflicted with a plethora of pimples and zits, the severity of which I choose not to divulge, and simultaneosly, I am finding it moderately dificult to swallow, the sensation being akin to having a large bolus lodged in my throat, which is causing me considerable discomfort and vexation.""","['Acne', 'Difficulty Swallowing']","Acne (attributes: Severity) , Difficulty Swallowing (attributes: Severity)","Acne -> Severity: Prefer not to answer ,  Difficulty Swallowing -> Severity: Moderate",Formal Register,Angry,4,False,False,True
"""A silence surrounds the site where pain and swelling entwine, its secrets kept.""",['Pain and swelling at injection site'],Pain and swelling at injection site (attributes: Presence/Absence),Pain and swelling at injection site -> Presence/Absence: Prefer not to answer,Poetic/Literary Register,Neutral,1,False,False,False
"""Abdominal pain characterized by its unpredictable yet piercing severity, manifesting as a sharp, stabbing sensation that disrupts daily routines without warning, never presenting itself with any discernible pattern, and when it does, it does so with unrelenting ferocity, leaving the sufferer breathless and bewildered.""",['Abdominal pain'],"Abdominal pain (attributes: Interference (with daily activities), Frequency, Severity)","Abdominal pain -> Interference (with daily activities): Not at all, Frequency: Never, Severity: Severe",Poetic/Literary Register,Neutral,5,True,False,False
"""I'm gettin really worried 'bout these weird sympoms i've been havin, i dont sweat as much as i used to, i see these flotin things in my eye, and i dont wanna talk bout my nails cuz it's kinda embarrasin""","['Decreased sweating', 'Visual floaters', 'Nail ridging']","Decreased sweating (attributes: Presence/Absence) , Visual floaters (attributes: Presence/Absence) , Nail ridging (attributes: Presence/Absence)","Decreased sweating -> Presence/Absence: No ,  Visual floaters -> Presence/Absence: Not applicable ,  Nail ridging -> Presence/Absence: Prefer not to answer",Informal Register,Fearful,1,False,False,True
"""My poor body is aflamed with a fiery torment, a Hand-foot syndrom that's left me with cracked and peeling hands and feet, like withered leaves that cling to branches in autumn's bitter grasp, and to make matters worse, my muscles ache with a ceaseless pain, like a drumbeat that throbs through my very essence, almost constant in its persistence, a little bit of interference with my daily activites, but what activites can i even muster with this woeful affliction that makes me want to scream in rage!""","['Hand-foot syndrome (a rash of the hands and feet that can cause cracking, peeling, redness or pain)', 'Muscle pain']","Hand-foot syndrome (a rash of the hands and feet that can cause cracking, peeling, redness or pain) (attributes: Severity) , Muscle pain (attributes: Interference (with daily activities), Frequency, Severity)","Hand-foot syndrome (a rash of the hands and feet that can cause cracking, peeling, redness or pain) -> Severity: Not applicable ,  Muscle pain -> Interference (with daily activities): A little bit, Frequency: Almost constantly, Severity: Not applicable",Poetic/Literary Register,Angry,5,False,True,True
"""Behold, my skin, a canvas of exquisite torture, scorched by the cruel whims of fate, its tender flesh aflame with a fire that refuses to be tamed, a radiation reaction of such exquisite agony, I dare not sully the record with a quantifiable measure of its severity, for to do so would be to invite the ignominy of your pitiful medical curiosity.""",['Radiation skin reaction'],Radiation skin reaction (attributes: Severity),Radiation skin reaction -> Severity: Prefer not to answer,Poetic/Literary Register,Insulting,3,False,False,False
"""I am experiancing a slighty annoyng Ringing in my Ears, which is not very sever, I would say it is of no consiquense, it is more of a mild discomfiture, a gentle tinnitis, a faint and constant humming or ringing sound that is not very loud, not very disturnbing, but stil, it is ther, and it is quite unnerving, a persistant yet faint noise that is always prent, a nagging and peristant ringing in my ears that is more of an annoyance than a serious sympdom.""",['Ringing in ears'],Ringing in ears (attributes: Severity),Ringing in ears -> Severity: None,Formal Register,Fearful,4,False,False,True
