Dialogue_Generated,Symptoms,Description,Meta,Language_Style,Tone,Detail_Level,Enumeration,Explicit_Symptom,Spelling_Errors
"""I'm experinng these ridiculus sympoms, my bladder is acting up, I'm urinatin way to much, its interfiering NOT at all with my daily activites, like I have time to go to the bathroom, I'm gettin like 5 minutes of sleep at nite due to insomnia, its interfiering A little bit with my daily activites, I'm feelin like a zombie, my stomach is churnin Almost constantly and the sympom is Severe, I feel like I'm gonna puke, and dont even get me started on the vaginal discharge, its AMOUNT is Very much, I'm talkin a flood, its like I'm leakin all day, I'm so sick of these sympoms.""","['Urinary frequency', 'Insomnia', 'Nausea', 'Vaginal discharge']","Urinary frequency (attributes: Interference (with daily activities), Frequency) , Insomnia (attributes: Interference (with daily activities), Severity) , Nausea (attributes: Frequency, Severity) , Vaginal discharge (attributes: Amount)","Urinary frequency -> Interference (with daily activities): Not at all, Frequency: Rarely ,  Insomnia -> Interference (with daily activities): A little bit, Severity: Severe ,  Nausea -> Frequency: Almost constantly, Severity: Severe ,  Vaginal discharge -> Amount: Very much",Neutral/Standard Register,Insulting,5,False,True,True
"""I be feelin' kinda drained, like me batteries be runnin' low, and I be gettin' a little tired, y'know, not too much, just a wee bit, like me daily activities be interferin' with each other, but I don't rightly know how to put me finger on it, 'cause it ain't like I be doin' nothin' at all, just a bit of this and that, but it be gettin' to the point where I be feelin' like I be stuck in the mud, ya hear me?""",['Fatigue'],"Fatigue (attributes: Interference (with daily activities), Severity)","Fatigue -> Interference (with daily activities): A little bit, Severity: Not applicable",Vulgar Register,Confused,4,False,True,False
"""I am experiencing an overwhelming level of interference with my daily activities due to my concentration difficulties, which are manifesting as very severe impairments in my ability to focus and mentally process information, rendering it extremely challenging for me to complete even the simplest of tasks.""",['Concentration'],"Concentration (attributes: Interference (with daily activities), Severity)","Concentration -> Interference (with daily activities): Very much, Severity: Very severe",Formal Register,Fearful,4,False,True,False
"""I'm currently experiencing mild joint pain that affects my daily activities quite a bit, as well as some skin darkening, which I'm not feeling comfortable discussing further.""","['Skin darkening', 'Joint pain']","Skin darkening (attributes: Presence/Absence) , Joint pain (attributes: Interference (with daily activities), Frequency, Severity)","Skin darkening -> Presence/Absence: Prefer not to answer ,  Joint pain -> Interference (with daily activities): Quite a bit, Frequency: Prefer not to answer, Severity: Mild",Neutral/Standard Register,Friendly,1,False,True,False
"""My poor feet are tormented by the cruel whims of fate, for I can scarce walk without Vomiting up the bitter taste of my own vomit, my mind a muddle of Concentration, unable to grasp the simplest of thoughts, my Nail loss a constant reminder of my fragility, and my toes a battleground of Numbness & tingling, as if the very life force is being drained from them, leaving me to writhe in agony.""","['Vomiting', 'Concentration', 'Nail loss', 'Numbness & tingling']","Vomiting (attributes: Frequency, Severity) , Concentration (attributes: Interference (with daily activities), Severity) , Nail loss (attributes: Presence/Absence) , Numbness & tingling (attributes: Interference (with daily activities), Severity)","Vomiting -> Frequency: Rarely, Severity: Not applicable ,  Concentration -> Interference (with daily activities): Very much, Severity: Severe ,  Nail loss -> Presence/Absence: No ,  Numbness & tingling -> Interference (with daily activities): Very much, Severity: Not applicable",Poetic/Literary Register,Angry,3,False,True,True
"""Uh, I think I'm experiencing some weird stuff, like I'm sweating a lot, you know, frequently, but I don't know if it's a big deal or not, and I'm also feeling super tired, to the point where it's somewhat interfering with my daily activities, but it's not like I'm bedridden or anything, it's just a mild fatigue thing, but still, I'm pretty confused about what's going on.""","['Increased sweating', 'Fatigue']","Increased sweating (attributes: Frequency, Severity) , Fatigue (attributes: Interference (with daily activities), Severity)","Increased sweating -> Frequency: Frequently, Severity: Not applicable ,  Fatigue -> Interference (with daily activities): Somewhat, Severity: Mild",Informal Register,Confused,4,False,True,False
"""My shoes are quite a bit interfered with by my anxious state, which occurs almost constantly, making it difficult for me to walk, run, or even stand still, as my mind is constantly preoccupied with worrisome thoughts and feelings, and I'm unable to gauge the severity of these emotions.""",['Anxious'],"Anxious (attributes: Interference (with daily activities), Frequency, Severity)","Anxious -> Interference (with daily activities): Quite a bit, Frequency: Almost constantly, Severity: Not applicable",Vulgar Register,Neutral,4,False,True,False
"""A perpetual, yet trifling, trickle of crimson, an affront to my refined sensibilities.""",['Nosebleed'],"Nosebleed (attributes: Frequency, Severity)","Nosebleed -> Frequency: Almost constantly, Severity: Mild",Poetic/Literary Register,Insulting,1,False,False,False
"""I've got this blasted condition where I'm gettin' a moderate racket in me bloody ears, like a thousand tin cans clatterin' together, and to top it off, I'm gettin' these moderate chills that I'm not even gonna bother tellin' ya the frequency of, 'cause it's just too darn infuriatin'!""","['Ringing in ears', 'Chills']","Ringing in ears (attributes: Severity) , Chills (attributes: Frequency, Severity)","Ringing in ears -> Severity: Moderate ,  Chills -> Frequency: Prefer not to answer, Severity: Moderate",Vulgar Register,Angry,5,False,False,False
"""My skin, a damp canvas, beset by ceaseless droplets, a mild torment that gnaws at me, a constant reminder of my bodily ire.""",['Increased sweating'],"Increased sweating (attributes: Frequency, Severity)","Increased sweating -> Frequency: Almost constantly, Severity: Mild",Poetic/Literary Register,Angry,2,False,False,False
"""I'm experiencing a mild disturbance in my balance, which is causing a slight impairment in my daily routine, but it's not severe enough to hinder my ability to perform tasks; additionally, I've noticed a change in the color of my urine, which is now a different hue than what I'm used to, indicating an alteration in my body's normal functioning.""","['Dizziness', 'Change in usual urine color']","Dizziness (attributes: Interference (with daily activities), Severity) , Change in usual urine color (attributes: Presence/Absence)","Dizziness -> Interference (with daily activities): A little bit, Severity: None ,  Change in usual urine color -> Presence/Absence: Yes",Neutral/Standard Register,Neutral,4,False,False,False
"""I be havin' a right ol' kerfuffle with me nails, mate, they be turnin' a lovely shade of brown, like someone's poured a bucket o' tea into 'em, and it be startin' at the tips, workin' its way down to the cuticles, a bit like a brown stain on me favourite ale mug, but, alas, it be me own two feet doin' the sufferin'!""",['Nail discoloration'],Nail discoloration (attributes: Presence/Absence),Nail discoloration -> Presence/Absence: Yes,Vulgar Register,Friendly,5,False,False,False
"""Headaches, Dizziness, Confusion, Irritability, Mood Swings, Forgetfullness, Difficulty with Daily Activities, Interuptions in Thoughts.""",['Concentration'],"Concentration (attributes: Interference (with daily activities), Severity)","Concentration -> Interference (with daily activities): Very much, Severity: Moderate",Vulgar Register,Angry,1,True,False,True
"""I have experienced a missed expected menstrual period, which is characterized by the absence of menstruation at a time when it was expected, typically indicating a potential issue with ovulation or hormonal imbalances, prompting further investigation into the underlying cause.""",['Missed expected menstrual period'],Missed expected menstrual period (attributes: Presence/Absence),Missed expected menstrual period -> Presence/Absence: No,Neutral/Standard Register,Friendly,4,False,False,False
"""My day is all messed up cuz I cant even eat nothin without feelin like I'm gonna pass out from dizziness, its like my brain is spinnin and I'm stuck to the couch, and dont even get me started on the smell, I dont know whats goin on with my body but its like I havent showered in weeks, and to top it all off I got this naggin headache thats like, moderate or somethin, but I dont wanna say how often it happens cuz thats just too much info, anyway its been botherin me quite a bit and I just wanna lay down and forget about everythin.""","['Decreased appetite', 'Dizziness', 'Body odor', 'Headache']","Decreased appetite (attributes: Interference (with daily activities), Severity) , Dizziness (attributes: Interference (with daily activities), Severity) , Body odor (attributes: Severity) , Headache (attributes: Interference (with daily activities), Frequency, Severity)","Decreased appetite -> Interference (with daily activities): Somewhat, Severity: Not applicable ,  Dizziness -> Interference (with daily activities): Very much, Severity: Mild ,  Body odor -> Severity: Not applicable ,  Headache -> Interference (with daily activities): Quite a bit, Frequency: Prefer not to answer, Severity: Moderate",Vulgar Register,Neutral,5,False,False,True
"""My lovely doc, I'm experiening some rather pesky sympthoms, if you dont mind me sayin so, my voice has been goin through some changes, like it's lost its sweet melody, and, well, I must confess, intimacy has been a mite uncomfortable, with a teensy bit of pain, but nothing too severe, just a gentle reminder, you might say, to take it easy, but I'm hopin we can sort these things out, and I'll be singin like a canary in no time!""","['Voice quality changes', 'Pain with sexual intercourse']","Voice quality changes (attributes: Presence/Absence) , Pain with sexual intercourse (attributes: Severity)","Voice quality changes -> Presence/Absence: Prefer not to answer ,  Pain with sexual intercourse -> Severity: None",Poetic/Literary Register,Friendly,2,False,True,True
