Dialogue_Generated,symptom,description,meta,language_style,Tone,Detail_level,Enumeration,Explicit_symptom,Spelling_errors
" ""I got these cracks in the corners of me mouth and I can't figure out why. I been eatin' all sorts of foods and I don't see how this could be happening. I been drinkin' a lot of water too, but I still got these cracks. I been gettin' these cracks for a while now and I don't know what to do. I been tryin' to ignore them, but it's gettin' harder and harder. I been tryin' to eat softer foods, but it's not workin'. I been tryin' to avoid spicy foods, but it's not workin' either. I been tryin' to avoid salty foods, but it's not workin' either. I been tryin' to avoid sweet foods, but it's not workin' either. I been tryin' to avoid sour foods, but it's not workin' either. I been tryin' to avoid bitter foods, but it's not workin' either. I been tryin' to avoid astringent foods, but it's not workin' either. I been tryin' to avoid pungent foods, but it's not workin' either. I been tryin' to avoid umami foods, but it's not workin' either. I been tryin' to avoid fatty foods, but it's not workin' either. I been tryin' to avoid sugary foods,",Cracking at the corners of the mouth (cheilosis/cheilitis),Severity,Very severe,Vulgar Register,Confused,5,False,False,False
" ""I got these cracks at the corners of my mouth and it's so annoying. I mean I'm not even having sex anymore because of this. It's so embarrassing. I tried to talk to my doctor about it but he just gave me some cream and sent me on my way. I mean what the hell is wrong with these doctors? Can't they see I'm suffering here? I mean I'm not even sleeping well because of this. I mean I'm so tired all the time. I mean I'm so angry all the time. I mean I just want to scream all the time. I mean I just want to cry all the time. I mean I just want to die all the time. I mean I just want to kill myself all the time. I mean I just want to kill my doctor all the time. I mean I just want to kill everyone all the time. I mean I just want to kill myself all the time. I mean I just want to kill everyone all the time. I mean I just want to kill myself all the time. I mean I just want to kill everyone all the time. I mean I just want to kill myself all the time. I mean I just want to kill everyone all the time. I mean I just want to kill myself all the time. I mean I just want to kill everyone all the time. I mean I just want to kill myself all the time. I mean I just want to kill everyone all the time.",Cracking at the corners of the mouth (cheilosis/cheilitis),Severity,Not sexually active,Informal Register,Angry,2,True,False,True
" ""I'm so scared, I have this weird cracking at the corners of my mouth.""",Cracking at the corners of the mouth (cheilosis/cheilitis),Severity,Prefer not to answer,Informal Register,Fearful,1,False,False,False
" ""I have been experiencing cracking at the corners of my mouth for a while now. I thought it was just a result of aging, but it seems to be getting worse. I have tried to moisturize my lips, but it does not seem to help. I am worried that it might be a sign of something more serious.""",Cracking at the corners of the mouth (cheilosis/cheilitis),Severity,None,Formal Register,Confused,2,True,False,True
" ""I have noticed that the corners of my mouth have started to crack and peel recently.""",Cracking at the corners of the mouth (cheilosis/cheilitis),Severity,Not applicable,Formal Register,Friendly,4,False,False,False
" ""My mouth corners crack and bleed, and it feels like sandpaper when I eat or talk, and it's so painful, and I'm always worried that I'll bleed all over my clothes or in front of people, and I'm so self-conscious about it, and I don't know what to do, and I'm so frustrated, and I'm so tired of dealing with this, and I just want it to go away, and I don't know what to do, and I'm so scared, and I just want to feel better, and I don't know what to do, and I'm so sad, and I just want to cry, and I don't know what to do, and I'm so angry, and I just want to scream, and I don't know what to do, and I'm so confused, and I just want to sleep, and I don't know what to do, and I'm so worried, and I just want to hide, and I don't know what to do, and I'm so anxious, and I just want to run away, and I don't know what to do, and I'm so depressed, and I just want to die, and I don't know what to do, and I'm so hopeless, and I just want to give up, and I don't know what to do, and I'm so helpless, and I just want to cry, and I don't know what to do, and I",Cracking at the corners of the mouth (cheilosis/cheilitis),Severity,Moderate,Poetic/Literary Register,Confused,5,True,True,True
" ""My mouth is a cracked and dry wasteland, a desolate landscape devoid of moisture and life.""",Cracking at the corners of the mouth (cheilosis/cheilitis),Severity,Mild,Poetic/Literary Register,Angry,1,False,False,False
" ""I have cracks at the corners of my mouth. It's so annoying. I'm so tired of it. It's been like this for months now. I've tried everything. Nothing works. I'm so angry about it. I'm so frustrated. I'm so sad about it. I'm so tired of it. I'm so angry about it. I'm so frustrated. I'm so sad about it. I'm so tired of it. I'm so angry about it. I'm so frustrated. I'm so sad about it. I'm so tired of it. I'm so angry about it. I'm so frustrated. I'm so sad about it. I'm so tired of it. I'm so angry about it. I'm so frustrated. I'm so sad about it. I'm so tired of it. I'm so angry about it. I'm so frustrated. I'm so sad about it. I'm so tired of it. I'm so angry about it. I'm so frustrated. I'm so sad about it. I'm so tired of it. I'm so angry about it. I'm so frustrated. I'm so sad about it. I'm so tired of it. I'm so angry about it. I'm so frustrated. I'm so sad about it. I'm so tired of it. I'm so angry about it. I'm so frustrated. I'm so sad about it. I'm so tired of it.",Cracking at the corners of the mouth (cheilosis/cheilitis),Severity,Severe,Neutral/Standard Register,Angry,1,True,False,True
" ""I have difficulty swallowing food and liquids.""",Difficulty Swallowing,Severity,Very severe,Formal Register,Confused,1,True,False,False
" ""My throat is a parched desert, swallowing is a Herculean task, and my tongue is a limp noodle.""",Difficulty Swallowing,Severity,Not sexually active,Poetic/Literary Register,Insulting,3,False,True,False
" ""I have been experiencing some difficulties in swallowing lately.""",Difficulty Swallowing,Severity,Prefer not to answer,Formal Register,Neutral,3,False,False,True
" ""I can't swallow properly, it feels like there's a lump in my throat all the time, and I have to swallow several times to get it down. It's really frustrating.""",Difficulty Swallowing,Severity,None,Vulgar Register,Confused,4,True,False,False
" ""I am experiencing difficulty swallowing. Food gets stuck in my throat and I have to cough to dislodge it. Sometimes I choke on it and end up coughing violently. It is very embarrassing and I am always worried that I might end up aspirating and having a heart attack or a stroke. I am so tired of this problem and I wish it would just go away.""",Difficulty Swallowing,Severity,Not applicable,Formal Register,Insulting,5,True,False,True
" ""I have been having difficulty swallowing for the past few days. It feels like there is a lump in my throat that I cannot get rid of.""",Difficulty Swallowing,Severity,Moderate,Formal Register,Confused,3,False,False,False
" ""I have been having some trouble swallowing lately. It feels like there is a lump in my throat that I cannot get rid of. Sometimes when I try to swallow, it gets stuck halfway down my throat and I have to cough to dislodge it. This has been happening for the past few weeks now and it is getting worse. I have tried to ignore it and see if it goes away on its own, but it does not seem to be getting any better.""",Difficulty Swallowing,Severity,Mild,Neutral/Standard Register,Neutral,5,False,False,False
" ""I can't swallow nothin' proper like, it's like somethin' is stuck in my throat all the time, and it's drivin' me crazy!""",Difficulty Swallowing,Severity,Severe,Vulgar Register,Angry,1,False,False,True
" ""My mouth is parched and dry, as if I had been wandering in the desert for days without a drop of water.""",Dry Mouth,Severity,Very severe,Poetic/Literary Register,Fearful,3,False,False,False
" ""I cant even kiss my girlfriend because of this dry mouth thing.""",Dry Mouth,Severity,Not sexually active,Neutral/Standard Register,Angry,2,False,False,True
" ""I have been experiencing an extremely dry mouth for the past few days. It is as if I have not drunk any water for hours. I try to swallow but it feels like sandpaper. Even talking to people is very difficult because my mouth feels so dry.""",Dry Mouth,Severity,Prefer not to answer,Formal Register,Neutral,5,False,False,False
" ""I got this dry mouth thingy and it's proper annoying, ya know? It's like me mouth is all dry and cracked and it hurts like hell. I can't even talk proper like, me tongue keeps sticking to the roof of me mouth and it's all scratchy and stuff. I tried drinking water but it don't seem to be helping none. I'm proper worried about this dry mouth thingy, I am.""",Dry Mouth,Severity,None,Vulgar Register,Confused,3,False,True,True
" ""I got this dry mouth thing and it's like my mouth is always dry and sticky and I can't even talk proper like.""",Dry Mouth,Severity,Not applicable,Vulgar Register,Neutral,2,True,False,True
" ""I cant even talk proper cause my mouth is so dry all the time, it's like sandpaper in there!""",Dry Mouth,Severity,Moderate,Informal Register,Angry,2,False,False,True
" ""I am so fed up with this dry mouth of mine. It is absolutely infuriating. I mean, I can't even talk properly, and my tongue feels like sandpaper. It's like I have been walking around with a mouth full of cotton balls. I can't stand it. I just want to spit out this cotton ball feeling in my mouth.""",Dry Mouth,Severity,Mild,Formal Register,Insulting,5,False,False,False
" ""I can't believe I've got this bloody dry mouth again, it's so annoying, I can't even talk properly, I'm so sick of it, it's always there, I can't even sleep because of it, I'm so fed up with it, it's always there, I can't even eat properly, I'm so sick of it, it's always there, I can't even drink properly, I'm so sick of it, it's always there, I can't even breathe properly, I'm so sick of it, it's always there, I can't even think properly, I'm so sick of it, it's always there, I can't even feel properly, I'm so sick of it, it's always there, I can't even taste properly, I'm so sick of it, it's always there, I can't even smell properly, I'm so sick of it, it's always there, I can't even hear properly, I'm so sick of it, it's always there, I can't even see properly, I'm so sick of it, it's always there, I can't even feel properly, I'm so sick of it, it's always there, I can't even think properly, I'm so sick of it, it's always there, I can't even talk properly, I'm so sick of it, it's always there, I can't even eat properly, I'm so sick of",Dry Mouth,Severity,Severe,Informal Register,Insulting,4,False,False,True
" ""My voice is hoarse and rough, it's as if my vocal cords are dry and cracked, and my words are barely audible, as if I'm speaking from the bottom of a deep well, and my voice is weak and faint, and I can barely hear it myself, and it's as if I'm speaking through a thick fog, and my words are barely intelligible, and I'm afraid I'll lose my voice forever.""",Hoarseness,Severity,Very severe,Poetic/Literary Register,Fearful,5,True,False,True
" ""I've been having this hoarseness for a while now, it's like my voice is all raspy and rough, and it's really annoying, I can't even talk to my friends properly, and I'm not even that talkative, but now I can barely say anything, and it's really frustrating, I hope I can get better soon.""",Hoarseness,Severity,Not sexually active,Informal Register,Friendly,5,False,False,True
" ""I've been having a bit of a hoarse voice lately, but I thought it was just cause I'd been shouting at the telly too much, but now I'm worried it might be something more serious.""",Hoarseness,Severity,Prefer not to answer,Informal Register,Confused,3,False,False,True
" ""I have been experiencing hoarseness for a while now, but I thought it was just because I was tired or had a cold. But now I feel like my voice is permanently hoarse.""",Hoarseness,Severity,None,Formal Register,Confused,3,False,False,True
" ""My voice is hoarse, like a raven's croak, and my throat is dry as the Sahara desert.""",Hoarseness,Severity,Not applicable,Poetic/Literary Register,Insulting,1,True,False,False
" ""I have noticed that my voice has become hoarse over the past few days. It is not as bad as when I had a cold, but it is still quite noticeable when I talk. I have tried to clear my throat, but it does not seem to help.""",Hoarseness,Severity,Moderate,Neutral/Standard Register,Neutral,4,False,False,False
" ""I have been experiencing hoarseness for the past few days.""",Hoarseness,Severity,Mild,Formal Register,Neutral,2,False,False,True
" ""I have been experiencing hoarseness for the past few days. My voice is very rough and strained, and I have difficulty speaking above a whisper. Sometimes I feel like I have a lump in my throat, and my voice cracks when I try to speak. I also have difficulty breathing through my nose, and I often wake up with a dry throat. I have tried to clear my throat, but it only makes the hoarseness worse. I have also tried to avoid talking as much as possible, but it is difficult to do so at work and at home. I am very frustrated and concerned about my hoarseness, and I hope that it will go away soon.""",Hoarseness,Severity,Severe,Formal Register,Confused,5,True,False,False
" ""I've been having these little sores in my mouth and throat for a while now.""",Mouth/throat sores,Interference (with daily activities),Not at all,Informal Register,Confused,2,False,False,False
" ""Oh my god, I have these awful mouth sores that are making it so hard to eat and talk, and they are so painful that I can't even sleep at night, and I am so scared that they are going to never go away.""",Mouth/throat sores,Interference (with daily activities),A little bit,Poetic/Literary Register,Fearful,5,False,False,True
" ""I have mouth/throat sores, which are painful and make it difficult to eat and drink.""",Mouth/throat sores,Interference (with daily activities),Somewhat,Formal Register,Insulting,1,True,True,False
" ""I got these blisters in my mouth and throat, and they're really painful. They keep bleeding and I can't eat or drink properly. I've been feeling really weak and tired lately, and I'm always cold. I've also been getting these headaches and feeling dizzy a lot.""",Mouth/throat sores,Interference (with daily activities),Quite a bit,Vulgar Register,Neutral,4,True,False,False
" ""I got these blisters in my mouth and throat, and it's been 3 days now. I can't even swallow properly, and it hurts like hell when I try to eat or drink something. I've been trying to eat ice cream and yogurt, but it's not helping much. I've been trying to drink water, but it's not helping much. I've been trying to eat ice cream and yogurt, but it's not helping much. I've been trying to drink water, but it's not helping much. I've been trying to eat ice cream and yogurt, but it's not helping much. I've been trying to drink water, but it's not helping much. I've been trying to eat ice cream and yogurt, but it's not helping much. I've been trying to drink water, but it's not helping much. I've been trying to eat ice cream and yogurt, but it's not helping much. I've been trying to drink water, but it's not helping much. I've been trying to eat ice cream and yogurt, but it's not helping much. I've been trying to drink water, but it's not helping much. I've been trying to eat ice cream and yogurt, but it's not helping much. I've been trying to drink water, but it's not helping much. I've been trying to eat ice cream and yogurt, but it's not helping much. I've been trying to drink water, but",Mouth/throat sores,Interference (with daily activities),Very much,Vulgar Register,Confused,5,False,True,False
" ""I've got these blisters in my mouth and throat, it's so painful to eat and drink.""",Mouth/throat sores,Severity,Very severe,Informal Register,Friendly,1,False,False,True
" ""My mouth is a bloody battlefield, my tongue is a torched flag, my throat is a charred forest, my lips are a cracked desert.""",Mouth/throat sores,Severity,Not sexually active,Poetic/Literary Register,Angry,3,False,False,True
" ""I've been having these weird sores in my mouth and throat for a while now, but I can't seem to remember when they started.""",Mouth/throat sores,Severity,Prefer not to answer,Informal Register,Confused,4,False,True,False
" ""I've got these bloody sores in my mouth and throat, and it's been going on for ages.""",Mouth/throat sores,Severity,None,Informal Register,Insulting,1,False,False,False
" ""I've got these blisters in my mouth and throat, it's so painful, I'm scared I might swallow one and choke on it.""",Mouth/throat sores,Severity,Not applicable,Informal Register,Fearful,4,False,False,True
" ""I got these goddamn sores in my mouth and throat and it's driving me fucking crazy. They're so painful I can't even eat or drink properly. I've had them for a few days now and they just won't go away. I'm so angry and frustrated I could just explode.""",Mouth/throat sores,Severity,Moderate,Vulgar Register,Angry,4,False,True,False
" ""I have been experiencing these mouth/throat sores for the past week or so, and they seem to be getting worse. They are very painful and make it difficult for me to eat and drink. I have tried to look up what could be causing these sores, but I am not sure what could be causing them. I have been feeling very stressed lately, but I do not think that this is what is causing the sores. I have also been sleeping a lot less than usual, but I do not think that this is what is causing the sores either. I am worried that these sores are going to last forever.""",Mouth/throat sores,Severity,Mild,Formal Register,Confused,4,False,False,True
" ""I have been experiencing these mouth/throat sores for a while now and they are getting worse and worse.""",Mouth/throat sores,Severity,Severe,Formal Register,Fearful,1,False,False,True
