,Symptoms,Dialogue_Generated,Language_style,Tone,Detail_level,Enumeration,Explicit_symptom,Spelling_errors,Prompt
0,['Anemia'],"""I'm feelin' like I'm losin' me colour, mate, and me skin's gettin' all pale and wan, I've got a lot of swellings in me arse, and me feet are all weak and tired, and I've got a big ol' lump in me throat, and I'm gettin' all bloated and uncomfortable, and I've got a headache that's gettin' worse by the minute, and I'm gettin' all dizzy and lightheaded, and I'm gettin' all weak and shaky, and I'm gettin' all nauseous and vomitin', and I'm gettin' all tired and exhausted, and I'm gettin' all fatigued, and I'm gettin' all achy, and I'm gettin' all sore, and I'm gettin' all bloated and uncomfortable, and I'm gettin' all dizzy and lightheaded, and I'm gettin' all weak and shaky, and I'm gettin' all nauseous and vomitin'.""",Vulgar Register,Neutral,3,False,True,False,"Write a phrase from a sick patient describing their symptoms. The symptoms the patient describes are: Anemia. The patient speaks in Vulgar Register and uses a Neutral tone. The description should provide a moderate level of detail. The patient should explicitly mention all symptoms they have, specifically: Anemia. Respond with only the sentence in the patient's voice, enclosed in double quotes, without any additional text, comments, or notes."
1,"['Blood and lymphatic system disorders - Other, specify', 'Perineal pain']","""I have a burning sensation in my perineal area that's been worsening over the past few days, and I'm experiencing a low-grade fever and chills, I'm feeling weak and dizzy, and I'm having trouble walking and standing without assistance.""",Neutral/Standard Register,Fearful,2,False,False,False,"Write a phrase from a sick patient describing their symptoms. The symptoms the patient describes are: Blood and lymphatic system disorders - Other, specify, Perineal pain. The patient speaks in Neutral/Standard Register and uses a Fearful tone. The description should be brief with some basic details. Respond with only the sentence in the patient's voice, enclosed in double quotes, without any additional text, comments, or notes."
2,['Bone marrow hypocellular'],"""Oi, I feel like I'm losin' me marrow, mate. It's like it's gettin' all weedy and grey, like a dodgy old pub. Every day it's gettin' worse, I can feel it in me bones, innit?""",Vulgar Register,Neutral,1,False,False,True,"Write a phrase from a sick patient describing their symptoms. The symptoms the patient describes are: Bone marrow hypocellular. The symptoms are graded on a scale of ['Grade 1'] (in the same order as the symptoms list), where 1 is the least severe and 5 is the most severe. These grades correspond to the following descriptions: ['Mildly hypocellular or <=25% reduction from normal cellularity for age']. The patient speaks in Vulgar Register and uses a Neutral tone. The description should be very brief with minimal details. Include spelling mistakes in the patient's description. Respond with only the sentence in the patient's voice, enclosed in double quotes, without any additional text, comments, or notes."
3,"['Disseminated intravascular coagulation', 'Purpura', 'Dry eye']","""I've got a right ol' nasty patchy rash on me face, innit, and it's lookin' like a right mess, I've got a lot of purpura and it's spreadin' everywhere, and my eyes are all dry and it's like I've got a right old scratchy throat, I'm losin' me vision, mate, and it's gettin' worse, I'm scared, innit, I've got a bad feelin' about this...""",Vulgar Register,Neutral,3,False,False,False,"Write a phrase from a sick patient describing their symptoms. The symptoms the patient describes are: Disseminated intravascular coagulation, Purpura, Dry eye. The symptoms are graded on a scale of ['Grade 5', 'Grade 3', 'Grade 2'] (in the same order as the symptoms list), where 1 is the least severe and 5 is the most severe. These grades correspond to the following descriptions: ['Death', 'Combined area of lesions covering >30% BSA; spontaneous bleeding', 'Symptomatic; moderate decrease in visual acuity (best corrected visual acuity 20/40 and better or 3 lines or less decreased vision from known baseline)']. The patient speaks in Vulgar Register and uses a Neutral tone. The description should provide a moderate level of detail. Respond with only the sentence in the patient's voice, enclosed in double quotes, without any additional text, comments, or notes."
4,['Eosinophilia'],"""I'm feelin like I'm losin my blod regulartly and my skin's all itchy and inflamed like a scabby bugger, I've been takin steroids for 6 month's now, but I'm losin me hair, I've also got a cold that wont go away, I've been drinkin alot of tea to try and get me fevers down, but it's like it's just gettin me more congested and bloated, I'm gettin a bit tired all the time, I've been takin some meds for my cold, but I'm still feelin like I'm losin me energy, I'm losin me appetite too, I'm gettin a bit peckish all the time, I've also got a cough that wont go away, I've been drinkin a lot of water to try and get me blod regulartly to drain, but it's like it's just gettin me more congested and bloated, I'm gettin a bit dizzy and lightheaded all the time, I'm losin me blod regulartly, I'm losin me skin's all itchy and inflamed like a scabby bugger, I've been takin some calamine lotion to try and get me blod regulartly to drain, but it's like it's just gettin me more congested and bloated, I'm gettin a bit tired all",Vulgar Register,Friendly,5,False,False,True,"Write a phrase from a sick patient describing their symptoms. The symptoms the patient describes are: Eosinophilia. The symptoms are graded on a scale of ['Grade 3'] (in the same order as the symptoms list), where 1 is the least severe and 5 is the most severe. These grades correspond to the following descriptions: ['Steroids initiated']. The patient speaks in Vulgar Register and uses a Friendly tone. The description should be very detailed and comprehensive. Include spelling mistakes in the patient's description. Respond with only the sentence in the patient's voice, enclosed in double quotes, without any additional text, comments, or notes."
5,['Febrile neutropenia'],"""I'm feelin sick, got febrile neutropenia, my body's all weak, anemia, got pale skin, shortness of breath, dizziness, irregular heartbeat, chest pain, cold hands and feet, and my head's achin' somethin' fierce, got fever, got a nasty rash, my feet's all swollen, my toes are all red and hot, I can feel the pain in my hands and feet, I'm gettin all dizzy, and I can't seem to get my breath, I'm feelin so weak, I'm losin my appetite, I'm feelin all tired and weak, I'm gettin all nauseous, I'm feelin so sick, I'm gettin all dizzy and disoriented, I'm feelin so weak, I'm gettin all tired and weak, I'm gettin all nauseous, I'm feelin so sick, I'm gettin all dizzy and disoriented, I'm feelin so weak, I'm gettin all tired and weak, I'm gettin all nauseous, I'm feelin so sick, I'm gettin all dizzy and disoriented, I'm feelin so weak, I'm gettin all tired and weak, I'm gettin all nauseous, I'm feelin so sick, I'm gettin all dizzy and disoriented, I'm feelin so weak, I'm gettin all tired and weak, I'm get",Vulgar Register,Neutral,4,True,False,True,"Write a phrase from a sick patient describing their symptoms. The symptoms the patient describes are: Febrile neutropenia. The symptoms are graded on a scale of ['Grade 2'] (in the same order as the symptoms list), where 1 is the least severe and 5 is the most severe. These grades correspond to the following descriptions: [' -']. The patient speaks in Vulgar Register and uses a Neutral tone. The description should be detailed and thorough. The patient should enumerate their symptoms directly. For example, for 'Anemia,' they might say: 'Fatigue and weakness, pale skin, shortness of breath, dizziness, irregular heartbeat, chest pain, cold hands and feet, headaches.' Include spelling mistakes in the patient's description. Respond with only the sentence in the patient's voice, enclosed in double quotes, without any additional text, comments, or notes."
6,['Hemolysis'],"""I feel like I've lost a chunk of me, like my body's been ripped apart. My skin's taking on a yellowish hue, and my joints ache like they've been shot. I've got a fever that won't quit, and my mouth feels like it's on fire. I'm constantly dizzy and disoriented, like I'm floating above my body. My legs feel like lead, and I've got a constant, gnawing pain in my gut. I've also noticed that my urine smells like rotten eggs, and my stools have turned a dark green color. I've got a terrible headache, and my eyes feel like they're burning from the inside out. I'm exhausted, but I just can't seem to catch my breath, like I'm running on empty. I've also noticed that my hands are numb, and I can feel a tingling sensation in my fingers. I've got a terrible taste in my mouth, like metal and bitter almonds. I'm constantly sweating, and my body feels like it's been drained of all its energy. I'm so weak, I can barely lift my head off the pillow. I'm a shadow of my former self, and I don't know how much more of this I can take.""",Vulgar Register,Neutral,5,True,False,False,"Write a phrase from a sick patient describing their symptoms. The symptoms the patient describes are: Hemolysis. The symptoms are graded on a scale of ['Grade 2'] (in the same order as the symptoms list), where 1 is the least severe and 5 is the most severe. These grades correspond to the following descriptions: ['Evidence of hemolysis and >=2 g decrease in hemoglobin']. The patient speaks in Vulgar Register and uses a Neutral tone. The description should be very detailed and comprehensive. The patient should enumerate their symptoms directly. For example, for 'Anemia,' they might say: 'Fatigue and weakness, pale skin, shortness of breath, dizziness, irregular heartbeat, chest pain, cold hands and feet, headaches.' Respond with only the sentence in the patient's voice, enclosed in double quotes, without any additional text, comments, or notes."
7,"['Hemolytic uremic syndrome', 'Leukocytosis']","""I feel like I'm having a huge headache, I think it's becaus I had a bad case of hemolytic uremic syndrome, and now my leucocytes are all over 100,000/mm3, I'm startin to feel dizzy and I think I'm losin my appetite, my body is all swollen and my feet are gettin tired easily, I don't wanna go outside, I'm so sad and my throat is all sore and my mouth is all dry, I think I'm gettin the flu, I'm so tired, I just wanna sleep, I feel like I'm losin my mind, I'm so confused and my stomach is all hurtin and I don't wanna eat nothin, I just wanna rest, I'm so hurt, I'm so tired, I just wanna sleep, I'm so sad.""",Neutral/Standard Register,Friendly,5,False,False,True,"Write a phrase from a sick patient describing their symptoms. The symptoms the patient describes are: Hemolytic uremic syndrome, Leukocytosis. The symptoms are graded on a scale of ['Grade 1', 'Grade 3'] (in the same order as the symptoms list), where 1 is the least severe and 5 is the most severe. These grades correspond to the following descriptions: [' -', '>100,000/mm3']. The patient speaks in Neutral/Standard Register and uses a Friendly tone. The description should be very detailed and comprehensive. Include spelling mistakes in the patient's description. Respond with only the sentence in the patient's voice, enclosed in double quotes, without any additional text, comments, or notes."
8,['Leukocytosis'],"""I've been feeling like I'm losing my mind, it's all just a bunch of bloomin' nonsense, the white blood cells are just gettin' in the way of my life, I'm a prisoner in my own body, it's all just a load of rubbish.""",Informal Register,Insulting,2,False,False,False,"Write a phrase from a sick patient describing their symptoms. The symptoms the patient describes are: Leukocytosis. The patient speaks in Informal Register and uses a Insulting tone. The description should be brief with some basic details. Respond with only the sentence in the patient's voice, enclosed in double quotes, without any additional text, comments, or notes."
9,['Lymph node pain'],"""I have a pain in my left lymph node.""",Neutral/Standard Register,Neutral,2,False,False,False,"Write a phrase from a sick patient describing their symptoms. The symptoms the patient describes are: Lymph node pain. The symptoms are graded on a scale of ['Grade 2'] (in the same order as the symptoms list), where 1 is the least severe and 5 is the most severe. These grades correspond to the following descriptions: ['Moderate pain; limiting instrumental ADL']. The patient speaks in Neutral/Standard Register and uses a Neutral tone. The description should be brief with some basic details. Respond with only the sentence in the patient's voice, enclosed in double quotes, without any additional text, comments, or notes."
