,Symptoms,Dialogue Generated,Metadata
0,['Anemia'],"Oh, cursed fate that has beset me with anemic woe, my vital essence dwindling like autumn leaves, a spectral shadow cast upon my countenance, eyes sunken deep within darkened sockets, skin pale as alabaster, lips parched dry as the Sahara desert.","{'Detail Level': 5, 'Enumeration': False, 'Explicit Symptom': False, 'Language Style': 'Poetic/Literary Register', 'Tone': 'Insulting', 'Spelling Errors': False}"
1,"['Blood and lymphatic system disorders - Other, specify']","I am experiencing an unbearable sensation akin to my very blood vessels being set aflame, coupled with unrelenting pain that seizes every waking moment.","{'Detail Level': 2, 'Enumeration': False, 'Explicit Symptom': False, 'Language Style': 'Formal Register', 'Tone': 'Angry', 'Spelling Errors': False}"
2,['Bone marrow hypocellular'],I'm bloody well dyin' here!! got grade 3 bone marroiw hyposelluler - means im runnin outta blood cells fast arnt I?!,"{'Detail Level': 1, 'Enumeration': False, 'Explicit Symptom': False, 'Language Style': 'Vulgar Register', 'Tone': 'Angry', 'Spelling Errors': True}"
3,['Disseminated intravascular coagulation'],"I have DIC Grade 3- I experiance bruising & petechiae all over my body, excessive swelling, frequent nosebleeds, gum bleedinng.","{'Detail Level': 1, 'Enumeration': True, 'Explicit Symptom': False, 'Language Style': 'Formal Register', 'Tone': 'Insulting', 'Spelling Errors': True}"
4,['Eosinophilia'],"Dude I got this crazy high eosinophil count goin on, my white blood cell thingy is through the roof, its like 2 thousand or somethin!","{'Detail Level': 2, 'Enumeration': False, 'Explicit Symptom': False, 'Language Style': 'Vulgar Register', 'Tone': 'Friendly', 'Spelling Errors': True}"
5,['Febrile neutropenia'],"I'm dyin' here you mook! I got Grade-5 fevers that're makin' my skin feel like it's been put through a wringer, they're so bad - 'bout every five minutes some new one pops up, all these crazy high temps keep comin', I swear if this keeps goin' down I'll lose me mind, I also got bone pain everywhere, can't even lift me arm without wincin' in agony, but what really has me freaked out is the bloody gums, they're gettin' huge and red, look like somethin' straight outta a horror movie, and don't even get me started on how weak I am, can barely hold onto me pillow let alone take care of meself!","{'Detail Level': 5, 'Enumeration': False, 'Explicit Symptom': False, 'Language Style': 'Vulgar Register', 'Tone': 'Angry', 'Spelling Errors': False}"
6,['Hemolysis'], My red blood cells are literally falling apart everywhere inside my body - it feels like an unrelenting nightmare.,"{'Detail Level': 2, 'Enumeration': False, 'Explicit Symptom': False, 'Language Style': 'Neutral/Standard Register', 'Tone': 'Angry', 'Spelling Errors': False}"
7,['Hemolytic uremic syndrome'],"Doc I'm feeling pretty meh, my blood pressure's through the roof at Grade 4, got some nasty bloody urine that's like super painful when I pee so it's getting a solid 3 there, fever's off the charts at grade 2 and these headaches just won't quit they're a full-on Grade 5.","{'Detail Level': 1, 'Enumeration': False, 'Explicit Symptom': False, 'Language Style': 'Informal Register', 'Tone': 'Neutral', 'Spelling Errors': False}"
8,"['Leukocytosis', 'Cecal hemorrhage']","I must confess that I am currently experiencing some rather distressing symptoms, my white blood cell count is through the roof, I've got an alarming amount of leucocytes running rampant throughout my body which has resulted in a most unpleasant leukocytosis - I'm talking elevated counts exceeding 20 thousand per microlitre here! Furthermore, I have been unfortunate enough to suffer a cecal haemorrhage, whereupon one of my intestinal tubes appears to have ruptured, causing me considerable discomfort and what can only be described as a 'bloodbath' within my lower abdominal region; it pains me greatly to report this but I do hope you'll take all necessary precautions when attending to my condition.","{'Detail Level': 5, 'Enumeration': False, 'Explicit Symptom': False, 'Language Style': 'Formal Register', 'Tone': 'Friendly', 'Spelling Errors': True}"
9,['Lymph node pain'],"I'm gettin really worried 'bout this swallon thing goin on my neck, I've got these lumps that hurt like crazy when I touch them, they're so tender its making me cry just thinkin about it.","{'Detail Level': 4, 'Enumeration': False, 'Explicit Symptom': False, 'Language Style': 'Neutral/Standard Register', 'Tone': 'Fearful', 'Spelling Errors': True}"
